Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
12	-13775.5	-13768.3	-7.14473	0.589225	0.056282	0.0525725	1.09824	0.00312377	0.0035666	0.0473287	0.000870938	0.0036008	0.000520168	0.0411697	0.00276998	0.00802892	0.0756985	0.0234282	0.942953	0.0793862	0.00417407	0.00803862	0.00637067	0.104251	0.000153475	0.0546114	0.32652	0.163431	0.189061	0.0778847	0.103674	0.382321	0.0836285	0.0508936	0.30623	0.875721	2.76716	0.30959	0.181706	0.21219	0.296514	2.94366
13	-13763	-13757.6	-5.43041	0.676772	0.0618601	0.0554246	1.09824	0.000609298	0.00104022	0.0514086	0.00231424	0.00286627	0.000142205	0.0384177	0.00242923	0.00494499	0.0944992	0.0192561	0.807755	0.0623359	0.0027776	0.0291191	0.021504	0.110475	0.00012789	0.042963	0.261279	0.153107	0.205447	0.109378	0.108021	0.34407	0.0799767	0.0692352	0.352361	0.915947	2.66246	0.308728	0.183986	0.211599	0.295688	2.77179
14	-13761.5	-13756.4	-5.17985	0.617859	0.0535779	0.0479297	1.09824	0.000433666	0.00367697	0.0376415	0.000926428	0.00309592	0.000251986	0.0336039	0.00365297	0.00416587	0.0610713	0.0401272	0.82282	0.0616241	0.0028664	0.0700061	0.0148519	0.0813353	7.50049e-05	0.0310655	0.273989	0.134996	0.181145	0.0964394	0.121516	0.375724	0.0901791	0.0568111	0.322055	0.890164	2.73097	0.296734	0.187178	0.21527	0.300818	2.74703
15	-13763.5	-13756	-7.54399	0.617859	0.0693105	0.0470337	1.1403	0.000588069	0.00344131	0.0623072	0.000626362	0.00298166	0.0006048	0.0283398	0.00503806	0.00436218	0.0687496	0.05362	0.938435	0.0950881	0.00216399	0.0794082	0.0359799	0.0648068	5.71946e-05	0.0300989	0.250104	0.163025	0.185428	0.0987195	0.0805047	0.384607	0.0877159	0.0568111	0.322055	0.890164	2.73097	0.296734	0.187178	0.21527	0.300818	2.98345
16	-13765.7	-13755.7	-10.0088	0.579179	0.0693105	0.0576182	1.47221	0.000211381	0.00422216	0.0552825	0.000739305	0.00257555	0.000777618	0.0383374	0.00257782	0.00686963	0.0297702	0.0692267	0.798937	0.0666447	0.00544932	0.0593202	0.0566764	0.0693855	2.0142e-05	0.0427027	0.321258	0.165576	0.18833	0.0697682	0.0966099	0.390627	0.0890888	0.048844	0.300499	0.870313	2.78034	0.296734	0.187178	0.21527	0.300818	3.23012
17	-13761.8	-13754	-7.7905	0.619963	0.0873911	0.0557232	1.30124	0.00127126	0.00155185	0.0423811	0.000499053	0.0037975	0.00164947	0.030842	0.00279005	0.00509094	0.025277	0.0554716	0.821891	0.0669975	0.00395157	0.0485442	0.0887253	0.05487	2.06006e-05	0.0353527	0.27276	0.128281	0.189117	0.106917	0.0970138	0.39226	0.0864104	0.0572498	0.323188	0.891171	2.72839	0.296734	0.187178	0.21527	0.300818	3.00809
18	-13761.5	-13754.8	-6.69981	0.619963	0.0932746	0.0541019	1.14833	0.00328588	0.000551687	0.0552564	0.000492522	0.0051891	0.0013468	0.0359536	0.00362195	0.00281554	0.0226552	0.0367268	0.841972	0.0569691	0.00583155	0.0484144	0.0691584	0.0752756	2.85648e-05	0.0355505	0.302219	0.128281	0.189117	0.106917	0.0970138	0.39226	0.0864104	0.0572498	0.323188	0.891171	2.72839	0.296703	0.187159	0.215247	0.300892	2.89902
19	-13766.1	-13756.6	-9.46904	0.586768	0.0611115	0.0577676	1.21811	0.00237453	0.000206161	0.0684171	0.00167672	0.0047498	0.00139887	0.0392718	0.00341305	0.00627951	0.0219994	0.0787426	0.973468	0.0796872	0.00410609	0.0611472	0.083703	0.0905725	1.90701e-05	0.0336901	0.284195	0.131002	0.193129	0.109185	0.100771	0.389418	0.0764962	0.0503908	0.304836	0.874415	2.77036	0.295939	0.18925	0.214693	0.300118	3.17611
20	-13767.9	-13758.7	-9.23665	0.547009	0.0770517	0.0491614	1.21378	0.00293949	0.00168094	0.0528067	0.000756944	0.00614475	0.0013945	0.0383012	0.0013014	0.00805827	0.04918	0.0265923	1.04611	0.0723091	0.00479066	0.038332	0.0416739	0.0494034	1.08041e-05	0.0478725	0.323418	0.128468	0.189394	0.107073	0.110996	0.381887	0.0821818	0.0423974	0.281501	0.851674	2.82443	0.297329	0.185442	0.215702	0.301527	3.15307
21	-13764.3	-13757.9	-6.34905	0.556414	0.0627665	0.0357159	1.10634	0.00182176	0.00213305	0.0486012	0.000599636	0.00193738	0.000348201	0.0307548	0.002934	0.00538768	0.0623964	0.0636241	0.903629	0.0689502	0.0038471	0.0583567	0.0278368	0.0708794	8.50244e-06	0.0642302	0.241157	0.177795	0.175966	0.0994821	0.103127	0.367275	0.0763554	0.044262	0.287158	0.857342	2.81124	0.297329	0.185442	0.215702	0.301527	2.86426
22	-13768.1	-13756.5	-11.6289	0.56061	0.0869019	0.0536133	1.47697	0.00103392	0.00212856	0.0639777	0.00034591	0.00125352	0.00125373	0.0337578	0.00222801	0.00516202	0.0756045	0.0692074	0.943362	0.0883564	0.00811595	0.0677145	0.0260179	0.0570261	3.9267e-05	0.0648091	0.263337	0.177861	0.235511	0.0852397	0.0951493	0.338863	0.0673767	0.0450995	0.289655	0.859811	2.80543	0.298749	0.181553	0.216732	0.302967	3.39222
23	-13751.1	-13744.6	-6.48583	0.641518	0.0697348	0.0476473	1.05136	0.00161235	0.00107733	0.0466774	0.00130584	0.00427821	0.000660117	0.0333961	0.00297963	0.0059772	0.115118	0.081724	0.75273	0.0880206	0.00383437	0.0402155	0.0298969	0.149198	7.04483e-05	0.0627723	0.287222	0.16946	0.224387	0.0812134	0.0896383	0.323404	0.111898	0.0617687	0.334579	0.901107	2.70255	0.298749	0.181553	0.216732	0.302967	2.87751
24	-13743.4	-13740.4	-3.06766	0.715909	0.0627998	0.0479722	0.943876	0.00113474	0.00208001	0.0540418	0.000295447	0.00114104	0.000356874	0.0360718	0.00199371	0.00579468	0.0836909	0.085707	0.606345	0.0491003	0.00285138	0.0183293	0.0485921	0.214497	6.9136e-05	0.0580883	0.210495	0.176978	0.234342	0.0848165	0.0936152	0.337752	0.0724968	0.0775892	0.370941	0.930624	2.62085	0.298749	0.181553	0.216732	0.302967	2.53532
25	-13738.4	-13732.9	-5.56901	0.6564	0.0758825	0.0485512	0.870274	0.00179783	0.00261246	0.0524865	0.000168263	0.00134466	0.000296652	0.0408711	0.00459736	0.00399454	0.106863	0.0617354	0.584731	0.0720205	0.0065648	0.0272826	0.0594311	0.436311	8.65229e-05	0.0701503	0.257702	0.184872	0.175716	0.0925915	0.0989652	0.368712	0.0791424	0.064911	0.342211	0.907574	2.6853	0.302608	0.183898	0.219532	0.293962	2.78576
26	-13738.2	-13732.9	-5.36556	0.662001	0.0670384	0.0514432	0.935958	0.000742828	0.00330971	0.0560225	0.000456928	0.000981117	0.000367446	0.0292009	0.00627475	0.00306621	0.0768596	0.0945576	0.554047	0.0599322	0.00566929	0.0295686	0.0363079	0.402384	4.16292e-05	0.061644	0.289509	0.166893	0.164333	0.0865936	0.113054	0.403194	0.0659316	0.0660975	0.345035	0.90993	2.67894	0.302608	0.183898	0.219532	0.293962	2.76538
27	-13743.9	-13736.9	-7.03873	0.569869	0.0675454	0.0625093	1.08473	0.000134799	0.0020998	0.0622806	0.000389531	0.000505296	0.000496539	0.0314888	0.00380348	0.00337192	0.081431	0.0920843	0.518604	0.0631179	0.00342762	0.0665713	0.0564696	0.431779	3.45293e-05	0.0559945	0.244286	0.144329	0.168585	0.0830736	0.115979	0.413626	0.0744069	0.0469591	0.295103	0.865132	2.79281	0.302608	0.183898	0.219532	0.293962	2.93316
28	-13738.9	-13733.6	-5.26639	0.60535	0.0754491	0.0396484	0.927392	1.15772e-05	0.00139713	0.0556968	9.7572e-05	0.00031808	0.000260739	0.0301299	0.00823584	0.00126262	0.0619753	0.100556	0.731046	0.0566987	0.00549265	0.0584905	0.0211135	0.293772	4.19408e-05	0.0480095	0.238653	0.169211	0.206286	0.0973951	0.0823912	0.361131	0.0835858	0.0542134	0.315233	0.884024	2.74653	0.302608	0.183898	0.219532	0.293962	2.75575
29	-13737.2	-13732.8	-4.42114	0.641179	0.0925585	0.0543348	0.927392	8.1698e-05	0.00242857	0.0494369	5.98224e-05	0.000399329	0.000637018	0.0457854	0.00562123	0.0018083	0.0806455	0.117927	0.476628	0.0720592	0.00388964	0.0511346	0.00783722	0.347921	0.000197958	0.059227	0.273033	0.169211	0.206286	0.0973951	0.0823912	0.361131	0.0835858	0.0616972	0.334403	0.900956	2.70294	0.303961	0.18025	0.220513	0.295275	2.67104
30	-13739.1	-13735.2	-3.84441	0.659686	0.0849982	0.0414389	0.771323	0.000200666	0.000374286	0.0488119	0.000134383	0.000273553	0.000311495	0.041313	0.00734953	0.00147158	0.0618333	0.121311	0.675751	0.0892655	0.00441018	0.0416999	0.00439748	0.30902	0.000972687	0.0335279	0.27309	0.132051	0.204913	0.0967469	0.110916	0.358728	0.0966449	0.0656069	0.343871	0.908961	2.68156	0.301265	0.178651	0.218557	0.301527	2.61328
31	-13726.1	-13721.4	-4.73064	0.657154	0.0795209	0.0505316	1.04767	0.000220495	0.000454566	0.0521291	0.000345138	9.97605e-05	0.00170472	0.041313	0.00771342	0.00233787	0.101422	0.14857	0.442577	0.0611772	0.00552566	0.0565502	0.00418966	0.332804	0.000950082	0.0652544	0.198857	0.151502	0.199492	0.0941877	0.108509	0.349239	0.0970704	0.0650707	0.342593	0.907894	2.68444	0.301265	0.178651	0.218557	0.301527	2.70191
32	-13737.9	-13736	-1.92751	0.765335	0.104435	0.0396593	0.773777	0.000393887	0.000283935	0.038401	0.000825599	6.47191e-05	0.00131806	0.0366162	0.0086066	0.00181769	0.0993693	0.144146	0.494202	0.0766785	0.0135261	0.148687	0.0057938	0.178334	0.00458737	0.0732593	0.176278	0.175377	0.179486	0.0940521	0.105418	0.348736	0.0969307	0.0881642	0.392794	0.946867	2.57217	0.292994	0.178146	0.229356	0.299503	2.42106
33	-13727.3	-13726.5	-0.736035	0.870827	0.0656737	0.0477292	0.76992	0.00098757	0.00030522	0.0457315	0.000973215	4.57399e-05	0.00240207	0.0298363	0.00370081	0.00336127	0.0866158	0.0964195	0.441524	0.0428924	0.00678665	0.153225	0.0340969	0.231155	0.00193251	0.0897145	0.146358	0.181958	0.186221	0.0975814	0.109373	0.353699	0.0711666	0.110517	0.43416	0.974801	2.48052	0.292994	0.178146	0.229356	0.299503	2.30139
34	-13723.3	-13720.8	-2.53182	0.738593	0.0666402	0.0477292	0.841626	0.00321412	0.00108217	0.0461596	0.00205955	8.77161e-05	0.00183926	0.033892	0.00425266	0.0058718	0.0647432	0.103753	0.563205	0.0688452	0.00571508	0.152819	0.0193086	0.22518	0.00258402	0.0746605	0.146358	0.181719	0.200003	0.0974532	0.0818899	0.353234	0.0857005	0.0824434	0.381184	0.938371	2.598	0.292994	0.178146	0.229356	0.299503	2.48163
35	-13714	-13711	-2.9934	0.751268	0.0861128	0.0517357	0.85741	0.0026103	0.000363935	0.0459601	0.00179924	6.17771e-05	0.00103216	0.0362393	0.00765623	0.00233808	0.0928506	0.108602	0.497626	0.051347	0.00383475	0.143599	0.0213993	0.296873	0.00166277	0.0661321	0.150474	0.162466	0.19988	0.0973934	0.102691	0.351922	0.0856479	0.0851558	0.386748	0.94248	2.58562	0.297876	0.181114	0.216518	0.304493	2.52772
