Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24344.1	-24340.3	-3.71266	0.358099	0.0668406	0.164525	0.305518	0.114132	0.06006	0.336731	0.0189479	0.190503	0.0121212	0.106813	0.0973406	0.0033118	0.116364	0.26326	0.081252	0.157109	0.0856581	0.108272	0.013268	0.210112	0.0323837	0.053876	0.00321155	0.147791	0.491648	0.171635	0.0982156	0.0563598	0.0343506	0.0111624	0.14984	0.681646	3.15735	0.81584	0.022795	0.073156	0.0882093	2.60161
10	-15481.7	-15467.8	-13.877	0.436486	0.106346	0.071227	0.924467	0.117977	0.0597206	0.0823787	0.00747746	0.0491694	0.00747344	0.37534	0.0250907	0.0025611	0.157129	0.0598547	1.06817	0.137251	0.0306538	0.157773	0.00406988	0.0948318	0.0210145	0.0514391	0.0062446	0.129092	0.425351	0.101506	0.0482232	0.123739	0.172089	0.0223106	0.208448	0.767926	3.00132	0.266101	0.226992	0.204626	0.30228	3.61766
20	-15014.7	-14991.8	-22.962	0.441637	0.0717414	0.0394499	1.30829	0.0680936	0.0310322	0.0489964	0.0020506	0.0448712	0.00274911	1.02992	0.00802433	0.00117069	0.220626	0.0262111	0.817277	0.163289	0.022081	0.168611	0.00770732	0.294824	0.0170278	0.124018	0.00807241	0.164372	0.363618	0.129247	0.0984274	0.171999	0.072337	0.0231507	0.21212	0.772674	2.99206	0.266101	0.226992	0.204626	0.30228	4.52613
30	-14640.9	-14612.3	-28.5924	0.42392	0.068569	0.0601496	2.01222	0.126798	0.0115455	0.0649156	0.0017889	0.0391439	0.00125973	0.884872	0.00463512	0.00323626	0.220626	0.0586639	0.75192	0.201497	0.00512929	0.0876297	0.0123132	0.0923768	0.0206655	0.350505	0.00879617	0.132057	0.25489	0.095697	0.0728777	0.35249	0.0919882	0.020311	0.199387	0.755919	3.02438	0.276036	0.22392	0.201856	0.298188	5.08926
40	-13973.6	-13951.2	-22.3809	0.469077	0.133021	0.0631382	2.01222	0.0281663	0.010235	0.0570223	0.00300362	0.0236181	0.00216139	0.177384	0.00627642	0.00300975	0.166915	0.140288	0.694082	0.0831094	0.00821397	0.0719791	0.00878164	0.189429	0.0244975	0.549823	0.011502	0.114544	0.264648	0.0891724	0.0701417	0.365985	0.0955097	0.0278097	0.23125	0.796395	2.94454	0.277761	0.225319	0.203118	0.293803	4.46788
50	-13830.8	-13812	-18.8804	0.469077	0.133342	0.0531626	1.70902	0.0154598	0.00869359	0.0462663	0.00260335	0.0044767	0.000341323	0.0827389	0.00773408	0.00326877	0.113349	0.474324	0.711834	0.0647164	0.00520787	0.0970162	0.00524449	0.0769826	0.0165042	0.417113	0.0684352	0.112323	0.257057	0.114233	0.0681298	0.355487	0.0927702	0.0278097	0.23125	0.796395	2.94454	0.277761	0.225319	0.203118	0.293803	4.11783
60	-13798.5	-13785	-13.5034	0.502161	0.0948082	0.0634444	1.24814	0.00955879	0.00392514	0.0385636	0.00063091	0.00391615	0.000819087	0.0665595	0.00339566	0.00324313	0.111408	0.560775	0.630218	0.0607161	0.00836161	0.110124	0.0165652	0.0591914	0.0251304	0.402306	0.058167	0.137099	0.23241	0.107988	0.0880586	0.338349	0.0960945	0.033789	0.253324	0.821834	2.89105	0.275836	0.225919	0.203659	0.294586	3.57997
70	-13780.2	-13769.4	-10.8025	0.557463	0.0794872	0.0600245	1.22707	0.00292605	0.00212804	0.0307832	0.000644723	0.001231	0.00210013	0.0414182	0.00273756	0.00446721	0.115541	0.717243	0.319306	0.0233508	0.0102776	0.0887934	0.0792829	0.0763351	0.0124444	0.350586	0.0614243	0.126692	0.229728	0.106742	0.107409	0.334444	0.0949853	0.0444711	0.287784	0.857963	2.80978	0.275836	0.225919	0.203659	0.294586	3.3096
80	-13783.1	-13771.1	-11.996	0.540584	0.0967009	0.0623669	1.12741	0.00369865	0.00496779	0.0546965	0.00156755	0.000864717	0.00337994	0.0476842	0.00601372	0.00433611	0.136592	0.67893	0.490996	0.0174642	0.00561982	0.097037	0.0683307	0.0703557	0.0182934	0.350586	0.0811443	0.125802	0.228115	0.111044	0.106655	0.334065	0.0943184	0.0411344	0.277587	0.847691	2.83359	0.275836	0.225919	0.203659	0.294586	3.42904
90	-13769.9	-13763.2	-6.67344	0.685437	0.0837787	0.0507155	0.847477	0.00345595	0.00415669	0.0402475	0.0012095	0.000680865	0.00542082	0.0371548	0.00516325	0.00426535	0.110579	0.678708	0.333204	0.0267381	0.00566782	0.0949626	0.0703438	0.0439836	0.0174073	0.363396	0.0673363	0.131929	0.248055	0.0883276	0.0846501	0.344578	0.10246	0.0710806	0.356577	0.91935	2.65299	0.293866	0.219376	0.200704	0.286054	2.89605
