Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-53966.7	-53919.7	-46.9739	54.9788	0.0349776	0.113542	0.133868	0.0472908	0.0757937	0.0473292	0.13804	0.359831	0.0152943	0.261749	0.309552	0.141809	0.00911359	0.0668428	0.0354388	0.0499523	0.275799	0.0434681	0.140768	0.0504694	0.114042	0.0661207	0.0902403	0.0189678	0.0182048	0.0183446	0.0921523	0.031242	0.0880098	0.195164	0.142077	0.0555011	0.0322698	0.0196818	0.0607173	0.0647132	0.0279314	0.0656916	0.0110913	0.0912389	0.0689187	0.0858821	0.171908	0.1608	0.152849	0.0531691	0.0352648	0.0878102	0.0209499	0.0444443	0.0132082	0.102678	0.061281	0.0532566	0.102868	0.130827	0.0925117	0.0501088	0.0274276	0.0229204	0.128562	0.289846	0.055453	0.312461	0.190757	0.834156	0.951172	1.03844	1.17623	0.0114742	0.106261	0.123159	0.759105	5.17049
10	-35992.5	-35952.8	-39.7043	11.8915	0.0486695	0.0645193	0.238119	0.115169	0.125915	0.0805303	0.119482	0.19391	0.068216	0.134533	0.0948867	0.257788	0.0304936	0.104866	0.106146	0.079464	0.227828	0.240108	0.119322	0.0449177	0.188538	0.062285	0.279327	0.0431366	0.115657	0.0200348	0.152138	0.196041	0.0381085	0.121482	0.206551	0.0156544	0.027836	0.0047506	0.00803635	0.0115925	0.0273261	0.022608	0.0102876	0.027689	0.010176	0.0151964	0.0599773	0.0391577	0.0735187	0.0327796	0.0176076	0.0220887	0.00754188	0.05927	0.0110409	0.0422125	0.0401055	0.0447419	0.0148004	0.0288355	0.0352478	0.0174282	0.0132802	0.0952333	0.252684	0.164572	0.0891614	0.269781	0.128568	0.659184	0.88345	1.06875	1.38861	0.178925	0.318821	0.262987	0.239268	4.65897
20	-33070.4	-33023.9	-46.4716	4.17626	0.0501136	0.0708168	0.314968	0.183365	0.262742	0.165633	0.12225	0.108957	0.0177936	0.152467	0.0621268	0.347536	0.0488345	0.204279	0.153267	0.101164	0.0479061	0.445138	0.0279348	0.036557	0.299915	0.0710311	0.291035	0.0371299	0.334174	0.031699	0.188226	0.223119	0.023402	0.049344	0.28644	0.0105362	0.00912684	0.00389711	0.0290461	0.00876288	0.0137664	0.0138222	0.0250521	0.0206213	0.00524107	0.00927422	0.0243527	0.0291925	0.0735187	0.0471016	0.0129026	0.00411288	0.0102989	0.00806582	0.00213065	0.0221933	0.00704112	0.139075	0.0404976	0.00517162	0.0251317	0.00908809	0.00589062	0.0854793	0.226804	0.176422	0.0800293	0.24215	0.189116	0.46379	0.781092	1.08433	1.67078	0.178925	0.318821	0.262987	0.239268	5.37428
30	-30101.1	-30038.1	-62.9634	0.759507	0.052878	0.0573374	0.788014	0.138027	0.296602	0.155504	0.150975	0.141354	0.0221796	0.195267	0.0558133	0.548458	0.0488109	0.278446	0.183507	0.163302	0.0403801	0.613686	0.0221496	0.0261748	0.403312	0.10126	0.327719	0.039958	0.489764	0.0305675	0.208346	0.261733	0.0259509	0.0405773	0.518409	0.0099951	0.00836443	0.00364904	0.0519299	0.0106043	0.00449627	0.0155441	0.0169079	0.0121135	0.00200738	0.0175843	0.0193875	0.0528202	0.0343921	0.112526	0.00682126	0.0115526	0.00779088	0.0015705	0.00819126	0.010121	0.00505141	0.139886	0.0217481	0.00361982	0.0173511	0.00448516	0.00356514	0.0823862	0.256105	0.169188	0.0730856	0.235395	0.18384	0.0869181	0.390306	0.945071	2.57771	0.178925	0.318821	0.262987	0.239268	7.04054
40	-28874.9	-28779.1	-95.7395	0.271385	0.0367642	0.0876085	1.20992	0.0977859	0.103138	0.154845	0.111213	0.165559	0.0141421	0.0921503	0.0458974	0.972581	0.0455019	0.477051	0.25378	0.142054	0.0297375	1.65906	0.0134183	0.0127807	0.439911	0.121779	0.730709	0.0512695	0.960561	0.0211187	0.208346	0.401174	0.0108942	0.044607	0.995052	0.0262479	0.00421649	0.00627513	0.0239586	0.0053505	0.00301615	0.0194613	0.0817548	0.00218354	0.00181104	0.0467439	0.0315551	0.0209789	0.00994397	0.0619568	0.00267047	0.0270519	0.0229725	0.00146959	0.0321481	0.0131983	0.00883375	0.0359164	0.0933581	0.00389678	0.0158274	0.00237627	0.00501678	0.0882853	0.274444	0.181302	0.0500661	0.25225	0.153653	0.00326162	0.0825118	0.544469	3.36976	0.178925	0.318821	0.262987	0.239268	10.3206
50	-28415.7	-28288.9	-126.749	0.250899	0.036391	0.0900957	1.60074	0.109562	0.0337598	0.124542	0.0512533	0.126274	0.0297479	0.075993	0.0371328	1.20656	0.0431249	0.639251	0.445449	0.169436	0.0344772	2.24625	0.0109789	0.0144611	0.471158	0.102257	1.34717	0.0306244	1.43044	0.021362	0.292384	0.379144	0.014583	0.0442071	1.26712	0.024926	0.00257138	0.00856397	0.00992011	0.00352213	0.00342709	0.0096262	0.222904	0.00161143	0.000813299	0.0926254	0.0210918	0.0252422	0.0132619	0.0301906	0.00311464	0.0681622	0.144312	0.000110888	0.0326841	0.00649288	0.00395548	0.0106701	0.140221	0.00352676	0.00733012	0.0003953	0.00446465	0.0774219	0.280951	0.12633	0.0615761	0.281966	0.171754	0.00215392	0.0673399	0.503378	3.42713	0.196056	0.253599	0.288167	0.262177	13.4217
60	-28313.9	-28151.9	-162	0.226889	0.044535	0.0850884	2.13847	0.084172	0.0313644	0.157542	0.0801926	0.135268	0.0156044	0.0615408	0.0311296	1.61542	0.0391219	0.658212	0.457844	0.151951	0.0236842	3.10236	0.0132645	0.0195859	0.609779	0.119763	1.82387	0.0491291	1.66322	0.0203266	0.335079	0.442002	0.0125169	0.0503367	1.78982	0.0231631	0.0030131	0.00186794	0.00468893	0.00870158	0.00149332	0.00177913	0.148697	0.00261146	0.00130063	0.25503	0.0190067	0.0561547	0.00619455	0.00799299	0.00875145	0.0993229	0.191076	0.000424282	0.0469019	0.00258509	0.00555652	0.0121802	0.14675	0.0020623	0.0190953	0.00184787	0.00639561	0.0850086	0.225985	0.16586	0.0707038	0.349805	0.102638	0.00120368	0.0505845	0.450151	3.49806	0.196056	0.253599	0.288167	0.262177	16.9468
70	-28279.8	-28116	-163.79	0.226889	0.04269	0.0902332	2.12547	0.0755375	0.0284554	0.143696	0.0668306	0.113009	0.016104	0.0626485	0.0402219	1.5818	0.047815	0.781799	0.483637	0.133054	0.0211129	3.55337	0.0127409	0.0152776	0.647194	0.122457	1.60299	0.0493567	1.61422	0.0313685	0.374888	0.501278	0.0141167	0.0480746	1.61115	0.0252898	0.00366456	0.00602195	0.00508861	0.00362089	0.00159209	0.00215644	0.117337	0.000958411	0.00298788	0.241533	0.00499473	0.0504668	0.00663593	0.02037	0.00849459	0.090404	0.214126	0.00136982	0.0354695	0.00346483	0.00817019	0.0108931	0.173546	0.00207743	0.02315	0.000962239	0.00845035	0.0707159	0.237803	0.169991	0.0612244	0.35226	0.108006	0.00120368	0.0505845	0.450151	3.49806	0.198398	0.229937	0.291609	0.280056	17.1259
80	-28086.9	-27928.5	-158.384	0.226889	0.0444404	0.071426	2.12525	0.12569	0.0452905	0.153464	0.0806366	0.129982	0.0184373	0.0667951	0.0361877	1.52743	0.0595223	0.679819	0.453012	0.120223	0.0191154	3.31193	0.0126682	0.0122302	0.70758	0.10508	1.51972	0.0544939	1.55456	0.0309835	0.282231	0.394735	0.0157272	0.0546252	1.63553	0.0259753	0.00243547	0.007945	0.00323051	0.00401041	0.00311235	0.00160258	0.0495128	0.00988753	0.00252848	0.2703	0.00215228	0.069863	0.00208402	0.0224105	0.00999338	0.112421	0.202065	0.000470559	0.0638946	0.00347187	0.0105962	0.0518684	0.178474	0.000401767	0.0186651	0.000843283	0.00628644	0.0657154	0.284899	0.15797	0.0568951	0.327351	0.107169	0.00120368	0.0505845	0.450151	3.49806	0.191285	0.257545	0.281155	0.270015	16.5853
90	-27791.9	-27619.8	-172.074	0.234674	0.0400103	0.065583	2.12525	0.0424564	0.0823972	0.234959	0.0806366	0.147149	0.018799	0.0483747	0.04342	1.73547	0.0581674	0.651185	0.391532	0.0610849	0.0338009	3.31193	0.00919488	0.0176242	1.00552	0.161347	1.90819	0.0359433	1.95563	0.0295949	0.252971	0.183879	0.0159574	0.0471418	1.86219	0.0359545	0.000936712	0.00474723	0.00478698	0.00426615	0.00363866	0.00152019	0.0651138	0.0261102	0.00132624	0.364229	0.000560443	0.0646728	0.000967085	0.010819	0.000760568	0.0937771	0.231486	0.000350022	0.151294	0.0051663	0.0101032	0.0876286	0.0956943	0.000321576	0.0196192	0.00124647	0.00973952	0.087178	0.278355	0.154341	0.0555881	0.319831	0.104707	0.00147277	0.0558673	0.468032	3.47463	0.186563	0.251186	0.289541	0.272711	17.9542
