Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-26721.6	-26580.4	-141.25	0.232708	0.0327513	0.101386	2.45985	0.0575267	0.0317497	0.190575	0.0675821	0.279224	0.0217721	0.0459218	0.0286777	0.125409	0.0547141	0.813576	0.0107398	0.417043	0.0418332	3.38897	0.0104347	0.0146828	0.27409	0.12663	1.60737	0.0524427	0.103656	0.0253353	0.21871	0.069086	0.0215163	0.0835241	1.53251	0.00444673	0.0614161	0.0138249	0.268486	0.00952724	1.33164	0.00115831	0.0058046	0.00638877	0.00459975	0.00717188	0.0278489	0.00789353	0.00298769	0.294263	0.0195044	0.00928444	0.0772327	0.00125682	0.0544401	0.139972	0.137426	0.000627162	0.00421352	0.00485075	0.0159239	0.00149622	0.0488839	0.0846171	0.296837	0.141682	0.0744144	0.311757	0.090692	0.00140141	0.0545185	0.463575	3.48051	0.196072	0.236579	0.254028	0.313322	14.8719
110	-26655.8	-26516.1	-139.696	0.235668	0.0495953	0.0810758	2.34103	0.0532531	0.032154	0.210461	0.052963	0.2483	0.0252772	0.0516608	0.039783	0.123015	0.0429061	0.870493	0.0118855	0.41686	0.0256547	3.21944	0.0106077	0.0158947	0.316392	0.12663	1.65314	0.0514399	0.148937	0.0393841	0.215775	0.0500927	0.0186183	0.0683334	1.6169	0.00404869	0.0646576	0.0138629	0.389844	0.00619938	1.2431	0.00156974	0.00847156	0.0321268	0.00328463	0.016971	0.0241233	0.00263416	0.0099136	0.305392	0.0236374	0.00528533	0.0295077	0.000353298	0.049872	0.0216807	0.172587	0.000924305	0.00297061	0.00177956	0.00937982	0.0021284	0.0421696	0.0833455	0.30376	0.129029	0.0720305	0.319028	0.0928072	0.00150972	0.0565526	0.47027	3.47167	0.196072	0.236579	0.254028	0.313322	14.7164
120	-26378.3	-26280.4	-97.9197	0.235668	0.0242266	0.0769029	1.78155	0.0367556	0.0286036	0.172128	0.0533473	0.215598	0.0253253	0.035894	0.0318694	0.0566057	0.0416192	0.71481	0.012988	0.403729	0.0206525	2.93556	0.00878778	0.0196769	0.235882	0.114432	1.08225	0.0485326	0.157633	0.0261183	0.170537	0.047903	0.0120558	0.0611678	0.511118	0.00246739	0.0499651	0.00538736	0.278781	0.00260541	0.213716	0.00289296	0.00147838	0.138045	0.00348361	0.0163296	0.0418816	0.00385679	0.0152452	0.250336	0.0203209	0.00596696	0.0146911	0.000511357	0.0512121	0.0164087	0.167648	0.0101634	0.00510715	0.00109729	0.00790043	0.00335214	0.0436837	0.0857562	0.284134	0.132761	0.0695818	0.328256	0.099511	0.00150972	0.0565526	0.47027	3.47167	0.196072	0.236579	0.254028	0.313322	10.5388
130	-25730.6	-25641	-89.5559	0.265528	0.0331586	0.0738152	1.69372	0.0368838	0.0301411	0.184452	0.0763944	0.225487	0.0254804	0.0484862	0.0292463	0.00633598	0.0638967	0.762858	0.00857556	0.38382	0.0268648	2.20806	0.00676789	0.0153294	0.331523	0.118552	0.806344	0.0401441	0.255311	0.0270683	0.202377	0.0547939	0.0219309	0.0577662	0.2037	0.00606531	0.0644605	0.00470926	0.314527	0.00141033	0.0465226	0.00476661	0.00158929	0.487142	0.00389757	0.0127007	0.034425	0.00123265	0.0173374	0.24982	0.0262703	0.0417443	0.0145772	0.000709359	0.0569897	0.0170202	0.143849	0.0134818	0.0109774	0.00101741	0.00617354	0.0197401	0.0398217	0.0860584	0.269342	0.133229	0.069827	0.329413	0.112131	0.00291578	0.0781112	0.533109	3.38586	0.189939	0.229179	0.277359	0.303522	9.70226
140	-25343.2	-25260.3	-82.8437	0.274016	0.0417381	0.0908445	1.74931	0.0425399	0.0519051	0.191007	0.0537902	0.218121	0.0319333	0.0496309	0.0217501	0.00401263	0.0649432	0.661212	0.02684	0.335591	0.0238779	2.18662	0.00470638	0.0199497	0.288665	0.118278	0.493398	0.0495187	0.243599	0.0306581	0.199168	0.0560203	0.0187276	0.0476546	0.0546041	0.00472183	0.0991315	0.00387819	0.219165	0.0012531	0.0193953	0.00580312	0.00137547	0.40096	0.00819258	0.0153704	0.0453229	0.00308859	0.00750827	0.185949	0.0275808	0.117339	0.0070056	0.000397337	0.0357064	0.0488867	0.160776	0.0480711	0.0212645	0.000926162	0.0132411	0.015763	0.0423209	0.0860584	0.269342	0.133229	0.069827	0.329413	0.112131	0.00342468	0.0845023	0.549474	3.3626	0.186116	0.230261	0.278668	0.304955	9.031
150	-24851	-24769.1	-81.9096	0.257138	0.0414864	0.0741365	1.74727	0.0356744	0.0644076	0.19018	0.0526581	0.255588	0.0251189	0.0509703	0.0361984	0.000735628	0.0475241	0.614516	0.0189125	0.390862	0.0390066	2.22041	0.00307618	0.0214045	0.269992	0.118278	0.0942937	0.0639984	0.231508	0.0223151	0.199168	0.0523804	0.0220124	0.0617327	0.0486948	0.0027898	0.0696733	0.00343849	0.179637	0.00244108	0.00803915	0.00246461	0.000650972	0.108637	0.0126407	0.00652847	0.0450048	0.00115072	0.00225662	0.197492	0.0242171	0.778212	0.00630264	0.00112855	0.0316497	0.030597	0.123882	0.0882405	0.0310154	0.000765424	0.0186334	0.00589899	0.0397784	0.0860584	0.269342	0.133229	0.069827	0.329413	0.112131	0.00246125	0.071891	0.516299	3.40935	0.186116	0.230261	0.278668	0.304955	8.93768
160	-24702.4	-24614.6	-87.7677	0.272028	0.0353971	0.0938271	1.75787	0.0530126	0.0335921	0.209588	0.0528274	0.206043	0.0200479	0.0362636	0.0258288	0.000876061	0.0610696	0.698131	0.0192593	0.393459	0.0312174	2.32966	0.00980144	0.0143335	0.274784	0.118278	0.0576203	0.0579834	0.177969	0.0238802	0.238257	0.0349209	0.0111682	0.0594228	0.00771441	0.00513173	0.0455597	0.0105596	0.205888	0.00170292	0.00647867	0.00240755	0.000575097	0.116272	0.00935381	0.014247	0.0409766	0.00399962	0.00430398	0.275511	0.0160186	1.16521	0.0125687	0.0007569	0.0523325	0.0391227	0.140767	0.111619	0.0169755	0.000785229	0.0220421	0.0149402	0.0432051	0.0840444	0.263039	0.153513	0.0681929	0.321703	0.109507	0.00330101	0.0829974	0.545697	3.368	0.202632	0.225588	0.273013	0.298766	9.52341
170	-24540.4	-24457.5	-82.902	0.263032	0.0408029	0.076279	1.61946	0.0217166	0.0413352	0.199611	0.0526639	0.22348	0.0296189	0.0397436	0.0272873	0.00336638	0.0456313	0.74163	0.0225477	0.386878	0.0271595	2.11912	0.00952085	0.0256889	0.276303	0.11924	0.0516014	0.0579584	0.101059	0.0299297	0.207363	0.0389648	0.0144328	0.0583584	0.00869708	0.00656755	0.0396838	0.0139443	0.173574	0.0108602	0.0180917	0.00500076	0.000565725	0.0132903	0.00869376	0.01592	0.0438946	0.000507773	0.00829594	0.269469	0.0178074	1.16293	0.0277658	0.00108877	0.0585757	0.0327699	0.161521	0.125417	0.0309445	0.000605003	0.0264132	0.0200733	0.0251565	0.0937553	0.257862	0.150492	0.0670195	0.315372	0.115499	0.00277557	0.0762498	0.528175	3.3928	0.195695	0.231999	0.273265	0.299042	9.03688
180	-24161.9	-24068.7	-93.1927	0.245097	0.0383162	0.0919868	1.85371	0.036181	0.0369023	0.176811	0.0648408	0.248682	0.0293649	0.0553015	0.0351248	0.00520265	0.041234	0.709215	0.0127531	0.489078	0.0218582	2.34564	0.00280186	0.0282526	0.345542	0.109103	0.00969648	0.0626015	0.0150133	0.0236478	0.244343	0.0236814	0.0196588	0.0667439	0.00577738	0.00285982	0.0124629	0.0129537	0.0977391	0.00430498	0.0504035	0.00255557	0.000445229	0.00241187	0.0148902	0.0165652	0.0444194	0.00135277	0.00745158	0.347449	0.0216461	1.68151	0.0129957	0.00262667	0.040465	0.0255195	0.140841	0.194111	0.0340425	0.0017416	0.0105553	0.0216351	0.0110219	0.0956985	0.263206	0.153611	0.0665307	0.321908	0.0990451	0.00189106	0.0631724	0.491031	3.44391	0.192934	0.228726	0.283518	0.294823	10.066
190	-23935.2	-23835.3	-99.9223	0.239396	0.0275925	0.0946723	1.99829	0.0309039	0.06212	0.226215	0.0590223	0.198401	0.0214436	0.0412938	0.0243638	0.0047317	0.0386306	0.888817	0.0122858	0.275809	0.035819	2.93567	0.00243891	0.0242792	0.420247	0.127028	0.0121243	0.0617445	0.0067196	0.0338964	0.234652	0.0331397	0.0168024	0.0678722	0.0029637	0.0023557	0.00185138	0.0102175	0.0178086	0.00397572	0.136251	0.00250022	0.00304703	0.00104027	0.0117574	0.00796302	0.0457276	0.00124598	0.0154636	0.306114	0.0170817	1.53047	0.00540323	0.0107397	0.0474298	0.0129229	0.177931	0.268455	0.0236792	0.000608815	0.0160579	0.0213142	0.0196393	0.0966923	0.26594	0.155206	0.0570234	0.323565	0.101573	0.00165386	0.0591463	0.478584	3.46062	0.194251	0.230288	0.285454	0.290008	10.739
