Species ID,Order,Family,Genus,Species,Genus.species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria
136149,ANURA,HYPEROLIIDAE,Afrixalus,dorsimaculatus,Afrixalus.dorsimaculatus,"(Ahl, 1930)",Megalixalus dorsimaculatus,,VU,B1ab(iii)
56061,ANURA,HYPEROLIIDAE,Afrixalus,enseticola,Afrixalus.enseticola,"Largen, 1974",,Ethiopian Banana Frog,VU,B1ab(iii)
56062,ANURA,HYPEROLIIDAE,Afrixalus,equatorialis,Afrixalus.equatorialis,"(Laurent, 1941)",,Congo Banana Frog,LC,
56063,ANURA,HYPEROLIIDAE,Afrixalus,fornasini,Afrixalus.fornasini,"(Bianconi, 1849)",,,LC,
56064,ANURA,HYPEROLIIDAE,Afrixalus,fulvovittatus,Afrixalus.fulvovittatus,"(Cope, 1860)",Afrixalus vittiger  |Hyperolius brevipalmatus  |Hyperolius leptosomus  ,Banded Banana Frog,LC,
56065,ANURA,HYPEROLIIDAE,Afrixalus,knysnae,Afrixalus.knysnae,"(Loveridge, 1954)",,Knysna Banana Frog,EN,"B1ab(ii,iii,iv,v)"
56066,ANURA,HYPEROLIIDAE,Afrixalus,lacteus,Afrixalus.lacteus,"Perret, 1976",,,EN,"B1ab(i,iii)"
56067,ANURA,HYPEROLIIDAE,Afrixalus,laevis,Afrixalus.laevis,"(Ahl, 1930)",,,LC,
56068,ANURA,HYPEROLIIDAE,Afrixalus,leucostictus,Afrixalus.leucostictus,"Laurent, 1950",,,LC,
56069,ANURA,HYPEROLIIDAE,Afrixalus,lindholmi,Afrixalus.lindholmi,"(Andersson, 1907)",,,DD,
56070,ANURA,HYPEROLIIDAE,Afrixalus,morerei,Afrixalus.morerei,"Dubois, 1986",Afrixalus dabagae  ,,VU,B1ab(iii)
56071,ANURA,HYPEROLIIDAE,Afrixalus,nigeriensis,Afrixalus.nigeriensis,"Schiøtz, 1963",Afrixalus  congicus nigeriensis  ,Nigeria Banana Frog,NT,
56072,ANURA,HYPEROLIIDAE,Afrixalus,orophilus,Afrixalus.orophilus,"(Laurent, 1947)",Megalixalus orophilus,"Kivu Banana Frog, Montane Spiny Reed Frog, Two-lined Leaf-gluing Frog",LC,
56073,ANURA,HYPEROLIIDAE,Afrixalus,osorioi,Afrixalus.osorioi,"(Ferreira, 1906)",Rappia osorioi  ,"Angola Banana Frog, Congro Spiny Reed Frog, Osorio's Spiny Reed Frog",LC,
56074,ANURA,HYPEROLIIDAE,Afrixalus,paradorsalis,Afrixalus.paradorsalis,"Perret, 1960",,,LC,
56075,ANURA,HYPEROLIIDAE,Afrixalus,quadrivittatus,Afrixalus.quadrivittatus,"(Werner, 1907)",,,LC,
56076,ANURA,HYPEROLIIDAE,Afrixalus,schneideri,Afrixalus.schneideri,"(Boettger, 1899)",,,DD,
56077,ANURA,HYPEROLIIDAE,Afrixalus,septentrionalis,Afrixalus.septentrionalis,"Schiøtz, 1974",,,LC,
56078,ANURA,HYPEROLIIDAE,Afrixalus,spinifrons,Afrixalus.spinifrons,"(Cope, 1862)",,Natal Banana Frog,NT,
56079,ANURA,HYPEROLIIDAE,Afrixalus,stuhlmanni,Afrixalus.stuhlmanni,"(Pfeffer, 1893)",,,LC,
56080,ANURA,HYPEROLIIDAE,Afrixalus,sylvaticus,Afrixalus.sylvaticus,"Schiøtz, 1974",,,EN,B2ab(iii)
56081,ANURA,HYPEROLIIDAE,Afrixalus,uluguruensis,Afrixalus.uluguruensis,"(Barbour & Loveridge, 1928)",Megalixalus  uluguruensis ,Uluguru Banana Frog,EN,B1ab(iii)
56082,ANURA,HYPEROLIIDAE,Afrixalus,upembae,Afrixalus.upembae,"(Laurent, 1941)",,,DD,
56083,ANURA,HYPEROLIIDAE,Afrixalus,vibekensis,Afrixalus.vibekensis,"Schiøtz, 1967",Afrixalus laevis vibekensi  |Afrixalus vibekae  ,Nimba Banana Frog,NT,
56084,ANURA,HYPEROLIIDAE,Afrixalus,vittiger,Afrixalus.vittiger,"(Peters, 1876)",Hyperolius vittiger  ,"Savanna Banana Frog, Spiny Reed Frog",LC,
