Species ID,Genus,Species,genus_species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
59480,Ommatotriton,vittatus,Ommatotriton_vittatus,"(Gray, 1835)",Molge  syriacus |Molge  vittatus|Triton  vittatus|Triturus vittatus,"Southern Banded Newt, Banded Newt, Striped Eft",LC,,3.1,2009,decreasing,N
59454,Pachytriton,brevipes,Pachytriton_brevipes,"(Sauvage, 1876)",,Black-spotted Stout Newt,LC,,3.1,2004,decreasing,N
59455,Pachytriton,labiatus,Pachytriton_labiatus,"(Unterstein, 1930)",,Spotless Stout Newt,LC,,3.1,2004,decreasing,N
59456,Paramesotriton,caudopunctatus,Paramesotriton_caudopunctatus,"(Liu and Hu, 1973)",,Spot-tailed Warty Newt,NT,,3.1,2004,decreasing,N
59457,Paramesotriton,chinensis,Paramesotriton_chinensis,"(Gray, 1859)",,Chinese Warty Newt,LC,,3.1,2004,decreasing,N
16129,Paramesotriton,deloustali,Paramesotriton_deloustali,"(Bourret, 1934)",,Tam Dao Salamander,VU,"B2ab(iii,v)",3.1,2004,decreasing,N
59458,Paramesotriton,fuzhongensis,Paramesotriton_fuzhongensis,"Wen, 1989",,Wanggao Warty Newt,VU,"B1ab(iii,v)",3.1,2004,decreasing,N
59459,Paramesotriton,guanxiensis,Paramesotriton_guanxiensis,"(Huang, Tang and Tang, 1983)",,Guangxi Warty Newt,EN,B1ab(iii)+2ab(iii),3.1,2004,decreasing,N
59460,Paramesotriton,hongkongensis,Paramesotriton_hongkongensis,"(Myers & Leviton, 1962)",Paramesotriton chinensis subspecies hongkongensis,Hong Kong Warty Newt,NT,,3.1,2004,decreasing,N
61919,Pleurodeles,nebulosus,Pleurodeles_nebulosus,"(Guichenot, 1850)",,Algerian Ribbed Newt,VU,B2ab(iii),3.1,2006,decreasing,N
59462,Pleurodeles,poireti,Pleurodeles_poireti,"(Gervais, 1836)",,"Edough Ribbed Newt, Poiret's Newt",EN,B1ab(iii)+2ab(iii),3.1,2006,decreasing,N
59463,Pleurodeles,waltl,Pleurodeles_waltl,"Michahelles, 1830",,"Sharp-ribbed Salamander, Spanish Ribbed Newt",NT,,3.1,2009,decreasing,N
59464,Salamandra,algira,Salamandra_algira,"Bedriaga, 1883",,North African Fire Salamander,VU,B1ab(iii)+2ab(iii),3.1,2009,decreasing,N
19843,Salamandra,atra,Salamandra_atra,"Laurenti, 1768",,"Alpine Salamander, Golden Salamander",LC,,3.1,2009,decreasing,N
59465,Salamandra,corsica,Salamandra_corsica,"Savi, 1838",Salamandra salamandra subspecies corsica,Corsican Fire Salamander,LC,,3.1,2009,stable,N
59466,Salamandra,infraimmaculata,Salamandra_infraimmaculata,"(Mertens, 1948)",Salamandra salamandra subspecies infraimmaculata|Salamandra semenovi  ,Arouss Al Ayn,NT,,3.1,2009,decreasing,N
19845,Salamandra,lanzai,Salamandra_lanzai,"Nascetti, Capula and Bullini, 1988",,Lanza's Alpine Salamander,VU,D2,3.1,2009,stable,N
59467,Salamandra,salamandra,Salamandra_salamandra,"(Linnaeus, 1758)",Salamandra maculosa  ,"Common Fire Salamander, Fire Salamander",LC,,3.1,2009,decreasing,N
136135,Salamandrina,perspicillata,Salamandrina_perspicillata,"(Savi, 1821)",,,LC,,3.1,2009,stable,N
59468,Salamandrina,terdigitata,Salamandrina_terdigitata,"(Bonnaterre, 1789)",Molge  tridactyla|Salamandra  ter-digitata |Salamandra  tridactyla |Triton  tridactylus,Spectacled Salamander,LC,,3.1,2009,stable,N
59469,Taricha,granulosa,Taricha_granulosa,"(Skilton, 1849)",,Roughskin Newt,LC,,3.1,2015,stable,N
59470,Taricha,rivularis,Taricha_rivularis,"(Twitty, 1935)",,Redbelly Newt,LC,,3.1,2014,stable,N
136023,Taricha,sierra,Taricha_sierra,"Twitty, 1942",,Sierra Newt,LC,,3.1,2008,unknown,N
59471,Taricha,torosa,Taricha_torosa,"(Rathke, 1833)",,Coast Range Newt,LC,,3.1,2008,unknown,N
59474,Triturus,carnifex,Triturus_carnifex,"(Laurenti, 1768)",,Italian Crested Newt,LC,,3.1,2009,decreasing,N
22212,Triturus,cristatus,Triturus_cristatus,"(Laurenti, 1768)",Turanomolge mensbieri  ,"Great Crested Newt, Northern Crested Newt",LC,,3.1,2009,decreasing,N
22216,Triturus,dobrogicus,Triturus_dobrogicus,"(Kiritzescu, 1903)",,Danube Crested Newt,NT,,3.1,2009,decreasing,N
39420,Triturus,karelinii,Triturus_karelinii,"(Strauch, 1870)",Triturus cristatus subspecies karelini,Southern Crested Newt,LC,,3.1,2009,decreasing,N
59477,Triturus,marmoratus,Triturus_marmoratus,"(Latreille, 1800)",,Marbled Newt,LC,,3.1,2009,decreasing,N
59479,Triturus,pygmaeus,Triturus_pygmaeus,"(Wolterstorff, 1905)",,Southern Marbled Newt,NT,,3.1,2009,decreasing,N
59482,Tylototriton,asperrimus,Tylototriton_asperrimus,"Unterstein, 1930",Echinotriton  asperrimus|Pleurodeles  asperrimus|Yaotriton  asperrimus,"Black Knobby Newt, Granular Newt, Mount Yao Newt",NT,,3.1,2008,decreasing,N
59483,Tylototriton,hainanensis,Tylototriton_hainanensis,"Fei, Ye & Yang, 1984",Pleurodeles hainanensis|Yaotriton  hainanensis ,Hainan Knobby Newt,EN,B1ab(iii)+2ab(iii),3.1,2008,decreasing,N
59484,Tylototriton,kweichowensis,Tylototriton_kweichowensis,"Fang and Chang, 1932",,Red-tailed Knobby Newt,VU,"B2ab(iii,v)",3.1,2004,decreasing,N
47144426,Tylototriton,notialis ,Tylototriton_notialis ,"Stuart, Phimmachak, Sivongxay & Robichaud, 2010",,,VU,B1ab(iii),3.1,2015,unknown,N
59485,Tylototriton,shanjing,Tylototriton_shanjing,"Nussbaum, Brodie & Yang, 1995",,,NT,,3.1,2004,decreasing,N
59487,Tylototriton,verrucosus,Tylototriton_verrucosus,"Anderson, 1871",,"Crocodile Newt, Crocodile Salamander, Himalayan Newt, Himalayan Salamander, Red Knobby Newt",LC,,3.1,2009,unknown,N
135868,Tylototriton,vietnamensis,Tylototriton_vietnamensis,"Böhme, Schöttler, Truong and Köhler, 2005",,,NT,,3.1,2008,decreasing,N
59488,Tylototriton,wenxianensis,Tylototriton_wenxianensis,"Fei, Ye and Yang, 1984",,Wenxian Knobby Newt,VU,B2ab(iii),3.1,2004,decreasing,N
