Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-35679.7	-35447.1	-232.576	0.252788	0.00487566	0.42012	0.070653	0.005548	0.0414774	0.139068	0.039349	0.183796	0.0467407	0.00588428	0.0830358	0.0191196	0.0594651	0.0413908	0.631734	0.00675108	4.25883	0.0662021	1.41235	3.04499	0.050994	0.396165	0.00509618	1.95406	0.0446498	0.183395	0.0527931	0.317346	0.0595661	0.0372267	0.0195809	0.650275	0.0578678	0.160461	0.080473	0.0974707	0.71771	3.7028	0.10334	0.413558	0.0110354	0.00921832	0.0161546	0.0118918	0.00674226	0.000552735	0.0101049	0.00233903	0.00576273	0.00530864	0.0471461	0.00247037	0.0646954	0.017882	0.000479463	0.00542149	0.00626684	0.00597812	0.00487978	0.0465516	0.0226891	0.00640594	0.0081162	0.0103163	0.00763533	0.283434	1.44093	0.00784647	0.0647905	0.00196063	0.00231894	0.00156982	0.000336214	0.0773459	0.102199	0.34539	0.00225256	0.0796814	0.243557	0.164342	0.0574216	0.351943	0.103055	0.00224424	0.0687105	0.507328	3.42172	0.184446	0.241186	0.290054	0.284314	22.3526
110	-35466.1	-35250.2	-215.888	0.228541	0.00629697	0.373971	0.0199298	0.00588178	0.0326866	0.0704741	0.0479181	0.180791	0.0669165	0.0121776	0.0655191	0.0187383	0.0594651	0.0230562	0.538516	0.00325732	3.93497	0.0649218	1.40817	2.74383	0.0470036	0.399247	0.00714531	1.83228	0.0337198	0.172902	0.048173	0.371656	0.0661887	0.0269072	0.015172	0.394542	0.0576806	0.168325	0.0685467	0.0892859	0.672666	3.5397	0.0900183	0.350833	0.0327842	0.00159648	0.0139625	0.0146917	0.0113272	0.000529979	0.00706124	0.00731797	0.00679678	0.00780015	0.0292888	0.00130083	0.0487807	0.0263799	0.000297907	0.016812	0.00816758	0.00601087	0.00380626	0.0168505	0.0216441	0.00543529	0.00285948	0.0152209	0.00185583	0.283434	1.42341	0.0129376	0.0673672	0.00383991	0.00167765	0.00371711	0.000949333	0.0375915	0.142215	0.265877	0.00283974	0.0757558	0.251172	0.156245	0.0620025	0.350585	0.104239	0.00125779	0.0516922	0.453997	3.49305	0.186129	0.243386	0.283577	0.286908	20.6839
120	-35138.1	-34939.4	-198.753	0.231391	0.00448718	0.392153	0.0291277	0.00136824	0.0242226	0.0673081	0.0475872	0.186629	0.0398037	0.0121774	0.0662902	0.0171938	0.0594651	0.0206798	0.468092	0.00408417	3.69392	0.0506037	1.26647	2.31003	0.0467532	0.225981	0.00821027	1.88207	0.0424424	0.107137	0.0566189	0.370668	0.0606255	0.02477	0.0154284	0.407122	0.0415084	0.155095	0.0953838	0.0775411	0.598032	3.2522	0.0798254	0.250151	0.0259731	0.00272189	0.00769299	0.035939	0.0094883	0.00156873	0.00308741	0.00946664	0.075036	0.00569887	0.0115327	0.000357851	0.0262632	0.0123908	0.000554656	0.0817605	0.00886527	0.00890906	0.0028578	0.00665162	0.010254	0.0124465	0.00279284	0.0753174	0.00137696	0.320004	1.32817	0.00922051	0.0369634	0.004701	0.00197717	0.0189797	0.000792752	0.0486233	0.141794	0.0590213	0.00194794	0.0748119	0.274912	0.150954	0.0599026	0.338711	0.100709	0.00135488	0.0536199	0.460565	3.48446	0.187643	0.245367	0.277748	0.289242	18.9705
130	-35035.2	-34834.1	-201.189	0.229599	0.00424944	0.433675	0.0462037	0.00176296	0.0269755	0.0783609	0.0476714	0.181958	0.0446465	0.0157931	0.0660909	0.0269774	0.0636435	0.0198293	0.468092	0.00129434	3.61228	0.0434244	1.13316	2.3351	0.0421063	0.154929	0.00681963	1.91607	0.0523261	0.0926932	0.0572045	0.369873	0.0566323	0.0307881	0.0177681	0.449185	0.0430754	0.157363	0.0801814	0.0708802	0.671922	3.46926	0.104223	0.289478	0.0159387	0.00355834	0.00376478	0.0158338	0.0108286	0.00642817	0.00742612	0.00924329	0.105708	0.0217161	0.00195252	0.000138587	0.0126495	0.0100095	0.00134581	0.155915	0.0283137	0.00770212	0.00039156	0.00111285	0.0119318	0.00635371	0.00458352	0.118218	0.00143894	0.2708	1.32757	0.00299946	0.0189903	0.00901496	0.0035565	0.0202449	0.00086735	0.0251528	0.14415	0.0364935	0.00774415	0.0743328	0.273151	0.149987	0.0595189	0.336542	0.106468	0.00129327	0.0524052	0.456445	3.48986	0.187643	0.245367	0.277748	0.289242	19.2141
140	-34949.6	-34744.3	-205.225	0.229599	0.00322629	0.383242	0.0287072	0.00201252	0.0250376	0.0678933	0.0413311	0.175565	0.035809	0.0138992	0.0739931	0.0165358	0.0558087	0.0196024	0.498479	0.00282879	3.95825	0.0397854	1.43185	2.49236	0.0339249	0.121104	0.00646881	1.90583	0.0570445	0.0942885	0.0503939	0.369873	0.0826531	0.0231772	0.00611736	0.428526	0.0456238	0.179429	0.064986	0.094813	0.547619	3.46926	0.0896576	0.324227	0.0119526	0.00309527	0.0091321	0.0394921	0.0231228	0.00565141	0.00559743	0.00776056	0.07207	0.0114005	0.00114695	0.000631329	0.00937462	0.0144145	0.00200008	0.179709	0.0223978	0.00455838	0.00034703	0.00151269	0.00912261	0.00247406	0.00226492	0.104798	0.000800654	0.283265	1.17545	0.00194096	0.0392197	0.0263832	0.00623324	0.0230467	0.00127556	0.0107167	0.12673	0.0141558	0.00311371	0.0735118	0.270134	0.159375	0.0588615	0.332825	0.105292	0.00129327	0.0524052	0.456445	3.48986	0.187643	0.245367	0.277748	0.289242	19.6176
150	-34903.5	-34711.8	-191.665	0.240146	0.00476624	0.372741	0.0311993	0.00226331	0.0168711	0.0819892	0.0442485	0.15982	0.0418132	0.017448	0.0659049	0.0189826	0.0744686	0.0158148	0.535536	0.00259286	3.95825	0.0164389	1.13882	2.00649	0.0411172	0.143173	0.00423403	1.59245	0.0608407	0.111692	0.0382226	0.331659	0.0756334	0.0256533	0.0097831	0.38234	0.0462488	0.172896	0.0465275	0.0849399	0.567158	3.33265	0.0836728	0.286125	0.0185314	0.00438218	0.0193735	0.0249959	0.0281036	0.00596949	0.00607619	0.00340116	0.0838951	0.0155852	0.000532501	0.000287308	0.00864525	0.0142034	0.00205382	0.142958	0.0126205	0.00313466	0.000609905	0.000105546	0.00547671	0.00129307	0.00664703	0.102195	0.00180984	0.261492	1.18643	0.00316115	0.0522291	0.0415293	0.0226284	0.0289944	0.00500065	0.0156778	0.079555	0.00590003	0.00259655	0.0738157	0.257641	0.156898	0.0639129	0.340129	0.107603	0.00168388	0.0596716	0.480239	3.45841	0.187643	0.245367	0.277748	0.289242	18.2615
160	-34435.2	-34248.9	-186.209	0.239534	0.00449901	0.3492	0.033661	0.00180549	0.014447	0.0914299	0.0412215	0.160876	0.0433037	0.0114117	0.0602978	0.011769	0.0791051	0.0110433	0.392562	0.00112731	3.08717	0.0114707	1.196	2.49653	0.0285243	0.0980517	0.00887232	1.59245	0.0622227	0.105461	0.0441508	0.2724	0.0737516	0.0244111	0.0102948	0.354997	0.0732555	0.181669	0.0817629	0.0735874	0.532049	3.41796	0.108336	0.207592	0.0273781	0.00211965	0.0726645	0.0308546	0.0272923	0.00151646	0.00232891	0.0100241	0.048403	0.00906161	0.000450006	0.000125198	0.00890066	0.0090636	0.00701296	0.081535	0.0109353	0.00729861	0.000439275	0.000131857	0.00646467	0.000843445	0.0128956	0.131763	0.000652164	0.24021	1.26938	0.00532747	0.0346301	0.0346997	0.0768158	0.0326443	0.00935878	0.0129313	0.0305462	0.00388364	0.00473359	0.086347	0.255117	0.155361	0.0598282	0.336798	0.106549	0.00165936	0.0592429	0.478889	3.46021	0.187643	0.245367	0.277748	0.289242	17.716
170	-34209.1	-34023.9	-185.224	0.251835	0.00467742	0.365228	0.0215897	0.00323742	0.0224456	0.0869403	0.0536992	0.169356	0.0433037	0.0149912	0.0708541	0.0196204	0.056357	0.0162015	0.387559	0.0015839	3.16442	0.0200447	1.26009	2.44972	0.0411543	0.103869	0.00395902	1.69871	0.0576533	0.0925472	0.0416898	0.245588	0.0659436	0.0288784	0.0159283	0.206173	0.0456787	0.152373	0.0389846	0.0711946	0.5729	3.39758	0.111879	0.0828283	0.00740288	0.00569181	0.0553375	0.0774498	0.0253747	0.00339018	0.00158046	0.00964151	0.0214556	0.00177079	0.000207	0.000257655	0.00673914	0.00861623	0.00579188	0.0278848	0.00900455	0.0153513	0.00187137	0.000946915	0.00648763	0.00118626	0.00470543	0.123192	0.000509756	0.232458	1.25212	0.0013992	0.0552965	0.0414148	0.201805	0.0265375	0.0217683	0.0042533	0.0463401	0.00189355	0.00286696	0.0877133	0.259154	0.141996	0.0607749	0.342127	0.108235	0.00219837	0.0680181	0.505339	3.42444	0.18881	0.246892	0.280008	0.28429	17.6174
180	-34161	-33987.8	-173.255	0.23095	0.00488017	0.365228	0.0243977	0.00073407	0.0156544	0.0854241	0.0426475	0.204068	0.0269852	0.0134984	0.0641216	0.0217474	0.0579226	0.0162963	0.425767	0.000384745	3.04369	0.0205095	1.25103	1.89496	0.0362886	0.112917	0.00201565	1.63926	0.0624319	0.0925472	0.0510115	0.238531	0.078706	0.0230504	0.0227492	0.13447	0.0444156	0.0924328	0.0342249	0.0538374	0.516793	3.05523	0.123717	0.0534246	0.00364017	0.00552416	0.0554685	0.112316	0.0217343	0.00425223	0.000326388	0.00837369	0.00544359	0.00408038	6.76627e-05	0.0013334	0.00607894	0.00812911	0.0058063	0.035892	0.00892185	0.00437004	0.00498693	0.00257743	0.00458592	0.00136117	0.00377689	0.0943082	0.00150471	0.283937	1.23774	0.00121041	0.0809758	0.0139199	0.262898	0.00929391	0.0470381	0.00873538	0.0180209	0.000993497	0.00299385	0.0877133	0.259154	0.141996	0.0607749	0.342127	0.108235	0.00133955	0.0533203	0.459555	3.48579	0.18881	0.246892	0.280008	0.28429	16.4206
190	-34013.4	-33837.4	-176.002	0.23095	0.00680885	0.405419	0.0112395	0.000614156	0.0201883	0.072923	0.0426475	0.165122	0.0295376	0.0107964	0.0584753	0.0200606	0.0306243	0.0160741	0.428347	0.0012812	3.32933	0.0315897	1.23353	2.05964	0.0324442	0.0806266	0.00290593	1.58035	0.0555502	0.0925472	0.0479346	0.249099	0.0563868	0.0307005	0.0150034	0.20091	0.0449444	0.0888434	0.044901	0.0467137	0.567121	3.05523	0.123837	0.0499584	0.00455423	0.0213513	0.0653067	0.0989223	0.0255194	0.00515912	0.00121415	0.00496583	0.000629212	0.0055706	0.000342755	0.00231864	0.0149881	0.0105731	0.00490022	0.0214033	0.023096	0.00824792	0.0067284	0.0130415	0.0039106	0.00119991	0.00124746	0.112652	0.00154624	0.215717	1.19714	0.00196499	0.0678002	0.00908653	0.244753	0.00468597	0.040647	0.00462888	0.0052439	0.0020679	0.00198597	0.0863876	0.259531	0.142202	0.0608632	0.342624	0.108392	0.00133955	0.0533203	0.459555	3.48579	0.18881	0.246892	0.280008	0.28429	16.6954
