Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-74474.8	-74373	-101.783	38.5666	0.0613534	0.0668102	0.0385851	0.29459	0.0751527	0.293199	0.0175769	0.0557196	0.308236	0.109749	0.271671	0.0763918	0.0495489	0.376164	0.096718	0.164559	0.0363702	0.0613196	0.0969011	0.0278547	0.249434	0.215506	0.168832	0.0105842	0.023238	0.0369433	0.0439451	0.0355437	0.000870789	0.117531	0.0532009	0.0166668	0.0101194	0.0741688	0.319772	0.0701834	0.183527	0.180508	0.00145965	0.0121931	0.133964	0.123307	0.141665	0.0332149	0.404434	0.200326	0.380497	0.047459	0.245102	0.0151594	0.201392	0.0127551	0.136659	0.00942681	0.035692	0.0856031	0.0807603	0.203505	0.0174195	0.0956765	0.020761	0.186812	0.127732	0.379094	0.00745116	0.0625176	0.0860967	0.0654281	0.3309	0.0385491	0.0709933	0.167995	0.0669398	0.0788078	0.0276403	0.139917	0.217435	0.350175	0.142755	0.0248596	0.0718302	0.387793	0.0225863	0.803386	0.940579	1.04463	1.21141	0.256306	0.0378568	0.177996	0.527841	9.08178
10	-51928.7	-51853.5	-75.217	15.8966	0.0603248	0.183024	0.0406186	0.0349979	0.056298	0.120892	0.0907101	0.105459	0.155595	0.169392	0.1486	0.0158628	0.195281	0.193856	0.0860852	0.23185	0.0908496	0.05402	0.297879	0.0396615	0.13747	0.0676894	0.114319	0.0438766	0.0484417	0.267062	0.0862988	0.134729	0.00100433	0.0696689	0.0174319	0.0821527	0.0247579	0.0410447	0.246739	0.151843	0.229876	0.39847	0.00814865	0.032367	0.0840416	0.0535683	0.0405321	0.0192877	0.0968815	0.132566	0.113001	0.0773294	0.0640177	0.0203433	0.0357556	0.00943054	0.0674348	0.00188098	0.0140178	0.0441623	0.072408	0.113021	0.0780218	0.0403379	0.0457879	0.0502881	0.043712	0.0473596	0.0104873	0.0265779	0.013271	0.0422412	0.168611	0.0316208	0.00585844	0.0366478	0.0087685	0.0212941	0.00757632	0.0802047	0.145519	0.23272	0.270341	0.0312982	0.114124	0.220395	0.131122	0.701617	0.901636	1.06256	1.33419	0.170829	0.262029	0.313372	0.253769	6.53851
20	-43070.6	-42976.8	-93.7763	0.312188	0.0166948	0.208806	0.0612945	0.0122684	0.0766296	0.0993114	0.063437	0.231383	0.168387	0.575942	0.0704838	0.0125006	0.252007	0.196238	0.140099	0.411801	0.146711	0.0359117	0.50156	0.226999	0.191734	0.0964028	0.144414	0.114156	0.1595	0.445065	0.0651957	0.221915	0.00411031	0.0592752	0.0137725	0.245191	0.067414	0.111767	0.105908	0.282214	0.310098	0.904174	0.0106917	0.0632832	0.0677508	0.0115486	0.0764783	0.0117219	0.0290634	0.035049	0.0614011	0.0724849	0.00898807	0.0130977	0.00489312	0.00817091	0.0972994	0.0026036	0.00306838	0.0553884	0.0213628	0.215479	0.166226	0.0203736	0.0360815	0.00204315	0.0150979	0.0195271	0.0019375	0.0139402	0.00450394	0.0211895	0.109746	0.0201491	0.00368527	0.0455572	0.000998227	0.0121385	0.00317715	0.0235188	0.0318706	0.167151	0.207515	0.189325	0.087602	0.247756	0.10065	0.00633595	0.114004	0.615715	3.26395	0.144219	0.210106	0.263541	0.382133	8.47236
30	-40288.7	-40158.3	-130.374	0.290791	0.00755084	0.258435	0.0576953	0.00565279	0.0644553	0.123652	0.0485424	0.258852	0.219674	0.84963	0.0704838	0.0109573	0.346573	0.193629	0.168229	0.492705	0.893406	0.0177301	0.519984	0.672223	0.118671	0.0750313	0.0784442	0.279539	0.18524	0.742981	0.038036	0.323104	0.00838147	0.0219827	0.0161665	0.34703	0.0398932	0.144188	0.0923507	0.385305	0.468016	2.19149	0.0349679	0.0251172	0.0303727	0.00744522	0.0157386	0.0104373	0.0123322	0.0242545	0.0229883	0.022001	0.00211414	0.0101097	0.00291617	0.00215673	0.195324	0.0033361	0.00244129	0.0405746	0.00739618	0.185626	0.30049	0.0577472	0.00197557	0.000494663	0.0136679	0.0126116	0.00441875	0.00645227	0.00857377	0.0138091	0.0714875	0.00588427	0.0216441	0.0922366	0.000557837	0.00572925	0.00155269	0.00575403	0.0136321	0.120465	0.257311	0.166738	0.0657543	0.268541	0.121191	0.00457808	0.0973529	0.580008	3.31806	0.170144	0.247876	0.29094	0.29104	12.1323
40	-38764.3	-38565.3	-198.983	0.288206	0.00326361	0.438283	0.0321194	0.00444988	0.0580459	0.196276	0.0443335	0.341317	0.247651	1.00315	0.0707411	0.0133362	0.457354	0.162869	0.317569	0.710035	1.50107	0.0268572	0.558458	2.20942	0.0408961	0.0559669	0.0329657	1.46487	0.277683	1.01926	0.0278964	0.433299	0.0152901	0.032557	0.0180371	0.42973	0.0488087	0.138174	0.127737	1.05428	0.702961	3.09458	0.212817	0.0149217	0.0309598	0.00526548	0.0166152	0.0120561	0.00535181	0.0195935	0.015238	0.0419488	0.00137945	0.0236553	0.00265945	0.00240927	0.296471	0.00279473	0.000717173	0.00722268	0.0254819	0.244813	0.247112	0.023002	0.00426038	0.000393074	0.00420818	0.00785995	0.00580386	0.0169368	0.00528457	0.00679111	0.0389767	0.00709261	0.0662831	0.126209	0.00181746	0.00156838	0.00219157	0.00123418	0.0321507	0.112685	0.267511	0.176494	0.0696018	0.284254	0.0894531	0.0043875	0.0953577	0.575455	3.3248	0.170144	0.247876	0.29094	0.29104	18.9931
50	-38178.6	-37905.7	-272.947	0.258397	0.00628408	0.445058	0.0410187	0.00529557	0.0575494	0.231248	0.0435651	0.409362	0.322037	0.454424	0.0650306	0.0132673	0.549142	0.0343169	0.333075	1.2818	4.01864	0.0319652	0.454339	3.97245	0.0403249	0.0398259	0.0321792	1.37102	0.274943	1.23248	0.0390962	0.563908	0.0444858	0.0320464	0.0234091	0.565656	0.0444566	0.130876	0.117699	1.4809	0.883746	4.38687	0.330651	0.0364992	0.00988755	0.0116033	0.00531161	0.00811585	0.0076222	0.0159	0.0112984	0.0393368	0.0022975	0.0302476	0.000180661	0.00371555	0.304686	0.00203608	0.000860044	0.00534261	0.0617806	0.820615	0.18155	0.0142671	0.000808267	0.000165793	0.00575335	0.0038155	0.011599	0.0154151	0.00472404	0.00240386	0.0102131	0.00601123	0.124711	0.151061	0.00462485	0.000636475	0.00658344	0.00257633	0.0610134	0.0810151	0.290746	0.178552	0.0435207	0.308943	0.0972228	0.00252642	0.0728176	0.518862	3.40579	0.170144	0.247876	0.29094	0.29104	26.3897
60	-38013.5	-37738.2	-275.234	0.258303	0.00671995	0.493914	0.0328642	0.00302971	0.0579629	0.224427	0.0379118	0.399742	0.329837	0.184485	0.0794014	0.0150946	0.447667	0.0485046	0.298583	1.29285	3.726	0.0286089	0.173402	4.26067	0.0429889	0.0430421	0.0566845	1.80088	0.274943	1.43676	0.0388258	0.604988	0.0563124	0.0301901	0.0181015	0.523935	0.0454677	0.107201	0.118198	1.49243	0.802609	3.94897	0.335604	0.0325777	0.0215352	0.00542932	0.00304312	0.00974075	0.00651859	0.0237012	0.0179459	0.0183851	0.00538884	0.0269523	0.00047488	0.00808231	0.317449	0.00396807	0.00237505	0.00872696	0.0767478	1.41435	0.150038	0.0106939	0.000751864	8.98426e-05	0.00219562	0.00339309	0.0130138	0.016427	0.00201782	0.00280636	0.0102422	0.0115113	0.124711	0.171196	0.00681374	0.000691632	0.00215448	0.00246151	0.16398	0.0727852	0.261211	0.160413	0.0634265	0.354817	0.0873465	0.00252151	0.0727481	0.518671	3.40606	0.191003	0.248269	0.287502	0.273226	26.6184
70	-37681.8	-37417.8	-263.948	0.258303	0.00779521	0.430503	0.0389075	0.00389816	0.0460329	0.229157	0.0379118	0.419759	0.343328	0.183705	0.0843168	0.0176909	0.518964	0.0415442	0.341007	1.28138	3.35011	0.0205447	0.0667462	3.78912	0.0552159	0.0380829	0.00776607	1.65076	0.222253	1.62215	0.0326213	0.390403	0.0450594	0.0245764	0.0251625	0.605182	0.041694	0.127319	0.124249	1.22179	0.830772	3.94897	0.362262	0.0197212	0.0159255	0.000994443	0.00233415	0.0156241	0.00497834	0.011915	0.0192896	0.016828	0.00474492	0.0780639	0.000339931	0.011125	0.372115	0.00183463	0.00601575	0.0116263	0.0909843	1.30891	0.24523	0.0222395	0.000868032	0.000209524	0.00300303	0.00746268	0.0152162	0.0101366	0.00233734	0.00198256	0.0109866	0.024535	0.179152	0.178952	0.0387999	0.0011796	0.00159321	0.00637209	0.117462	0.0716008	0.263839	0.157803	0.0640035	0.349043	0.0937098	0.00252151	0.0727481	0.518671	3.40606	0.191003	0.248269	0.287502	0.273226	25.4898
80	-37128.7	-36855.6	-273.053	0.257372	0.00694123	0.585486	0.0339561	0.00234728	0.0717602	0.205119	0.0359505	0.503066	0.347262	0.211535	0.0789414	0.0194304	0.121834	0.0672321	0.322569	1.33495	4.2779	0.0212316	0.0429726	2.95845	0.0363073	0.0354319	0.0032554	1.83579	0.349573	1.46506	0.0370705	0.464823	0.0724903	0.0312589	0.021752	0.581545	0.0545033	0.139679	0.140047	1.44852	0.794163	4.34603	0.382538	0.0245425	0.0203261	0.00132736	0.00457672	0.0164841	0.00307858	0.0252168	0.00889291	0.0138504	0.00713484	0.0322943	0.000485427	0.0109571	0.351562	0.00232792	0.00935182	0.0109632	0.0622375	1.46827	0.327743	0.0228126	0.00152897	0.000227775	0.00127902	0.00918274	0.00354559	0.00624042	0.000737026	0.00186387	0.00647294	0.0135108	0.0751546	0.128441	0.0692247	0.00244546	0.0021869	0.0178272	0.147188	0.0751656	0.262686	0.135006	0.06719	0.366421	0.0935313	0.00247331	0.0720634	0.516777	3.40869	0.188446	0.244944	0.283652	0.282959	26.4003
90	-37013.5	-36746.6	-266.863	0.246136	0.00915943	0.478323	0.0237764	0.00566907	0.145325	0.168485	0.0278923	0.516663	0.332323	0.177404	0.0830596	0.0194228	0.0662289	0.0793354	0.353534	1.38309	4.21831	0.0255439	0.064696	2.8497	0.0399902	0.0167716	0.00217495	1.85681	0.251027	1.60927	0.0300733	0.435445	0.066385	0.0385079	0.0185743	0.55075	0.0545033	0.110461	0.164971	1.44852	0.817995	3.83914	0.412312	0.02668	0.0157763	0.000878125	0.00269603	0.0113266	0.0031124	0.0341305	0.00414914	0.0118038	0.00455415	0.0808314	0.000203981	0.0298872	0.381327	0.00454308	0.00854048	0.00580304	0.10416	1.40623	0.386267	0.0148444	0.000786575	0.000193926	0.00136401	0.00738766	0.00678387	0.00635841	0.000870367	0.00088014	0.00969153	0.0203434	0.0491669	0.0956969	0.0532641	0.00081596	0.00115163	0.0424092	0.154867	0.0741162	0.259018	0.147083	0.0662519	0.361305	0.0922254	0.00193656	0.0639143	0.493267	3.44088	0.188446	0.244944	0.283652	0.282959	25.7814
