Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
230	-2198.73	-1820.5	-378.236	125.885	0.67795	0.000111071	0.644051	0.0338993	0.208279	0.229119	0.0533097	0.079613	0.348295	0.081385	0.889092	0.968838	1.02662	1.11545	-3.9544	0.373308	0.184529	0.170644	0.271519	0.644051
240	-2208.96	-1835.36	-373.601	139.879	0.62618	0.000112971	0.58777	0.0384102	0.234769	0.203425	0.0385606	0.0575866	0.251933	0.213726	0.894665	0.970544	1.02537	1.10942	-3.94703	0.381719	0.177971	0.168972	0.271337	0.58777
250	-2200.33	-1831.65	-368.688	99.4608	1.77651	0.000123378	1.73521	0.0412982	0.235189	0.225769	0.0427961	0.211326	0.212846	0.0720734	0.875578	0.964636	1.02962	1.13016	-3.90876	0.362334	0.190722	0.156167	0.290777	1.73521
260	-2199.74	-1829.65	-370.092	86.2582	1.41721	0.00014625	1.38294	0.0342782	0.197988	0.211973	0.0360269	0.1779	0.25003	0.126082	0.866649	0.961809	1.03157	1.13997	-3.8349	0.382403	0.189756	0.149492	0.278349	1.38294
270	-2186.13	-1827.21	-358.916	57.1686	1.73194	0.000133156	1.71276	0.0191848	0.209093	0.225935	0.0380475	0.189439	0.204331	0.133154	0.83725	0.952209	1.0378	1.17274	-3.87564	0.378543	0.161522	0.159208	0.300728	1.71276
280	-2190.55	-1822.48	-368.066	157.483	1.04556	0.000124002	1.02099	0.0245715	0.219697	0.237393	0.0423865	0.139365	0.221252	0.139907	0.900605	0.972346	1.02403	1.10302	-3.90657	0.351962	0.206823	0.148028	0.293187	1.02099
290	-2203.6	-1832.02	-371.584	152.426	1.30296	9.71849e-05	1.2716	0.0313555	0.281847	0.22509	0.0401899	0.176301	0.198892	0.0776794	0.899003	0.971862	1.02439	1.10475	-4.0124	0.349408	0.160269	0.161422	0.3289	1.2716
300	-2204.06	-1829.72	-374.349	71.7495	1.07602	0.000121087	1.06194	0.014077	0.273962	0.214959	0.0479129	0.145991	0.23151	0.0856664	0.854181	0.957793	1.03425	1.15378	-3.9169	0.350282	0.154302	0.19317	0.302247	1.06194
310	-2196.45	-1828.2	-368.249	466.556	1.36626	0.000123465	1.33822	0.0280354	0.282293	0.191228	0.0426236	0.221984	0.205953	0.0559193	0.941781	0.984363	1.01441	1.05944	-3.90845	0.369278	0.153633	0.189635	0.287454	1.33822
320	-2213.1	-1840.57	-372.529	139.991	1.60898	0.000117373	1.58305	0.0259271	0.317246	0.129669	0.100506	0.0821256	0.307611	0.0628432	0.894706	0.970557	1.02536	1.10938	-3.93043	0.372671	0.145856	0.191377	0.290096	1.58305
