Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	TL
100	-3871.97	-3858.7	-13.2668	0.0120036	0.032109	0.0380253	0.0184509	0.000589239	0.00908196	0.0134497	0.0183435	0.0142055	0.00194391	0.00474716	0.00602171	0.000654968	0.00621022	0.00681467	0.0126502	0.0560394	0.0263508	0.00145301	0.0253288	0.0186003	0.00834984	0.00946668	0.000475777	0.00960331	0.00751423	0.00827494	0.00498709	0.00325457	0.0153909	0.0135695	0.0137432	0.011527	0.014729	0.0041998	0.00940417	0.00572109	0.00905966	0.00108626	0.0127876	0.0297219	0.00351014	0.0119653	0.0145439	0.00259044	0.00718347	0.00109502	0.0242396	0.00034541	0.00279769	0.020603	0.0173135	0.0784525	0.0186548	0.0221075	0.00433931	0.00504695	0.00566416	0.00773558	0.0124799	0.0040676	0.00657244	0.0163205	0.00791515	0.000587456	0.00310371	0.00708971	0.00265793	0.0300191	0.854942
110	-3878.39	-3865.09	-13.2941	0.00588803	0.0242021	0.0219608	0.0088332	0.00349908	0.0113436	0.0108196	0.0207492	0.00685272	0.000822398	0.00474716	0.00529308	0.00868886	0.0104337	0.00957222	0.0131443	0.0808047	0.0248159	0.00268776	0.0174758	0.0146525	0.00834984	0.0151153	0.000697547	0.0164395	0.00468005	0.0322678	0.00738144	0.00145232	0.01692	0.00726797	0.0065057	0.00852387	0.0176128	0.0041998	0.00429364	0.000258742	0.00905966	0.00746589	0.0085305	0.0341986	0.00249645	0.011476	0.014267	0.00473319	0.00840558	0.00109502	0.0323668	0.00124807	0.00279769	0.0277676	0.00695134	0.0502604	0.00698317	0.0133951	0.0133908	0.00262268	0.00422844	0.00709433	0.0311662	0.0113747	0.00171439	0.0170791	0.0106837	0.00183504	0.00310371	0.00708971	0.00640359	0.0371402	0.857678
120	-3865.94	-3853.31	-12.6324	0.012489	0.027946	0.0308489	0.0170657	0.00349908	0.00744645	0.0108196	0.0207492	0.0100352	0.000926213	0.00455044	0.00208401	0.00569988	0.0104337	0.00905074	0.0119463	0.0681306	0.0305112	0.00583493	0.0136438	0.00637139	0.00495821	0.00826407	0.00129863	0.0107294	0.00783225	0.0248252	0.00542168	0.00145232	0.0115857	0.0181137	0.00620156	0.013827	0.0160183	0.00479916	0.00117736	0.000595084	0.00795722	0.00151586	0.0197069	0.0341986	0.0146991	0.0075906	0.016315	0.00473319	0.00377856	0.00109502	0.0235784	0.00150468	0.000370923	0.0248618	0.022736	0.0387188	0.00759472	0.0180881	0.0114723	0.00262268	0.00422844	0.000819796	0.0082196	0.00685223	0.000128939	0.0117393	0.0106837	0.00183504	0.00297762	3.67075e-05	0.00640359	0.0272634	0.791509
130	-3864.26	-3851.13	-13.13	0.00481184	0.0149085	0.0338685	0.0149451	0.00347768	0.0060938	0.00629526	0.0105547	0.00910897	0.00276119	0.00423552	0.0115556	0.00145414	0.0104337	0.0060476	0.0186662	0.0783661	0.0230373	0.00368669	0.0147038	0.0109875	0.00495821	0.0081118	0.00215269	0.0102805	0.0138922	0.0273533	0.00624413	0.00623092	0.0114599	0.0121116	0.00548341	0.0168919	0.0173741	0.00698977	0.00656787	0.00195034	0.000588883	0.00461098	0.0194866	0.0403809	0.00353682	0.0159919	0.0093476	0.00741036	0.007665	0.00497049	0.0278098	0.0030077	0.0016829	0.0200487	0.015658	0.0544686	0.0186844	0.026454	0.00199449	0.00262268	0.0051792	0.00345203	0.0198616	0.011523	0.00239677	0.0115323	0.00310582	0.00831464	0.00796379	0.00228923	0.0057451	0.0254303	0.841267
140	-3860.45	-3847.28	-13.1676	0.00623035	0.0202284	0.036357	0.0154762	0.00103504	0.00920782	0.0162654	0.0207306	0.0105998	0.00133021	0.00318477	0.0036438	0.00271204	0.0108544	0.00463588	0.0185429	0.0507629	0.0191545	0.00576644	0.0193159	0.022392	0.00495821	0.00837222	0.00215269	0.00434546	0.01092	0.0255335	0.0118812	0.00356384	0.0167604	0.00420963	0.00358464	0.0168919	0.0191208	0.00698977	0.00153199	0.00153085	0.00615277	0.00410982	0.0279259	0.0521647	0.00184452	0.0075659	0.0142405	0.00741036	0.00305346	0.00166322	0.0301787	0.00253843	0.0016829	0.0328097	0.0200545	0.0544686	0.0225787	0.0215684	0.00199449	0.00506846	0.00252487	0.00152047	0.015166	0.00397369	0.000803743	0.012729	0.0112044	0.00531612	0.00776473	0.00228923	0.0040404	0.017841	0.845021
150	-3856.84	-3844.33	-12.5149	0.012135	0.021926	0.0523965	0.0126516	7.44251e-05	0.00920782	0.00455891	0.0188817	0.0030835	0.00421429	0.0102039	0.00362565	0.00215844	0.00418803	0.00701469	0.0141688	0.0616933	0.0130486	0.00576644	0.0213295	0.0226921	0.00530739	0.00816165	0.00401049	0.00434546	0.00481369	0.0168602	0.00652956	0.00317188	0.0159787	0.00839674	0.00450708	0.00700117	0.0221763	0.00480148	0.00113888	0.00446559	0.00672704	0.00365024	0.0241473	0.0246552	0.0025556	0.0105355	0.0150528	0.013481	0.00795683	0.000244776	0.0302832	0.000922041	0.00142716	0.017471	0.00880373	0.0591516	0.0173925	0.0213204	0.00560684	0.00131878	0.00116623	0.00271658	0.015166	0.0121844	0.000803743	0.0186179	0.00464906	0.00389638	0.00244131	0.0007224	0.00518177	0.012817	0.779752
160	-3861.78	-3848.63	-13.1433	0.0047723	0.033809	0.0424666	0.00944552	0.000449939	0.00371099	0.00719295	0.0126942	0.00585955	0.00421429	0.00182192	0.005739	0.00215844	0.00621876	0.0102064	0.0113751	0.0731466	0.0101827	0.00494295	0.0213295	0.0144472	0.00720393	0.00674347	0.000191712	0.00799703	0.0103091	0.0325595	0.00290302	0.00424374	0.0181427	0.00839674	0.0022953	0.0265499	0.0172399	0.00480148	0.00488092	0.00103076	0.00761809	0.00365024	0.0300815	0.0450343	0.00742098	0.020857	0.0129351	0.00388035	0.00355456	0.0012427	0.0195118	0.000895488	0.00331178	0.0110631	0.0228686	0.0566537	0.022916	0.0237798	0.00209967	0.00358613	0.00116137	0.00158299	0.0138392	0.0030316	0.000803743	0.0187782	0.0131894	0.00170285	0.00331581	0.0145129	0.00531088	0.0207338	0.842597
170	-3855.14	-3841.88	-13.2632	0.0047723	0.0314686	0.0416118	0.0174081	0.00115226	0.00242177	0.0103019	0.0127481	0.00611148	0.00427248	0.00759558	0.00218459	0.00167563	0.00459983	0.0089201	0.0257455	0.0779076	0.0227728	0.0115905	0.0253006	0.015012	0.00417977	0.00755477	0.00298946	0.00600333	0.0135964	0.0176174	0.00479784	0.00424374	0.00957151	0.00853633	0.00576437	0.0133943	0.012186	0.00615459	0.00425067	0.00103076	0.00761809	0.00623126	0.0398927	0.036734	0.00453242	0.020857	0.0185469	0.00535508	0.00240133	0.0017131	0.026946	0.0012162	0.000525548	0.0173091	0.00547142	0.0582403	0.0226742	0.0201099	0.00290949	0.00174395	0.00320475	0.00308594	0.0275911	0.0144093	0.000803743	0.0162733	0.000913619	0.00170285	0.00680355	0.00388237	0.00531088	0.0121272	0.854581
180	-3862.15	-3849.59	-12.5585	0.00294635	0.0307102	0.0299487	0.00828611	0.00115226	0.00524845	0.0103019	0.00996427	0.0168099	0.00643178	0.00349366	0.00484755	0.00237548	0.00852892	0.00981447	0.00831472	0.0858279	0.0112757	0.0121007	0.0137099	0.0193399	0.00474485	0.0102163	0.00131935	0.00247575	0.0135964	0.0226788	0.00453898	0.00191999	0.0131168	0.00788054	0.000827008	0.00750301	0.0176414	0.00368793	0.00141118	0.00373866	0.00483961	0.00133349	0.0151754	0.0347347	0.00185943	0.010737	0.0177677	0.00543414	0.00870364	0.0024422	0.0285813	0.00512603	0.000396127	0.0183346	0.00824969	0.0577263	0.0232288	0.01447	0.00814858	0.00174395	0.00320475	0.0028834	0.0183765	0.00718352	6.09405e-05	0.0137637	0.00179512	0.000615415	0.00680355	0.00763882	0.00531088	0.0287172	0.784112
190	-3870.72	-3857.05	-13.6736	0.0056914	0.0177594	0.0350378	0.0124938	0.00383382	0.00147834	0.0115343	0.0222954	0.00543841	0.00480562	0.00642468	0.00627594	0.00168224	0.00631771	0.00623653	0.015393	0.0826537	0.0413714	0.0128926	0.0361269	0.0145661	0.00526195	0.00867333	0.000113422	0.00512601	0.0103461	0.0281521	0.00693268	0.00534183	0.0163015	0.0079704	0.00592453	0.00797306	0.0137511	0.0071014	0.00141118	0.00356176	0.00339491	0.00133349	0.0309463	0.02786	0.0106677	0.0291674	0.01302	0.00969778	0.00696579	0.00861514	0.0272366	0.00546188	0.00371821	0.0260919	0.0171788	0.0607294	0.0143603	0.0148375	0.00191687	0.00111279	0.00320475	0.00139974	0.0216824	0.00596758	0.000615454	0.0126617	0.00262273	0.00660328	0.00229178	0.00763882	0.00405901	0.0283178	0.895629
