Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
230	-3883.75	-3622.61	-261.144	0.390414	0.477725	0.00110219	0.435983	0.0417423	0.10395	0.2033	0.0936159	0.0729455	0.456799	0.0693896	0.0153561	0.174559	0.720695	3.08939	-2.95775	0.209806	0.334597	0.272027	0.18357	0.435983
240	-3876.88	-3619.47	-257.416	0.491007	0.476423	0.000925763	0.444558	0.0318642	0.113091	0.199278	0.0963057	0.0755457	0.447763	0.0680169	0.0317332	0.246004	0.813613	2.90865	-3.0335	0.200709	0.333804	0.285189	0.180298	0.444558
250	-3871.44	-3611.13	-260.308	0.421878	0.358644	0.0010077	0.30706	0.0515844	0.112192	0.163446	0.11883	0.0769681	0.458173	0.0703908	0.019993	0.197901	0.753909	3.0282	-2.99667	0.1902	0.341439	0.297504	0.170857	0.30706
260	-3875.75	-3615.02	-260.725	0.430705	0.356255	0.000921248	0.324019	0.0322361	0.114734	0.182037	0.103439	0.0592528	0.468552	0.0719855	0.0213818	0.204298	0.762478	3.01184	-3.03562	0.191363	0.337412	0.299323	0.171902	0.324019
270	-3882.22	-3621.67	-260.544	0.583194	0.379798	0.000958317	0.329978	0.0498204	0.121708	0.188595	0.0899538	0.0613876	0.485434	0.0529213	0.0496614	0.302801	0.872497	2.77504	-3.01849	0.197178	0.317792	0.323124	0.161906	0.329978
280	-3893.47	-3630.34	-263.133	0.423978	0.334504	0.000994669	0.293378	0.0411265	0.119131	0.154491	0.11631	0.0624444	0.493791	0.0538324	0.0203202	0.19943	0.755976	3.02427	-3.00232	0.181991	0.307224	0.328462	0.182323	0.293378
290	-3882.4	-3627.71	-254.689	0.528785	0.425833	0.00108282	0.394119	0.0317145	0.100687	0.169592	0.0983025	0.0527765	0.506604	0.0720382	0.0388391	0.270293	0.840134	2.85073	-2.96544	0.199501	0.309042	0.329902	0.161555	0.394119
300	-3885.97	-3626.48	-259.483	0.46404	0.372105	0.000929316	0.343036	0.0290693	0.0925902	0.18528	0.101569	0.0576586	0.4842	0.0787022	0.0269324	0.227793	0.79223	2.95304	-3.03184	0.182551	0.315586	0.336887	0.164976	0.343036
310	-3874.56	-3615.21	-259.347	0.450723	0.575055	0.00100688	0.544098	0.0309575	0.0960797	0.192262	0.105397	0.0598316	0.475442	0.0709868	0.02466	0.218535	0.780815	2.97599	-2.99702	0.194362	0.336005	0.293982	0.17565	0.544098
320	-3886.59	-3622.64	-263.947	0.332666	0.439316	0.00102213	0.397347	0.0419695	0.0898813	0.161989	0.120822	0.0559717	0.504929	0.0664072	0.00831544	0.130031	0.646796	3.21486	-2.9905	0.186077	0.321681	0.32408	0.168162	0.397347
330	-3877.44	-3617.32	-260.117	0.409725	0.486063	0.00104282	0.448338	0.037725	0.108778	0.183952	0.137203	0.0519282	0.434247	0.0838917	0.018142	0.188983	0.741593	3.05128	-2.98179	0.190017	0.34444	0.314925	0.150618	0.448338
340	-3877.64	-3614.58	-263.057	0.380215	0.763004	0.00108303	0.72485	0.0381539	0.103426	0.187723	0.162459	0.0614867	0.418409	0.0664958	0.0139666	0.166829	0.708951	3.11025	-2.96536	0.186346	0.337787	0.312869	0.162998	0.72485
350	-3876.01	-3616.24	-259.773	0.43859	0.400165	0.000908542	0.363825	0.03634	0.125789	0.160129	0.152241	0.0576195	0.424495	0.0797276	0.0226524	0.209951	0.769878	2.99752	-3.04166	0.192322	0.308687	0.328072	0.170919	0.363825
360	-3875.48	-3611.9	-263.571	0.424277	0.524386	0.000945755	0.477283	0.0471037	0.111909	0.177134	0.0827421	0.0589762	0.469574	0.0996652	0.0203668	0.199647	0.756269	3.02372	-3.02422	0.183796	0.321942	0.324963	0.169299	0.477283
370	-3889.83	-3628.87	-260.954	0.474381	0.33544	0.000892287	0.298701	0.0367395	0.121225	0.206866	0.0814224	0.0619604	0.450586	0.0779411	0.0287434	0.234862	0.800693	2.9357	-3.0495	0.183856	0.324696	0.317911	0.173537	0.298701
380	-3902.96	-3634.73	-268.231	0.323059	0.348145	0.000895079	0.305167	0.0429782	0.134504	0.252148	0.103647	0.078873	0.37297	0.0578571	0.00735114	0.122511	0.632571	3.23757	-3.04814	0.188027	0.354577	0.278083	0.179313	0.305167
390	-3907.72	-3642.13	-265.583	0.46264	0.377147	0.000740964	0.35039	0.0267569	0.107406	0.196703	0.114105	0.0526736	0.470163	0.0589493	0.0266902	0.226828	0.791058	2.95542	-3.1302	0.180416	0.326775	0.327556	0.165253	0.35039
400	-3907.09	-3643.18	-263.904	0.433337	0.222051	0.000895087	0.180173	0.0418776	0.109	0.170811	0.0769794	0.0460422	0.479802	0.117365	0.0218029	0.206191	0.764975	3.00703	-3.04813	0.191959	0.341525	0.311688	0.154828	0.180173
410	-3880.45	-3617.5	-262.946	0.438818	0.545129	0.000783124	0.515819	0.0293096	0.0974464	0.212102	0.116891	0.0744418	0.428946	0.0701729	0.0226895	0.210113	0.770088	2.99711	-3.10617	0.18604	0.358083	0.285083	0.170793	0.515819
420	-3892	-3632.02	-259.977	0.507438	0.399399	0.000881228	0.347442	0.051957	0.0937247	0.186618	0.146682	0.0709206	0.425817	0.0762375	0.0347744	0.256744	0.825606	2.88288	-3.05491	0.18604	0.358083	0.285083	0.170793	0.347442
430	-3885.64	-3621.43	-264.215	0.423792	0.426827	0.000794957	0.381862	0.0449658	0.0985676	0.192664	0.107483	0.0745851	0.44782	0.0788807	0.0202911	0.199294	0.755794	3.02462	-3.09966	0.201131	0.325442	0.303619	0.169808	0.381862
440	-3884.23	-3621.21	-263.015	0.478409	0.535626	0.000903274	0.493697	0.0419283	0.0861879	0.233503	0.0939835	0.0770673	0.440285	0.0689736	0.0294592	0.237587	0.8039	2.92905	-3.04418	0.196624	0.325841	0.310574	0.16696	0.493697
450	-3891.04	-3629.52	-261.519	0.511504	0.281254	0.000905593	0.253789	0.0274641	0.0812361	0.199955	0.138899	0.0859241	0.419364	0.0746229	0.0355392	0.259359	0.828462	2.87664	-3.04307	0.197896	0.351681	0.297291	0.153133	0.253789
460	-3888.58	-3627.34	-261.236	0.445474	0.379595	0.000848094	0.335108	0.0444876	0.0879445	0.155154	0.129003	0.0798028	0.478789	0.0693067	0.0237838	0.214838	0.776148	2.98523	-3.07156	0.199316	0.315215	0.329153	0.156316	0.335108
470	-3879.18	-3615.39	-263.796	0.388457	0.281724	0.000892687	0.230411	0.0513124	0.117663	0.168905	0.116868	0.0571931	0.455533	0.0838373	0.0150849	0.173082	0.718481	3.09335	-3.0493	0.194156	0.315499	0.320631	0.169715	0.230411
480	-3876.17	-3621.4	-254.771	0.588098	0.468016	0.000984794	0.430948	0.0370681	0.0973811	0.174523	0.120755	0.0590953	0.479515	0.0687306	0.050663	0.305592	0.875123	2.76862	-3.00665	0.187308	0.369128	0.279835	0.163729	0.430948
490	-3879.69	-3620.54	-259.142	0.507231	0.378927	0.000878317	0.349122	0.0298051	0.114848	0.17684	0.0759596	0.0696948	0.48588	0.0767778	0.0347357	0.25661	0.825459	2.88319	-3.05635	0.210683	0.315471	0.298939	0.174907	0.349122
500	-3873.4	-3616.16	-257.239	0.510187	0.421479	0.0010418	0.386847	0.0346325	0.0976605	0.150375	0.117617	0.0592648	0.509795	0.0652877	0.035291	0.258514	0.827541	2.87865	-2.98221	0.214167	0.318221	0.303883	0.163729	0.386847
510	-3873.75	-3618.22	-255.528	0.503037	0.760969	0.00109296	0.730313	0.0306556	0.103017	0.15945	0.142919	0.0625155	0.478906	0.0531925	0.033952	0.253894	0.822466	2.88969	-2.9614	0.214167	0.318221	0.303883	0.163729	0.730313
520	-3876.32	-3618.26	-258.054	0.412421	0.618143	0.00109328	0.584404	0.0337391	0.101832	0.17062	0.131512	0.0575257	0.485772	0.0527387	0.0185464	0.190972	0.744379	3.0461	-2.96127	0.200175	0.322795	0.310193	0.166838	0.584404
530	-3871.12	-3611.8	-259.326	0.424061	0.575468	0.00110298	0.559939	0.0155291	0.0915466	0.190791	0.110626	0.0489385	0.47135	0.0867483	0.0203331	0.19949	0.756058	3.02412	-2.95743	0.222677	0.32593	0.293522	0.157871	0.559939
540	-3878.4	-3620.46	-257.94	0.445201	0.673316	0.00100343	0.64512	0.0281959	0.086713	0.186172	0.101453	0.0588085	0.45994	0.106913	0.0237385	0.214645	0.775903	2.98571	-2.99851	0.208356	0.331935	0.29893	0.16078	0.64512
550	-3873.79	-3617.8	-255.983	0.487274	0.651043	0.00102497	0.616413	0.03463	0.104303	0.193043	0.107634	0.0666044	0.417556	0.110859	0.031054	0.243527	0.810783	2.91464	-2.98929	0.199013	0.338735	0.299726	0.162526	0.616413
560	-3878.74	-3616.92	-261.814	0.460082	0.809937	0.00100167	0.785878	0.0240594	0.124511	0.201659	0.0717576	0.0589073	0.458699	0.0844658	0.0262498	0.22506	0.7889	2.95979	-2.99928	0.198019	0.33683	0.290154	0.174997	0.785878
570	-3883.74	-3620.37	-263.374	0.391941	0.274656	0.000984698	0.216221	0.0584356	0.0945878	0.198294	0.127754	0.0532383	0.44979	0.076337	0.0155691	0.175711	0.72241	3.08631	-3.0067	0.194098	0.358246	0.279241	0.168415	0.216221
580	-3897.55	-3638.57	-258.985	0.45989	0.506334	0.00102193	0.469451	0.036883	0.0931399	0.192373	0.111402	0.0516486	0.453122	0.0983156	0.0262168	0.224926	0.788737	2.96012	-2.99058	0.204956	0.372607	0.267366	0.155071	0.469451
590	-3875.33	-3617.75	-257.577	0.517842	0.409228	0.000932264	0.373687	0.0355414	0.078582	0.220429	0.101217	0.052995	0.445898	0.100879	0.0367405	0.263404	0.832829	2.86703	-3.03046	0.197139	0.344227	0.300422	0.158212	0.373687
600	-3882.77	-3620.46	-262.311	0.419588	0.38487	0.000984497	0.340723	0.0441465	0.073311	0.21375	0.0847565	0.0494403	0.50717	0.0715722	0.0196387	0.196231	0.751635	3.0325	-3.00679	0.201693	0.344029	0.291794	0.162485	0.340723
610	-3875.94	-3612.66	-263.283	0.42495	0.282135	0.000955887	0.237216	0.0449189	0.107519	0.217151	0.100792	0.0790946	0.423122	0.0723212	0.0204722	0.200135	0.756927	3.02247	-3.01959	0.207116	0.341503	0.274165	0.177216	0.237216
620	-3872.52	-3609.37	-263.146	0.348156	0.396984	0.000896901	0.349011	0.0479729	0.113625	0.19471	0.0903764	0.0738842	0.462557	0.0648474	0.0099996	0.142121	0.668485	3.17939	-3.04726	0.200852	0.329857	0.297433	0.171857	0.349011
630	-3879.49	-3619.47	-260.024	0.464274	0.69036	0.000976606	0.654995	0.0353648	0.0930566	0.16497	0.106066	0.0760977	0.476414	0.0833948	0.0269729	0.227954	0.792425	2.95265	-3.01028	0.198444	0.33877	0.293867	0.168919	0.654995
640	-3881.49	-3620.93	-260.555	0.451042	0.556287	0.0010261	0.530789	0.0254982	0.0857763	0.19356	0.0977682	0.0701441	0.475881	0.0768703	0.0247137	0.218759	0.781096	2.97543	-2.98881	0.211522	0.317017	0.299375	0.172086	0.530789
650	-3890.47	-3630.36	-260.107	0.530845	0.447943	0.00102628	0.380185	0.0677585	0.11791	0.181774	0.117454	0.0719258	0.445788	0.0651477	0.0392374	0.271576	0.841476	2.84771	-2.98873	0.194433	0.360189	0.303044	0.142334	0.380185
660	-3897.31	-3632.34	-264.965	0.365091	0.475884	0.000894591	0.45088	0.0250033	0.103565	0.169628	0.163711	0.0460748	0.459799	0.057222	0.012017	0.15524	0.690563	3.14218	-3.04838	0.195401	0.361981	0.299576	0.143042	0.45088
670	-3886.69	-3628.91	-257.776	0.595057	0.453919	0.000893472	0.425247	0.0286728	0.121403	0.160548	0.0808022	0.0752664	0.49697	0.0650104	0.0520902	0.309514	0.878776	2.75962	-3.04892	0.194594	0.338232	0.295708	0.171465	0.425247
680	-3886.45	-3624.08	-262.366	0.462543	0.460338	0.000960312	0.423396	0.0369419	0.106868	0.173422	0.144466	0.0662547	0.451762	0.0572267	0.0266735	0.226761	0.790977	2.95559	-3.01759	0.184369	0.357805	0.306563	0.151263	0.423396
690	-3889.53	-3627.02	-262.511	0.524314	0.242543	0.000859235	0.192671	0.0498719	0.0761055	0.172614	0.143793	0.065277	0.48525	0.05696	0.0379778	0.267492	0.837184	2.85735	-3.06589	0.204262	0.306477	0.321677	0.167584	0.192671
700	-3882.63	-3616.3	-266.33	0.388437	0.37275	0.000837489	0.346496	0.0262546	0.0903475	0.204916	0.151055	0.0604136	0.435337	0.057931	0.0150823	0.173067	0.718459	3.09339	-3.07702	0.176754	0.340378	0.320458	0.16241	0.346496
710	-3880.91	-3614.37	-266.544	0.345318	0.35121	0.000842104	0.317485	0.0337248	0.123779	0.241227	0.123094	0.0521453	0.401955	0.0577986	0.00967926	0.13991	0.664621	3.18579	-3.07463	0.185958	0.339351	0.303824	0.170867	0.317485
720	-3887.39	-3624.22	-263.166	0.444869	0.349721	0.000972009	0.297534	0.0521865	0.115261	0.159867	0.095539	0.049899	0.513686	0.0657476	0.0236837	0.214411	0.775604	2.9863	-3.01233	0.187775	0.342667	0.309731	0.159827	0.297534
730	-3890.99	-3626.46	-264.523	0.410119	0.203854	0.000863727	0.148058	0.0557958	0.0938896	0.242937	0.111118	0.0599054	0.418438	0.0737116	0.0182009	0.189274	0.742002	3.05052	-3.06362	0.200212	0.380535	0.265417	0.153835	0.148058
740	-3882.92	-3623.26	-259.654	0.47682	0.719012	0.000922211	0.68518	0.0338315	0.0887289	0.231546	0.10501	0.0566127	0.441612	0.0764897	0.0291762	0.236514	0.802641	2.93167	-3.03517	0.195348	0.368223	0.2736	0.162829	0.68518
750	-3892.38	-3630.73	-261.648	0.391299	0.552478	0.00104266	0.514983	0.037495	0.063109	0.213478	0.0935928	0.0521951	0.507104	0.0705211	0.0154793	0.175226	0.72169	3.0876	-2.98186	0.189145	0.340195	0.336746	0.133914	0.514983
760	-3878.06	-3620.28	-257.783	0.451122	0.619928	0.00109975	0.603084	0.0168439	0.119241	0.190057	0.118012	0.0447789	0.433731	0.0941811	0.0247271	0.218815	0.781166	2.97529	-2.95871	0.17874	0.330328	0.318222	0.17271	0.603084
770	-3877.65	-3619.4	-258.252	0.452947	0.383566	0.00104442	0.329135	0.0544302	0.119241	0.190057	0.118012	0.0447789	0.433731	0.0941811	0.0250346	0.220093	0.782763	2.97211	-2.98112	0.179369	0.357105	0.29538	0.168146	0.329135
780	-3883.07	-3622.67	-260.407	0.4908	0.223798	0.0011111	0.170346	0.0534521	0.120641	0.192289	0.11717	0.0586155	0.446155	0.0651291	0.0316954	0.245867	0.813457	2.90898	-2.95425	0.180212	0.334932	0.297253	0.187603	0.170346
790	-3879.16	-3619.6	-259.556	0.414972	0.33331	0.00104763	0.280007	0.0533028	0.12488	0.199045	0.0782749	0.0606751	0.461832	0.075293	0.0189323	0.192849	0.746986	3.04123	-2.97979	0.192604	0.321726	0.309929	0.175741	0.280007
800	-3878.82	-3621.08	-257.744	0.435141	0.394729	0.000962259	0.351562	0.0431665	0.118952	0.196676	0.077343	0.0599527	0.47268	0.0743966	0.0220933	0.207485	0.76667	3.00375	-3.01671	0.194981	0.325574	0.301771	0.177675	0.351562
810	-3877.57	-3617.3	-260.273	0.495341	0.440478	0.000883929	0.394043	0.0464351	0.106902	0.162845	0.0985633	0.0554144	0.501639	0.0746362	0.0325275	0.248863	0.816849	2.90176	-3.05358	0.19802	0.336705	0.309392	0.155884	0.394043
820	-3879.66	-3615.14	-264.52	0.429197	0.695058	0.00093174	0.665154	0.0299041	0.114427	0.194859	0.105502	0.0593153	0.446007	0.0798902	0.0211419	0.20321	0.761036	3.01461	-3.03071	0.19802	0.336705	0.309392	0.155884	0.665154
830	-3874.28	-3614.69	-259.583	0.448614	0.356128	0.00101094	0.309472	0.0466567	0.114482	0.191896	0.105552	0.0593434	0.448799	0.0799281	0.0243066	0.217053	0.778952	2.97969	-2.99527	0.189716	0.352813	0.304202	0.153269	0.309472
840	-3881.08	-3618	-263.078	0.40676	0.292315	0.000933742	0.244822	0.0474927	0.0957821	0.203817	0.125747	0.06303	0.440715	0.0709084	0.0177016	0.186788	0.738493	3.05702	-3.02977	0.180106	0.351407	0.303673	0.164814	0.244822
850	-3888.15	-3626.96	-261.194	0.501828	0.62824	0.00092379	0.596543	0.0316964	0.109468	0.174128	0.108537	0.0538486	0.503636	0.0503821	0.033727	0.253107	0.821594	2.89157	-3.03443	0.184413	0.356938	0.310936	0.147713	0.596543
860	-3894.01	-3634.91	-259.099	0.557577	0.509258	0.00085942	0.476627	0.0326313	0.119287	0.198704	0.123855	0.0585236	0.428946	0.070684	0.0444937	0.287852	0.85803	2.80962	-3.06579	0.192065	0.349974	0.304118	0.153843	0.476627
870	-3884.22	-3619.15	-265.068	0.342816	0.611135	0.000888708	0.580348	0.0307878	0.10915	0.163493	0.143698	0.043677	0.458243	0.0817394	0.00940124	0.13796	0.661176	3.19146	-3.05124	0.197946	0.336897	0.311408	0.153748	0.580348
880	-3881.41	-3617.41	-264.004	0.375112	0.463529	0.000963656	0.433463	0.0300654	0.134033	0.147614	0.113841	0.0394352	0.479475	0.0856018	0.0132938	0.162934	0.702881	3.12089	-3.01608	0.189748	0.332557	0.318721	0.158974	0.433463
890	-3885.21	-3623.94	-261.274	0.499414	0.503883	0.000857518	0.444853	0.05903	0.108814	0.218517	0.165345	0.0527752	0.387104	0.0674436	0.0332792	0.251533	0.819842	2.89535	-3.06676	0.19446	0.340815	0.301804	0.162922	0.444853
900	-3878.83	-3617.31	-261.522	0.442765	0.642381	0.000845169	0.60543	0.0369502	0.0906655	0.16401	0.120144	0.0481559	0.471964	0.105061	0.0233361	0.21292	0.773701	2.99004	-3.07306	0.192178	0.347411	0.308594	0.151817	0.60543
910	-3879.93	-3622.96	-256.967	0.535819	0.623915	0.00109378	0.593873	0.0300423	0.106391	0.203616	0.119052	0.0458581	0.446519	0.0785639	0.0402034	0.274657	0.844677	2.84046	-2.96107	0.188525	0.341709	0.30353	0.166237	0.593873
