Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	TL
0	-3870.2	-3856.9	-13.3071	0.0166385	0.0258519	0.0353075	0.0106592	0.000649341	0.00184625	0.010696	0.0165263	0.00528979	0.00163907	0.00917093	0.00488413	0.00335936	0.0013618	0.0104143	0.0138392	0.0680311	0.0281139	0.00397883	0.0286133	0.0110944	0.0053843	0.0105212	0.00140611	0.00530366	0.00448869	0.0210688	0.00375572	0.00263859	0.0367112	0.0133888	0.0102335	0.0153346	0.00956802	0.00289709	0.0039687	0.00173494	0.0147831	0.00466176	0.0623014	0.00242574	0.0388056	0.00263117	0.004499	0.00611055	0.0168176	0.0229776	0.00752911	0.00300524	0.000278582	0.00559182	0.0161353	0.0117578	0.0161338	0.000909914	0.00417864	0.00707292	0.00987163	0.000105532	0.00563937	0.00332739	0.0274581	0.00210534	0.0298945	0.0136195	0.00211876	0.00910824	0.0213204	0.0294283	0.858973
10	-3869.52	-3856.04	-13.4859	0.0117741	0.0174691	0.0424566	0.012273	0.00153343	0.00748057	0.0106766	0.023208	0.00689499	0.00163907	0.00589872	0.0104313	0.00102529	0.00300392	0.0116481	0.0244051	0.0680586	0.0281139	0.00457882	0.0201674	0.0126881	0.00563398	0.0117681	0.00362956	0.00430671	0.0141995	0.0210688	0.00243825	0.00650652	0.00809563	0.00972824	0.00332494	0.0114957	0.0180056	0.00809309	0.0039687	0.00255314	0.0135264	0.00286771	0.0617074	0.00242574	0.0453766	0.00166483	0.004499	0.00397917	0.0168176	0.0216028	0.00752911	0.00300524	0.000519346	0.00559182	0.0128731	0.00302894	0.0247084	0.00534476	0.000762592	0.0190487	0.00480885	0.00203969	0.00802174	0.000242059	0.0264113	0.000196008	0.0293653	0.0171982	0.00666916	0.0230997	0.0203811	0.0212996	0.876853
20	-3875.47	-3862.31	-13.1607	0.0117741	0.0174691	0.030937	0.008279	0.0004375	0.0130351	0.00359189	0.0163138	0.00569404	0.00228849	0.00387033	0.00652989	0.00113985	0.00300392	0.00692819	0.0294504	0.0696207	0.0201682	0.00492465	0.0226485	0.0193216	0.00443983	0.0138579	0.00160159	0.0102259	0.00456168	0.0197269	0.00817958	0.000638659	0.00786399	0.0156628	0.0109678	0.00945531	0.0181809	0.00282042	0.00460908	0.000930664	0.0215525	0.000852923	0.0590678	0.000818058	0.0385927	3.4902e-05	0.00982277	0.00797945	0.012148	0.0202696	0.00532225	0.004467	0.00355555	0.00559182	0.0148151	0.00322902	0.0247084	0.00019542	0.000705008	0.00987037	0.00480885	0.00138446	0.00802174	0.00457685	0.0351379	0.000420642	0.0111477	0.018752	0.00172398	0.0230997	0.0359446	0.0245687	0.844335
30	-3867.41	-3855	-12.4151	0.00595062	0.0238826	0.0578664	0.0100363	0.0004375	0.00285412	0.0139693	0.0109406	0.00595298	0.00239767	0.0142801	0.00652989	0.00209752	0.00698312	0.00479162	0.0126255	0.0630383	0.027279	0.00228377	0.0190446	0.0245705	0.00443983	0.0131061	0.000267313	0.00665257	0.00827072	0.0197288	0.0070205	0.00234426	0.013545	0.0104661	0.00544382	0.0089323	0.0268774	0.00282042	0.00343262	0.00879304	0.0113546	0.00348918	0.0422291	0.00486229	0.0202835	0.00468894	0.00496218	0.00526396	0.00118124	0.0145269	0.00489888	0.00477603	0.00211462	0.00260153	0.0185793	0.00346845	0.0100979	0.000120652	0.00153068	0.00887465	0.00742524	0.000605397	0.00155441	0.00457685	0.0284902	0.000689163	0.00740471	0.0173422	0.00880983	0.0197289	0.018718	0.0245687	0.769771
40	-3864.75	-3851.94	-12.8091	0.0187486	0.0239565	0.0372274	0.0140289	0.0004375	0.00817661	0.00634797	0.0184741	0.0069356	0.00154969	0.00559803	0.00632788	0.00300178	0.00142935	0.0051255	0.0201582	0.0667657	0.0242792	0.00298932	0.0105361	0.0183582	0.00205935	0.0131061	0.00119108	0.00958044	0.0108075	0.0258622	0.00780287	0.008943	0.0179264	0.00377095	0.00855638	0.0146452	0.0115593	0.00788287	0.00273776	0.00415881	0.0234976	0.00348918	0.0422291	0.00557798	0.0316403	0.00468894	0.00226177	0.00526396	0.00516759	0.0161151	0.00489888	0.00439483	0.000647877	0.00260153	0.0173125	0.0179363	0.0234538	0.000125581	0.00452968	0.00813635	0.00458322	0.000270542	0.00528117	0.00484749	0.0298999	0.00114886	0.0124664	0.0174577	0.00480597	0.0170904	0.0139783	0.0223308	0.809172
50	-3873.92	-3861.22	-12.7007	0.00639552	0.0139949	0.0578604	0.0140289	0.00684659	0.00607266	0.00701902	0.0147589	0.00465807	0.00154969	0.0101293	0.00533823	0.00345896	0.00287369	0.000920262	0.0146558	0.0662023	0.0199857	0.00298932	0.0181254	0.0164709	0.00449797	0.00723507	0.00119108	0.00722869	0.00606261	0.0288844	0.00780287	0.00584537	0.0149638	0.0109076	0.00426752	0.00718374	0.0214034	0.0110857	0.00273776	0.00415645	0.0172678	0.000357379	0.0511819	0.00594465	0.0316403	0.000635505	0.000576649	0.00252182	0.00125156	0.0161151	0.00889451	0.000885978	0.00147241	0.0202047	0.0248598	0.0142538	0.0138051	0.00194679	0.00452968	0.00813635	0.00458322	0.00315327	0.00623336	0.00484749	0.0283571	0.00311971	0.0124664	0.0158322	0.00600474	0.00815647	0.00814731	0.0311609	0.798332
60	-3863.36	-3851.02	-12.3368	0.0139751	0.0347314	0.0378638	0.00885301	0.000944078	0.0103849	0.00860258	0.0147589	0.00808186	0.00172068	0.01055	0.00613521	0.00345896	0.00287369	0.00535199	0.0167838	0.0611029	0.0150919	0.00914326	0.0163853	0.0170588	0.00449797	0.00785916	0.00360191	0.00664891	0.00996654	0.0270926	0.00476039	0.00358575	0.00746061	0.00931124	0.00959027	0.00605052	0.0146326	0.00896369	0.00243445	0.00132831	0.00840182	0.000580917	0.0519051	0.00594465	0.0332365	0.00145195	0.00448768	0.0069094	0.0013071	0.0160489	0.00330542	0.000885978	0.000204211	0.00268581	0.0235165	0.0142538	0.0182953	0.00194679	0.00452968	0.0122348	0.00620876	0.000819395	0.00279205	0.00109437	0.0205001	0.00369857	0.0137053	0.0216651	0.0063563	0.00850591	0.0112991	0.0215298	0.761944
70	-3868.26	-3855.48	-12.7802	0.00667411	0.0278173	0.0511985	0.0127358	0.000944078	0.00199663	0.0143168	0.0147589	0.0120359	0.00113672	0.00613335	0.0106332	0.00268988	0.00123674	0.00568675	0.00741657	0.0659922	0.0298831	0.00914326	0.0133196	0.0106722	0.00481063	0.00641229	0.00360191	0.00629975	0.0121965	0.0356338	0.00402839	0.00358575	0.0239672	0.0104631	0.00658326	0.0151594	0.0156844	0.00953588	0.00735913	0.00478227	0.00917565	0.000491432	0.0520063	0.00339258	0.0332365	0.00309039	0.00453353	0.0069094	0.00113728	0.0107524	0.0037847	0.00137761	0.00137102	0.00268581	0.012414	0.00996023	0.016713	5.97428e-05	0.00452968	0.0134477	0.00620876	0.00469166	0.00339311	0.00109437	0.0244614	2.04016e-05	0.0186696	0.0243791	0.0102853	0.00627662	0.0251486	0.0140595	0.806282
80	-3869.47	-3856.67	-12.7975	0.00651698	0.0200894	0.0363211	0.02575	0.00265834	0.00493139	0.00404353	0.016389	0.00680821	0.00273274	0.00373574	0.00215022	0.00158836	0.00855887	0.00389202	0.0149723	0.0573642	0.024368	0.00386343	0.013618	0.0135989	0.0065859	0.0101953	0.000219887	0.00550371	0.00824119	0.0287234	0.00819258	0.0030001	0.0206654	0.00424194	0.00519457	0.0162662	0.017564	0.0043057	0.00399415	0.00217634	0.019843	0.00115593	0.0619345	0.00280443	0.0324439	0.00309039	0.00281572	0.00692598	0.00273188	0.0155665	0.00804699	0.00137761	0.00223704	0.000633388	0.0196116	0.0143702	0.0135012	0.0061273	0.00456378	0.0134477	0.0119597	0.00370924	0.00321179	0.00109437	0.0325201	0.000538306	0.0238983	0.0179741	0.00324026	0.0206115	0.0186311	0.018378	0.808017
90	-3871.4	-3857.98	-13.4243	0.00662132	0.0216553	0.0423904	0.0167627	0.00187273	0.00535854	0.00604566	0.016389	0.00680821	0.00762395	0.00603307	0.00708438	0.00149462	0.00879159	0.0139869	0.0275995	0.0747577	0.021493	0.00296476	0.0136158	0.0110188	0.00578525	0.00710358	0.00058484	0.00949721	0.0125368	0.0287234	0.0106584	0.00176929	0.0253998	0.0119387	0.00328836	0.00843154	0.016132	0.00279695	0.00212136	0.00217634	0.00882362	0.00374106	0.0585436	0.0105147	0.0431727	1.85771e-05	0.0042499	0.00692598	0.0047499	0.0170363	0.00804699	0.00099227	0.00134486	0.00110812	0.02474	0.0143702	0.0102627	0.00462169	0.00243205	0.0103186	0.0031166	0.000227058	0.00800951	0.0068707	0.0371905	0.00282852	0.0261505	0.0110275	0.00510802	0.0102515	0.0238458	0.0307416	0.870693
