Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
230	-11819.5	-10885.2	-934.272	0.796209	1.31118	0.000515771	1.29094	0.0202442	0.160776	0.222266	0.0351126	0.147239	0.296762	0.137845	0.0947517	0.405603	0.955899	2.54375	-3.28754	0.326167	0.155937	0.167449	0.350447	1.29094
240	-11816.1	-10883.9	-932.19	0.749836	1.24075	0.000465866	1.20918	0.0315621	0.166881	0.222634	0.0347998	0.143087	0.304006	0.128593	0.0848495	0.386125	0.942023	2.587	-3.33174	0.335188	0.153455	0.166487	0.34487	1.20918
250	-11823.7	-10891.2	-932.552	0.702285	1.2135	0.000518848	1.18125	0.0322445	0.178463	0.224116	0.0339097	0.147633	0.29623	0.119648	0.0746765	0.364607	0.925712	2.635	-3.28496	0.325525	0.145897	0.165652	0.362926	1.18125
260	-11831.5	-10893.6	-937.89	0.93589	1.15718	0.000495085	1.12722	0.0299529	0.186174	0.223204	0.0337717	0.169057	0.27101	0.116784	0.123991	0.456596	0.988508	2.4309	-3.30532	0.325326	0.151707	0.172248	0.350719	1.12722
270	-11821.4	-10881.8	-939.581	0.790584	1.13846	0.000489636	1.09447	0.0439948	0.181632	0.239554	0.0392775	0.164933	0.264398	0.110206	0.0935535	0.403315	0.954311	2.54882	-3.31013	0.320238	0.15432	0.16868	0.356762	1.09447
280	-11830.1	-10897.2	-932.866	0.947936	1.41491	0.000519983	1.38279	0.0321237	0.170469	0.250521	0.0410757	0.146179	0.276503	0.115252	0.126452	0.460523	0.990808	2.42222	-3.28401	0.305859	0.161924	0.161761	0.370455	1.38279
290	-11816.1	-10882.1	-934.052	0.810911	1.30669	0.000500314	1.27548	0.0312081	0.176311	0.26227	0.0334375	0.147035	0.263071	0.117877	0.0978783	0.41149	0.959933	2.5307	-3.30076	0.310001	0.161626	0.163952	0.364422	1.27548
300	-11817.1	-10882.2	-934.947	0.842787	1.63199	0.000465115	1.60052	0.0314742	0.16734	0.248926	0.0350206	0.180436	0.256398	0.11188	0.104625	0.423807	0.96814	2.50343	-3.33244	0.325569	0.160361	0.162669	0.351402	1.60052
310	-11802.9	-10876.7	-926.266	0.773177	1.5691	0.000529842	1.53262	0.0364726	0.176752	0.226225	0.0322454	0.154769	0.291836	0.118172	0.0898396	0.396106	0.949236	2.56482	-3.27585	0.328821	0.161963	0.164294	0.344923	1.53262
320	-11806.7	-10880.3	-926.381	0.838221	1.29031	0.00049781	1.26696	0.0233497	0.183265	0.26274	0.0334337	0.160472	0.237562	0.122527	0.103662	0.422079	0.967008	2.50725	-3.30294	0.333045	0.158317	0.151879	0.35676	1.26696
330	-11808.3	-10880.1	-928.172	0.827675	1.79567	0.000481293	1.7763	0.0193742	0.169659	0.243327	0.0312512	0.16616	0.254581	0.135022	0.101433	0.418042	0.964338	2.51619	-3.31759	0.337733	0.160545	0.154017	0.347705	1.7763
340	-11814.8	-10884.4	-930.477	0.830954	1.13751	0.000497978	1.10567	0.0318396	0.162386	0.212043	0.0419204	0.159037	0.29538	0.129234	0.102126	0.419304	0.965176	2.51339	-3.30279	0.338463	0.156789	0.16185	0.342897	1.10567
350	-11817.7	-10889.7	-928.048	0.936417	1.44313	0.000513005	1.41621	0.0269175	0.176888	0.229468	0.0453653	0.134463	0.279158	0.134657	0.124099	0.456769	0.98861	2.43052	-3.28988	0.326618	0.159201	0.164339	0.349842	1.41621
360	-11808.7	-10888.7	-920.08	0.848046	1.22336	0.000525213	1.19323	0.0301306	0.186842	0.217532	0.0479289	0.14203	0.294867	0.1108	0.105734	0.425782	0.969428	2.49906	-3.27966	0.334132	0.149224	0.16812	0.348524	1.19323
