Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
120	-14466.4	-14454.2	-12.1711	0.597274	0.0396013	0.000914144	0.916815	0.00020893	0.00240275	0.00849518	0.00110774	0.0727654	0.132736	0.00112322	0.000928118	0.107544	0.0551881	0.00906358	0.46253	0.0413491	0.18239	0.820773	0.0401751	0.0222099	0.0405257	0.376672	0.110744	0.206684	0.223898	0.0920892	0.145193	0.247935	0.0842015	0.0525463	0.310754	0.879922	2.75678	0.285175	0.193779	0.214669	0.306377	3.44626
130	-14471.6	-14453.3	-18.3072	0.578688	0.0454126	0.00128944	1.15199	0.000548067	0.000588718	0.00789364	0.00262936	0.0635858	0.146717	0.00273271	0.000819803	0.133866	0.0486633	0.0100228	0.402898	0.0487425	0.150219	1.16331	0.0243798	0.0524462	0.0504301	0.44706	0.103718	0.191899	0.207882	0.0855018	0.134807	0.301732	0.0781784	0.0487444	0.300216	0.870044	2.781	0.285175	0.193779	0.214669	0.306377	4.05997
140	-14464.4	-14448.7	-15.7647	0.598584	0.0380963	0.00176867	1.05036	0.00279539	0.00159007	0.0090514	0.00355054	0.0790168	0.126249	0.00428688	0.000556637	0.0957762	0.0459286	0.00633871	0.527371	0.0483673	0.157372	0.925278	0.0683449	0.0506744	0.0610904	0.41815	0.0835967	0.19521	0.202966	0.0869769	0.137132	0.285426	0.0922902	0.0528161	0.311484	0.880595	2.75511	0.285175	0.193779	0.214669	0.306377	3.80561
150	-14453.4	-14439.3	-14.044	0.625339	0.0390605	0.00417051	1.1154	0.000935608	0.00132747	0.00579082	0.00235121	0.086289	0.106251	0.0024911	0.000286746	0.122133	0.0580504	0.0122529	0.450079	0.0538081	0.186361	0.747182	0.05662	0.138439	0.0869074	0.266557	0.0906711	0.189688	0.197224	0.112803	0.133253	0.277352	0.0896797	0.0583726	0.326067	0.893715	2.72185	0.297936	0.192038	0.216313	0.293714	3.63341
160	-14449.5	-14435.8	-13.7829	0.625339	0.0465278	0.00439875	1.08854	0.00218665	0.00245587	0.00991719	0.0030397	0.0994798	0.123362	0.000517313	0.00103	0.126359	0.041132	0.0040921	0.345157	0.0310905	0.187603	0.836397	0.0333702	0.247842	0.0670541	0.221472	0.0842785	0.192568	0.186571	0.0983153	0.135276	0.281563	0.105707	0.0583726	0.326067	0.893715	2.72185	0.297977	0.194289	0.218849	0.288884	3.6073
170	-14450.5	-14441.4	-9.14209	0.678785	0.0478129	0.00263808	0.937968	0.00104345	0.000863715	0.0089177	0.00198101	0.0841447	0.0977893	0.000388347	0.00312461	0.0910107	0.045425	0.00487507	0.444263	0.0246028	0.163516	0.614833	0.0801628	0.212952	0.0478066	0.148072	0.0787605	0.183605	0.171258	0.113258	0.145171	0.297483	0.0892264	0.0696637	0.353346	0.916746	2.66024	0.297977	0.194289	0.218849	0.288884	3.14295
180	-14453.4	-14441.1	-12.2997	0.582723	0.0376324	0.000468618	0.949154	0.000399558	0.00360023	0.00401906	0.00209392	0.121622	0.0931808	0.000892623	0.00362786	0.101781	0.0486552	0.00563553	0.44151	0.0148544	0.214982	0.77381	0.0635151	0.270812	0.0370941	0.159566	0.110286	0.197195	0.17245	0.0874463	0.146181	0.306879	0.0898475	0.0495653	0.302531	0.872242	2.77566	0.297977	0.194289	0.218849	0.288884	3.45919
190	-14448.6	-14434.2	-14.4031	0.582773	0.04139	0.000655851	0.994331	0.00057503	0.00122137	0.00748378	0.00493104	0.0876894	0.108667	0.00127277	0.000949662	0.122909	0.0577943	0.00231304	0.397398	0.0395827	0.159748	0.951087	0.0779278	0.283607	0.0423052	0.188669	0.0970226	0.196581	0.18956	0.0871739	0.121072	0.305923	0.0996893	0.0495754	0.30256	0.872269	2.7756	0.297977	0.194289	0.218849	0.288884	3.66953
200	-14451.4	-14433.4	-17.9221	0.548655	0.0356077	0.000726174	1.03211	0.000458445	0.00203004	0.0101713	0.00913243	0.0948615	0.108212	0.00201797	0.00130612	0.144995	0.0538962	0.000411747	0.633515	0.0346831	0.194559	1.02735	0.0636857	0.170715	0.0633865	0.249104	0.0886647	0.196281	0.189271	0.0870407	0.114257	0.305456	0.107695	0.0427225	0.282498	0.85268	2.8221	0.297977	0.194289	0.218849	0.288884	4.0216
210	-14454.9	-14433.8	-21.0112	0.548655	0.0485825	0.00110785	1.39791	0.000487686	0.00105201	0.0103102	0.00737715	0.0947973	0.125587	0.00217817	0.00190072	0.114097	0.0516369	0.00337503	0.60052	0.0317198	0.18163	0.994247	0.0335977	0.223579	0.0744749	0.216004	0.114348	0.160969	0.200693	0.0922937	0.107958	0.323891	0.114195	0.0427225	0.282498	0.85268	2.8221	0.297977	0.194289	0.218849	0.288884	4.33051
