Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
27	-14457.2	-14441.8	-15.3365	0.664602	0.0403213	0.00219141	1.11527	0.00220179	0.00169358	0.00308853	0.0049013	0.111913	0.151984	0.00386949	0.00817856	0.12277	0.0400268	9.29713e-05	0.43148	0.0500971	0.244492	0.794834	0.0449377	0.249563	0.0480245	0.215355	0.0751849	0.180668	0.170818	0.109783	0.167286	0.280541	0.0909048	0.0666492	0.346338	0.91101	2.676	0.294898	0.183007	0.220819	0.301276	3.76247
28	-14445.8	-14431.8	-13.9773	0.655408	0.0330128	0.00187116	1.02563	0.00342341	0.0008286	0.00792033	0.00315974	0.0913143	0.131829	0.00142871	0.00168822	0.103636	0.0610084	6.59237e-05	0.447801	0.0256733	0.213593	0.824287	0.0459856	0.166627	0.0676595	0.261172	0.106974	0.173773	0.190096	0.105593	0.160902	0.2822	0.0874357	0.064701	0.341708	0.907153	2.68644	0.294898	0.183007	0.220819	0.301276	3.62659
29	-14448.8	-14431.8	-17.0016	0.614983	0.0337897	0.00151328	0.885377	0.000853815	0.00263798	0.00770539	0.00540055	0.0920789	0.140415	0.00140733	0.00229351	0.127966	0.0537133	7.85918e-05	0.621623	0.0283622	0.157038	1.03674	0.0704747	0.218933	0.0851942	0.249712	0.105919	0.170669	0.186701	0.103707	0.171849	0.27716	0.0899136	0.0562123	0.320499	0.888775	2.73451	0.294898	0.183007	0.220819	0.301276	3.92922
30	-14450.9	-14437.2	-13.6523	0.608138	0.049809	0.00185986	0.851532	0.000227406	0.00115529	0.00626529	0.00721049	0.0920789	0.12216	0.00185684	0.00123869	0.087341	0.046979	0.000302129	0.538447	0.0363149	0.16278	0.915696	0.0325835	0.255772	0.0706692	0.196478	0.115571	0.17242	0.173398	0.111557	0.173612	0.280003	0.0890102	0.0547907	0.316765	0.885414	2.74303	0.294898	0.183007	0.220819	0.301276	3.59433
31	-14453.8	-14436.5	-17.3447	0.576035	0.0364139	0.00144033	1.11914	0.00012114	0.00112387	0.00685309	0.00707058	0.0954679	0.117246	0.00662878	0.00614508	0.103335	0.0540586	0.00068649	0.538202	0.0212259	0.225524	0.851535	0.0557033	0.140765	0.11089	0.368446	0.09571	0.180736	0.181761	0.113297	0.116318	0.314584	0.0933032	0.0482059	0.298685	0.868582	2.78453	0.294898	0.183007	0.220819	0.301276	3.96373
32	-14453	-14435.2	-17.8561	0.577894	0.0480109	0.00409539	1.02711	0.000656131	0.000447979	0.00644878	0.00836165	0.119609	0.115351	0.00505524	0.00385286	0.0922126	0.0540931	0.000328384	0.481296	0.0303623	0.222	1.01875	0.072225	0.247607	0.0859332	0.256738	0.114313	0.199062	0.163034	0.101624	0.170418	0.282172	0.08369	0.048583	0.299759	0.869608	2.78205	0.294898	0.183007	0.220819	0.301276	4.01486
33	-14453.7	-14439.3	-14.4213	0.5825	0.0322834	0.00110598	0.811134	0.000290362	0.00366083	0.00671736	0.00853556	0.0887581	0.141123	0.00310406	0.00155056	0.113525	0.042487	0.000359933	0.529853	0.0306523	0.163743	1.08101	0.0754525	0.124997	0.069939	0.271142	0.069921	0.19867	0.162712	0.101424	0.170082	0.281615	0.0854973	0.0495199	0.302404	0.872121	2.77595	0.293722	0.186265	0.219939	0.300074	3.67135
34	-14449.3	-14436.1	-13.201	0.605874	0.0313161	0.000858895	0.880289	0.000548055	0.0015564	0.00759219	0.000723129	0.0788957	0.0774681	0.00200715	0.00208011	0.113474	0.0600771	0.00167195	0.461681	0.0522307	0.162875	0.883473	0.11164	0.212991	0.0735502	0.228304	0.103906	0.196751	0.161141	0.100444	0.16335	0.293642	0.0846716	0.0543218	0.315522	0.884286	2.74587	0.293187	0.188492	0.218794	0.299527	3.54921
35	-14449.1	-14436.9	-12.1641	0.599658	0.045514	0.000236968	0.827175	0.00041493	0.00169694	0.00936762	0.00398792	0.0762289	0.080673	0.0025009	0.00124486	0.0935635	0.0589126	0.00110306	0.45456	0.0462824	0.17196	0.938119	0.0796704	0.183311	0.0530906	0.21677	0.0991597	0.18375	0.216572	0.0938069	0.152556	0.274239	0.0790766	0.0530375	0.312082	0.881144	2.75374	0.293187	0.188492	0.218794	0.299527	3.44554
36	-14449.2	-14431.1	-18.104	0.592189	0.0462439	0.000201251	1.21841	0.00103239	0.00174476	0.0110422	0.0023646	0.0767922	0.136038	0.00123995	0.00194326	0.105603	0.0610206	0.00106328	0.625537	0.0592323	0.231415	0.751205	0.070808	0.164945	0.0726808	0.319367	0.0796505	0.183951	0.197731	0.106796	0.117516	0.302304	0.091701	0.0515011	0.307902	0.877281	2.76332	0.293187	0.188492	0.218794	0.299527	4.03958
