Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-28775.7	-28776.1	0.474051	34.1235	0.118549	0.00954262	0.0272054	0.0390434	0.263223	0.0642462	0.318608	0.00721086	0.0156762	0.0140503	0.216917	0.136371	0.0354842	0.00188716	0.157285	0.144296	0.00276015	0.10002	0.0954491	0.208259	0.0221647	0.0128488	0.00301686	0.0684268	0.00179474	0.037448	0.137669	0.0410662	0.713595	0.791564	0.93637	1.04691	1.22515	0.277458	0.312197	0.311222	0.0991222	2.01411
10	-18257.7	-18253.7	-3.94058	1.311	0.215211	0.015758	0.211871	0.079491	0.20706	0.0516398	0.193194	0.058762	0.0713213	0.112371	0.0550308	0.353936	0.0145619	0.00682119	0.0973924	0.272085	0.00773092	0.101657	0.0419334	0.362759	0.06201	0.0220823	0.00495955	0.162579	0.00435541	0.156922	0.0753022	0.210518	0.390323	0.194595	0.553744	1.03708	2.21458	0.258245	0.290578	0.171611	0.279567	2.61964
20	-16293.4	-16283.7	-9.75705	0.608074	0.049577	0.0041828	0.474113	0.0964755	0.146759	0.0289649	0.0611798	0.335703	0.108519	0.157215	0.00877401	0.260678	0.00427801	0.0593384	0.26898	0.221002	0.0201757	0.143267	0.00702452	0.588867	0.128536	0.0268063	0.00438431	0.103452	0.0831895	0.163827	0.0772251	0.323937	0.248369	0.0547774	0.31673	0.885383	2.74311	0.329335	0.209611	0.218852	0.242201	3.2048
30	-15120	-15095.2	-24.7452	0.544769	0.0300685	0.0285235	2.02232	0.0493667	0.032979	0.0289649	0.0478671	0.387323	0.224676	0.0707437	0.00202952	0.142237	0.00917664	0.0400784	0.72863	0.270992	0.0140389	0.106002	0.00335882	0.212545	0.17786	0.0677263	0.00642599	0.105283	0.141782	0.135256	0.0887793	0.329671	0.19923	0.041956	0.280141	0.850296	2.82761	0.308818	0.216685	0.224122	0.250375	4.70394
40	-14686.3	-14656.8	-29.4747	0.499717	0.0155774	0.0334068	1.87371	0.0130047	0.0370997	0.00764713	0.0526354	0.188449	0.218034	0.0202538	0.00202051	0.130094	0.0149193	0.0114149	1.57316	0.343423	0.00314321	0.0296758	0.0128162	0.0461968	0.346309	0.178189	0.0259279	0.145712	0.154426	0.147318	0.0966967	0.321135	0.134712	0.0333353	0.251731	0.820062	2.89487	0.298403	0.209377	0.216564	0.275657	5.17711
50	-14559.8	-14530.9	-28.9168	0.460957	0.0112276	0.00273178	1.53883	0.00339762	0.0455698	0.00462013	0.0783858	0.133462	0.136333	0.0108019	0.00671063	0.109358	0.0321274	0.0136251	1.74796	0.274633	0.0199072	0.0402119	0.00327316	0.013249	0.449649	0.370255	0.0751968	0.167516	0.182956	0.111957	0.09689	0.321777	0.118904	0.0264001	0.225665	0.78964	2.95829	0.298403	0.209377	0.216564	0.275657	5.12151
60	-14522.6	-14493.5	-29.1379	0.453404	0.00554624	0.00205992	1.70773	0.0023194	0.0299911	0.00911905	0.0802808	0.11953	0.103848	0.00456985	0.00394925	0.0869653	0.0117774	0.0119198	1.83553	0.27257	0.021583	0.0481946	0.00476685	0.00602147	0.230882	0.448414	0.0960903	0.16331	0.169377	0.111161	0.147191	0.298883	0.110079	0.0251119	0.220413	0.783162	2.97131	0.306575	0.184856	0.222495	0.286074	5.14366
70	-14515.4	-14487	-28.3995	0.453404	0.00156974	0.000959892	1.85779	0.000312016	0.0356685	0.00350627	0.0753138	0.118905	0.115079	0.00196593	0.00666101	0.0983606	0.0150501	0.0234414	1.72958	0.272582	0.0203597	0.0379933	0.00303223	0.00384231	0.234824	0.330288	0.0827406	0.165459	0.163501	0.107305	0.142085	0.325351	0.0962991	0.0251119	0.220413	0.783162	2.97131	0.305792	0.186938	0.221926	0.285344	5.06982
80	-14512.7	-14484.8	-27.8669	0.501557	0.000891257	0.00140685	1.65614	0.000249036	0.0436359	0.00260734	0.0705984	0.145968	0.128638	0.00357383	0.00605763	0.103411	0.0147971	0.0154751	1.75639	0.198766	0.0148882	0.0485173	0.0022986	0.00410274	0.332839	0.373629	0.0914474	0.183861	0.162677	0.106765	0.119432	0.323711	0.103554	0.0336767	0.252931	0.821398	2.89199	0.294922	0.189865	0.225401	0.289812	5.01632
90	-14512.9	-14484.1	-28.8444	0.486688	0.00207997	0.00119399	1.68009	0.0011879	0.0411973	0.00569966	0.0670352	0.127234	0.120568	0.00065823	0.00504122	0.0407578	0.0243715	0.0135717	1.72341	0.306417	0.0207802	0.0308869	0.00652655	0.00496122	0.259008	0.561901	0.0695598	0.184136	0.16752	0.106925	0.113513	0.324196	0.103709	0.0309477	0.243136	0.810335	2.91558	0.294922	0.189865	0.225401	0.289812	5.11414
100	-14514.4	-14486.7	-27.6615	0.474047	0.00348869	0.00100524	1.52089	0.00195612	0.0295602	0.00513225	0.0690892	0.101218	0.0960552	0.00173084	0.00465507	0.056891	0.0222889	0.0268582	1.7495	0.262439	0.00871728	0.032192	0.0105447	0.00306474	0.23793	0.609265	0.141452	0.187124	0.182575	0.0975615	0.125248	0.307678	0.0998136	0.0286842	0.234635	0.800425	2.93626	0.294261	0.190043	0.225612	0.290083	4.99592
110	-14515.5	-14487.8	-27.6725	0.490743	0.0142383	0.000307308	1.6114	0.00134577	0.0439526	0.00321296	0.0777645	0.0975446	0.0898748	0.00138494	0.00349412	0.0901527	0.0143861	0.0190242	1.86794	0.297611	0.0187353	0.00870778	0.0266765	0.0020477	0.16882	0.458187	0.0801284	0.186405	0.190821	0.0952689	0.121645	0.311995	0.0938661	0.0316851	0.24583	0.813414	2.90907	0.296489	0.191482	0.214929	0.297101	4.99693
120	-14509.4	-14478.2	-31.2001	0.496014	0.00657872	0.000831152	1.85349	0.0014365	0.0323848	0.0080082	0.0795833	0.119042	0.106817	0.0048183	0.00190494	0.0675831	0.00887404	0.00945187	1.88422	0.29934	0.0263911	0.00304399	0.0399764	0.010377	0.218179	0.449016	0.118317	0.17774	0.189416	0.0999874	0.120749	0.318932	0.0931751	0.0326513	0.249306	0.817346	2.9007	0.295869	0.193171	0.21448	0.29648	5.34967
130	-14511.3	-14483.9	-27.3573	0.481958	0.00409254	0.000444135	1.47447	0.00818462	0.0333893	0.00797796	0.0823067	0.127309	0.123343	0.00229732	0.00262382	0.0871984	0.00884666	0.0113353	1.93659	0.199166	0.0114804	0.00247212	0.0283821	0.00512646	0.338062	0.341813	0.128542	0.191119	0.183646	0.101253	0.128916	0.300711	0.0943545	0.0300945	0.239974	0.806683	2.92325	0.296605	0.193651	0.215013	0.294731	4.96546
140	-14509.9	-14481.5	-28.3794	0.4739	0.00505366	0.000582624	1.69831	0.00269253	0.0407894	0.00828665	0.074102	0.147595	0.138119	0.00198012	0.00294059	0.0892601	0.0085071	0.016261	1.8357	0.221649	0.0193334	0.0040991	0.0422245	0.00428438	0.376804	0.257797	0.0713413	0.199589	0.193166	0.0983399	0.125206	0.292059	0.0916398	0.0286583	0.234536	0.800307	2.9365	0.296605	0.193651	0.215013	0.294731	5.0677
