Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
12	-11941.6	-11950.2	8.67691	0.893333	0.00239628	0.00148087	0.0262419	0.00343656	0.126904	0.0418478	0.00142212	0.0197726	0.00045937	0.484313	0.000433539	0.00152727	0.0250896	0.0184593	0.202855	0.110279	0.117013	0.0614412	0.00466517	0.0288702	0.0451854	0.00373973	0.0321448	0.0809801	0.27414	0.0707501	0.0682786	0.428882	0.0769691	0.115211	0.442163	0.979803	2.46282	0.29827	0.192306	0.220481	0.288943	1.35998
13	-11937.1	-11947.1	10.0524	1.06696	0.00258978	0.00368788	0.0270125	0.00187453	0.107585	0.0317394	0.00324525	0.0366471	0.000512026	0.434336	0.000331992	0.00156144	0.0251682	0.0162285	0.129695	0.121347	0.0743257	0.0855619	0.0152437	0.0282716	0.0405887	0.00353781	0.0304671	0.0925047	0.255484	0.0669572	0.0738022	0.425365	0.0858873	0.150118	0.495993	1.01027	2.34362	0.29827	0.192306	0.220481	0.288943	1.22156
14	-11934.2	-11944.6	10.4076	0.952073	0.00099481	0.00209982	0.0192496	0.0050011	0.0892369	0.0523462	0.00698236	0.0269807	0.00149619	0.434336	0.000566533	0.000726102	0.0270156	0.00906584	0.160429	0.112967	0.0737286	0.0587962	0.0114076	0.0220593	0.0488184	0.000921304	0.0213958	0.128873	0.246122	0.0645037	0.0737319	0.421182	0.0655872	0.127295	0.461856	0.991581	2.41927	0.29827	0.192306	0.220481	0.288943	1.18662
15	-11926.6	-11936.8	10.1974	1.13076	0.00155848	0.00137522	0.0238514	0.0050498	0.0937545	0.0260383	0.00436627	0.0342084	0.000205925	0.482407	0.000497573	0.000293766	0.029199	0.00965176	0.140129	0.100692	0.0738014	0.0954368	0.00319489	0.0215595	0.0392477	0.0033551	0.016873	0.128997	0.246358	0.063606	0.0738027	0.421586	0.0656502	0.162282	0.512812	1.01869	2.30622	0.29827	0.192306	0.220481	0.288943	1.20675
16	-11923.1	-11933.4	10.2343	1.12962	0.00145699	0.00224321	0.0146156	0.00557999	0.0987727	0.0476173	0.00111964	0.0354739	0.00010064	0.441679	0.000287737	0.000176237	0.0273989	0.0116053	0.154348	0.132577	0.0616279	0.0741293	0.00345576	0.0253975	0.0373505	0.00324434	0.022802	0.106023	0.251137	0.0777788	0.0752343	0.422903	0.0669237	0.162068	0.512523	1.01855	2.30686	0.30174	0.194543	0.211413	0.292304	1.20306
17	-11900.8	-11910.5	9.75942	0.854437	0.0016404	0.00259961	0.0215863	0.00427716	0.0927846	0.0284838	0.000541432	0.0244226	0.000140071	0.523889	0.000665671	0.000422123	0.0415772	0.0107476	0.146325	0.098284	0.0676176	0.0732452	0.00569325	0.0278264	0.0347821	0.0119547	0.0324155	0.101478	0.240371	0.0712595	0.0866919	0.436146	0.0640546	0.107079	0.428161	0.970968	2.49379	0.299625	0.193179	0.216941	0.290255	1.25192
18	-11891.7	-11901.3	9.58347	0.90163	0.0010137	0.00188809	0.0180916	0.00279153	0.0612783	0.0370976	0.00245638	0.0312137	0.000121704	0.544517	0.00331151	0.000263838	0.0331778	0.0172854	0.129785	0.120675	0.0557885	0.0784394	0.0104017	0.0289103	0.039952	0.0246202	0.0262002	0.0846051	0.269552	0.0702702	0.0854884	0.430091	0.0599938	0.116933	0.445048	0.981575	2.45644	0.295181	0.190314	0.213724	0.300781	1.26928
19	-11898.3	-11908	9.68499	0.982169	0.00121062	0.00423394	0.0124531	0.0038059	0.0612783	0.0307906	0.00691377	0.0377555	8.85141e-05	0.442104	0.00253928	0.000176241	0.0260158	0.0146577	0.204191	0.130973	0.0224825	0.0584252	0.00776803	0.0309957	0.0503027	0.0432484	0.0663167	0.0876006	0.279096	0.0727582	0.0885152	0.388207	0.0838229	0.133382	0.471326	0.996982	2.39831	0.291742	0.188097	0.211234	0.308927	1.25873
20	-11889.4	-11899.9	10.4685	0.996234	0.0012908	0.0044191	0.0127823	0.00130261	0.0495685	0.0321491	0.00521486	0.0350026	0.000480107	0.464009	0.00222175	0.000214356	0.0346897	0.0170828	0.150534	0.100937	0.0304079	0.0819996	0.00522596	0.0282348	0.0468792	0.0291522	0.0465035	0.0984083	0.287908	0.0750554	0.0748372	0.400464	0.0633271	0.136202	0.475617	0.999373	2.38881	0.296916	0.191432	0.219204	0.292448	1.1803
21	-11888.9	-11899.1	10.1527	1.0833	0.00115855	0.0044688	0.0173522	0.00145336	0.0437222	0.0302378	0.00369263	0.0349386	0.000611657	0.464889	0.00156846	9.84905e-05	0.0278	0.0145626	0.160021	0.117023	0.053456	0.0678007	0.00737798	0.0303203	0.0374159	0.0484323	0.0430524	0.0902977	0.269764	0.0684381	0.0551834	0.44211	0.0742065	0.153269	0.500434	1.01254	2.33376	0.3007	0.193872	0.209254	0.296175	1.21145
