Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-17009.7	-17004.8	-4.85823	55.1633	0.102941	0.0623585	0.0339009	0.138712	0.0508918	0.191974	0.0792224	0.105375	0.0279323	0.207147	0.151911	0.00496401	0.0923136	0.154105	0.0583146	0.166011	0.101609	0.0381009	0.0541218	0.0050837	0.0933879	0.291377	0.230389	0.705625	0.0290694	0.048579	0.030639	0.0430809	0.143007	0.834424	0.951262	1.03839	1.17593	0.321296	0.231356	0.141256	0.306092	2.44214
10	-13315.3	-13320.7	5.41342	3.42483	0.0287212	0.0230896	0.0403656	0.0478171	0.0716037	0.0838716	0.0399843	0.0635552	0.0070861	0.366539	0.0953483	0.00592972	0.0369748	0.048319	0.10636	0.160011	0.065074	0.0528339	0.0149609	0.00110362	0.0507788	0.229526	0.0338157	0.242032	0.111455	0.064388	0.0737584	0.346184	0.162183	0.419673	0.752632	1.08394	1.74376	0.307419	0.176587	0.223123	0.292871	1.67367
20	-12437.8	-12441.3	3.53165	0.474966	0.00278346	0.015144	0.0183162	0.0116483	0.14504	0.0638491	0.00740053	0.0303581	0.00864028	0.590602	0.0540899	0.00292575	0.0364692	0.0322778	0.0421447	0.205312	0.0751679	0.0263608	0.0219729	0.00216742	0.0397145	0.417371	0.0268408	0.142783	0.330371	0.0419608	0.0364627	0.362152	0.0862707	0.0288469	0.235259	0.801162	2.93473	0.307324	0.176533	0.223053	0.29309	1.8766
30	-12057.4	-12062.9	5.47671	0.704124	0.00221246	0.00537249	0.0199515	0.00240309	0.0540405	0.046852	0.00857214	0.0403482	0.0127779	0.590602	0.0272393	0.00107961	0.0295721	0.0218171	0.0323512	0.169279	0.0722262	0.0557762	0.0271763	0.00656752	0.269201	0.145555	0.039971	0.107148	0.244392	0.0434972	0.0724726	0.469485	0.063005	0.0750694	0.36547	0.926387	2.63307	0.307324	0.176533	0.223053	0.29309	1.68095
40	-11960.9	-11967.5	6.58316	0.830127	0.00150932	0.000811281	0.0202078	0.00776452	0.0877567	0.0385149	0.00425017	0.0284122	0.00871838	0.610469	0.00742918	0.000628961	0.0215713	0.0120629	0.018027	0.167607	0.157322	0.0748158	0.0267484	0.0140047	0.200202	0.0279913	0.0328453	0.111206	0.242904	0.0709484	0.0456954	0.466626	0.0626213	0.101951	0.418986	0.964965	2.5141	0.307324	0.176533	0.223053	0.29309	1.56967
50	-11934	-11943	8.98632	0.836132	0.00281926	0.000995186	0.0322343	0.00283471	0.0627384	0.0385149	0.00425141	0.0315118	0.00340182	0.515333	0.00284212	0.00172311	0.0189538	0.0132733	0.00725495	0.126016	0.154219	0.041194	0.0228993	0.0265924	0.183751	0.00845494	0.0275159	0.106606	0.229304	0.0641323	0.0718437	0.468998	0.0591153	0.103221	0.421284	0.966485	2.50901	0.309206	0.171489	0.22442	0.294886	1.32932
60	-11930.7	-11938.4	7.66136	0.842354	0.00658249	0.00240955	0.0209694	0.00454118	0.0598266	0.0335939	0.00122387	0.0336498	0.00343756	0.58706	0.00116692	0.000209716	0.0436996	0.0193588	0.00418683	0.148814	0.124528	0.047851	0.020619	0.0322002	0.218362	0.00508241	0.042415	0.099374	0.227766	0.063702	0.0845875	0.465852	0.0587187	0.104534	0.423643	0.968033	2.50379	0.296165	0.185973	0.214955	0.302906	1.46179
70	-11936.3	-11944.8	8.49354	0.867144	0.00537517	0.00133298	0.0243257	0.00150485	0.0714565	0.0517846	0.000779353	0.0394501	0.0056932	0.531167	0.00163808	0.000739379	0.0337085	0.0172788	0.00105583	0.150784	0.114344	0.0435041	0.0209522	0.0330837	0.177281	0.00679327	0.0444147	0.0762419	0.23156	0.0647634	0.0859968	0.48174	0.059697	0.109746	0.432825	0.973954	2.48348	0.296165	0.185973	0.214955	0.302906	1.37845
80	-11924.1	-11933.3	9.25528	0.932665	0.00604243	0.00529469	0.0281251	0.000483192	0.069607	0.0351734	0.00504091	0.032986	0.00685963	0.531167	0.00118359	0.00042748	0.0300231	0.0173209	0.00288934	0.154283	0.0772903	0.0304123	0.0125825	0.0452256	0.171183	0.00552579	0.0328196	0.0672018	0.235553	0.0804479	0.0538101	0.504486	0.0585011	0.123331	0.455533	0.987881	2.43326	0.301598	0.189385	0.218898	0.290119	1.30195
90	-11905.8	-11915	9.22254	0.8852	0.00583364	0.00356212	0.0223784	0.00140363	0.0556852	0.035255	0.0123246	0.019844	0.00579037	0.531167	0.00042187	0.000511379	0.0286856	0.0107761	0.0148201	0.155962	0.0683764	0.0209374	0.0447706	0.0463006	0.1727	0.0102108	0.03774	0.116285	0.220322	0.0752462	0.0650965	0.447399	0.0756515	0.113518	0.439302	0.978029	2.46915	0.29914	0.187841	0.217114	0.295905	1.30546
100	-11894.8	-11905.7	10.9404	1.15029	0.00422386	0.00285472	0.0127992	0.00255924	0.0595655	0.042254	0.00484664	0.0221091	0.00153471	0.452027	0.000617566	0.000912638	0.0332869	0.00930318	0.00714899	0.0941686	0.0835425	0.0238008	0.0533386	0.0306139	0.138252	0.0271031	0.0254802	0.0845913	0.267579	0.0759926	0.0435985	0.451837	0.0764019	0.16593	0.517692	1.02104	2.29534	0.29914	0.187841	0.217114	0.295905	1.13234
110	-11891.6	-11902	10.3559	1.4857	0.00119616	0.00236768	0.0185526	0.00447318	0.0510372	0.0456227	0.00359683	0.0377137	0.00495697	0.452027	0.00184349	0.000404564	0.0259924	0.0158117	0.00545629	0.110781	0.064522	0.0157618	0.0342469	0.0387184	0.19156	0.0242065	0.0382686	0.083362	0.25095	0.0753773	0.0727871	0.445271	0.072253	0.223106	0.586159	1.04957	2.14116	0.29914	0.187841	0.217114	0.295905	1.18912
