Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	br_lens[44]	br_lens[45]	br_lens[46]	br_lens[47]	br_lens[48]	br_lens[49]	br_lens[50]	br_lens[51]	br_lens[52]	br_lens[53]	br_lens[54]	br_lens[55]	br_lens[56]	br_lens[57]	br_lens[58]	br_lens[59]	br_lens[60]	br_lens[61]	br_lens[62]	br_lens[63]	br_lens[64]	br_lens[65]	br_lens[66]	br_lens[67]	br_lens[68]	br_lens[69]	br_lens[70]	br_lens[71]	br_lens[72]	br_lens[73]	br_lens[74]	br_lens[75]	br_lens[76]	br_lens[77]	br_lens[78]	br_lens[79]	br_lens[80]	br_lens[81]	br_lens[82]	br_lens[83]	br_lens[84]	br_lens[85]	br_lens[86]	br_lens[87]	br_lens[88]	br_lens[89]	br_lens[90]	br_lens[91]	br_lens[92]	br_lens[93]	br_lens[94]	br_lens[95]	br_lens[96]	br_lens[97]	br_lens[98]	br_lens[99]	br_lens[100]	br_lens[101]	br_lens[102]	br_lens[103]	br_lens[104]	br_lens[105]	br_lens[106]	br_lens[107]	br_lens[108]	br_lens[109]	br_lens[110]	br_lens[111]	br_lens[112]	br_lens[113]	br_lens[114]	br_lens[115]	br_lens[116]	br_lens[117]	br_lens[118]	br_lens[119]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-67402.6	-67217	-185.671	7.15692	0.0433162	0.0499331	0.129832	0.0251956	0.0426685	0.128778	0.144677	0.0321247	0.00375854	0.227477	0.0725327	0.181445	0.23359	0.000827907	0.0332507	0.0561921	0.0450569	0.105035	0.535552	0.00563793	0.0136002	0.0351354	0.143612	0.0781457	0.212793	0.0153659	0.450403	0.038762	0.0918449	0.0165566	0.00774068	0.0401069	0.0288449	0.0328138	0.0342548	0.0978507	0.0486384	0.261108	0.124784	0.64045	0.0138477	0.0506847	0.24177	0.0829558	0.0675503	0.0184217	0.0554172	0.0678736	0.406005	0.177552	0.168353	0.1051	0.0236063	0.122478	0.0768325	0.0570897	0.0964378	0.142173	0.00972141	0.59202	0.178545	0.0077924	0.0683686	0.0118737	0.047322	0.00740136	0.00855295	0.00305545	0.101221	0.0791793	0.0405383	0.150892	0.0282978	0.191023	0.0494756	0.206633	0.0130828	0.266931	0.0350718	0.0675959	0.137162	0.157014	0.0326982	0.124283	0.02722	0.0802748	0.000168809	0.135561	0.0203903	0.0499308	0.0307447	0.10493	0.21313	0.0561842	0.000869846	0.0398766	0.238806	0.0235205	0.0233077	0.055659	0.0200471	0.0920701	0.112657	0.0131096	0.0475422	0.097175	0.0728799	0.135661	0.00253596	0.178792	0.116496	0.139592	0.040902	0.123078	0.0579125	0.399039	0.297052	0.0857258	0.0802028	0.227179	0.197207	0.024352	0.448666	0.0668808	0.0357152	0.572724	0.842303	1.07859	1.50638	0.434983	0.258005	0.252271	0.0547405	12.3126
10	-45316.2	-45151	-165.207	1.46594	0.00661382	0.0244459	0.0467057	0.0250378	0.129359	0.0433212	0.126562	0.0967879	0.00413611	0.520127	0.0125373	0.750817	0.327744	0.00111999	0.163562	0.186006	0.124248	0.157016	0.175227	0.0490084	0.0336508	0.191325	0.142846	0.0613459	0.403914	0.0110098	0.131458	0.101859	0.0926303	0.0105924	0.00768248	0.0683287	0.139579	0.140597	0.0161693	0.136987	0.168989	0.294785	0.0402609	0.0435614	0.0370329	0.0509715	0.0801982	0.178946	0.278988	0.00813759	0.06069	0.0144688	0.0646717	0.0903838	0.141657	0.0150302	0.068519	0.206188	0.0100382	0.0157319	0.145827	0.243041	0.0113576	0.419647	0.089896	0.00686196	0.281925	0.0125459	0.114667	0.0112872	0.00143126	0.00264628	0.0516516	0.0417108	0.0217125	0.0552423	0.00850591	0.0839571	0.0138974	0.115438	0.0182261	0.0796058	0.0231455	0.0140087	0.0440494	0.0860769	0.00603581	0.0865825	0.0208246	0.0221357	0.000450396	0.0232148	0.0103315	0.0169035	0.0624273	0.0751097	0.118185	0.00953705	0.00836652	0.0203204	0.114586	0.00374052	0.00821693	0.0531216	0.00297764	0.027607	0.0217601	0.0333641	0.0661567	0.202327	0.0199742	0.016074	0.00236649	0.130611	0.013676	0.0687916	0.0153025	0.0496422	0.0328017	0.062161	0.286006	0.0214142	0.0336164	0.0916042	0.277168	0.0437565	0.151355	0.314304	0.121812	0.220013	0.582788	1.04836	2.14884	0.281278	0.213649	0.151618	0.353455	10.2947
20	-39066.4	-38863.8	-202.554	0.385089	0.00621316	0.0109021	0.0268014	0.0735061	0.975831	0.026365	0.18439	0.36554	0.00523104	1.62764	0.00948038	1.56565	0.465333	0.00160503	0.0655481	0.129602	0.212545	0.0330897	0.0272882	0.317168	0.149434	0.35245	0.29821	0.0426159	0.435073	0.00631729	0.0169804	0.256719	0.025866	0.0062381	0.010697	0.0832455	0.398593	0.163102	0.00735136	0.159336	0.257755	0.3239	0.0310433	0.0394619	0.0585575	0.0908069	0.0462849	0.444796	0.312822	0.00821124	0.0474099	0.0167736	0.0187465	0.0107243	0.218087	0.00503555	0.0690974	0.683256	0.0243141	0.0225639	0.211668	0.379658	0.0338552	0.0570934	0.0403574	0.00298963	0.296599	0.00631538	0.063529	0.0109997	0.00109994	0.000634128	0.00468845	0.0222563	0.0026528	0.0118708	0.00379341	0.0111113	0.00675564	0.0265891	0.018632	0.127413	0.0157333	0.00339862	0.00970069	0.0439089	0.00569107	0.0293449	0.0178825	0.00771194	0.00141431	0.00579535	0.00372235	0.00387127	0.143958	0.0253919	0.0202114	0.00369177	0.0509971	0.00462331	0.153802	0.00227947	0.00201705	0.0143215	0.00185747	0.0147598	0.00460811	0.0627965	0.229992	0.34499	0.0101316	0.00308915	0.00117138	0.0143742	0.0116045	0.0156925	0.00169721	0.00946109	0.010555	0.0207861	0.0786997	0.0126444	0.00419686	0.110955	0.31025	0.046097	0.159451	0.24492	0.128327	0.0146233	0.170532	0.714627	3.10022	0.245244	0.224361	0.159219	0.371176	14.0347
30	-37137.3	-36848.7	-288.653	0.291793	0.0043575	0.00739069	0.0100009	0.107196	4.58557	0.00902533	0.191958	0.505237	0.0122504	2.11258	0.0115194	1.67718	0.445361	0.00138986	0.0377458	0.131664	0.431932	0.00819539	0.0111781	0.385068	0.146905	0.234193	0.206402	0.0109932	0.489126	0.00219616	0.011086	0.0604857	0.019015	0.00255966	0.0298929	0.0794287	0.388807	0.155892	0.00352242	0.166084	0.280949	0.441097	0.0202409	0.02552	0.189414	0.0619403	0.0541187	3.08356	0.41253	0.0171601	0.0375459	0.0168823	0.023526	0.00504164	0.233113	0.00278685	0.0468422	0.953344	0.00687912	0.0215124	0.068286	1.12627	0.0933929	0.0402858	0.0212136	0.00153908	0.26101	0.00293713	0.0326709	0.156058	0.00075967	0.000318154	0.00221475	0.00405679	0.00129963	0.00552148	0.00317994	0.00210592	0.0173851	0.0107519	0.0137746	0.134283	0.00590442	0.00622504	0.00183532	0.00309043	0.00304592	0.0227992	0.0251041	0.00195656	0.00160171	0.00399855	0.00211963	0.00290933	0.446118	0.0137142	0.0109104	0.00383324	0.284636	0.00449391	0.220766	0.00439654	0.00197581	0.00613285	0.00151738	0.00452968	0.00323611	0.034044	0.326405	0.4706	0.00606223	0.00204123	0.00186006	0.00463883	0.00183847	0.0073559	0.00104489	0.00758197	0.00201525	0.0138613	0.0133592	0.0358139	0.0029885	0.110216	0.308184	0.0524495	0.158389	0.243289	0.127473	0.00465322	0.0981276	0.581759	3.31546	0.198265	0.212299	0.289363	0.300073	22.6451
40	-36316.8	-36008.6	-308.175	0.275836	0.00383368	0.00531165	0.00787681	0.0813481	4.83717	0.00949868	0.204855	0.654178	0.078634	2.07164	0.0162459	2.17061	0.542704	0.00174335	0.0156845	0.11766	0.49405	0.00277282	0.00908209	0.507258	0.116484	0.233842	0.18309	0.00450339	0.488845	0.00539143	0.0129314	0.0627095	0.0356205	0.00315529	0.0179759	0.0763082	0.213107	0.169787	0.00372067	0.139847	0.149938	0.499042	0.00793249	0.029577	0.438678	0.0525078	0.0693706	3.66547	0.4671	0.011855	0.0482524	0.0244435	0.0257832	0.00501264	0.238646	0.00173378	0.0662777	1.194	0.0220969	0.0248235	0.0389332	0.91806	0.170854	0.015718	0.0176349	0.00355407	0.274343	0.00238067	0.0329239	0.339136	0.000164397	0.000332425	0.00221987	0.00156889	0.00354043	0.00359002	0.00246167	0.00208314	0.0348526	0.0167019	0.0374713	0.0795361	0.00243277	0.0158908	0.000439505	0.00142911	0.000626954	0.0319971	0.0328917	0.00324532	0.00067318	0.00236476	0.00104174	0.00307838	0.446118	0.00736648	0.00313137	0.00155027	0.336011	0.00284966	0.225936	0.00377798	0.00158523	0.00146838	0.0013819	0.0027785	0.00484457	0.00923584	0.399857	0.308	0.00324479	0.00146928	0.00928486	0.010127	0.00152587	0.00718954	0.00116958	0.00364335	0.000784231	0.00246704	0.0025817	0.0610253	0.000771788	0.0700548	0.377168	0.0937207	0.100675	0.280831	0.0775504	0.00354031	0.0858838	0.552901	3.35767	0.186035	0.260889	0.271513	0.281563	24.5974
50	-36025.6	-35715.1	-310.522	0.287793	0.00443351	0.00432049	0.0050999	0.0898163	4.87149	0.00406742	0.209167	0.407468	0.439056	2.11382	0.0142196	1.87075	0.542704	0.002361	0.00621535	0.128255	0.512321	0.00181898	0.0159649	0.507121	0.107671	0.236247	0.236119	0.0021104	0.497546	0.00367147	0.0167865	0.0837181	0.0147939	0.00339	0.0153175	0.0880666	0.137054	0.177409	0.00596767	0.12746	0.235509	0.57038	0.00512064	0.0529931	0.490045	0.0608443	0.0366864	4.37032	0.478988	0.00852124	0.0492517	0.0193648	0.0149979	0.003548	0.252981	0.00182187	0.0490608	0.950068	0.0192554	0.0284425	0.0304421	0.908326	0.265292	0.00562477	0.0259491	0.00539422	0.125167	0.00348858	0.055025	0.385602	8.69902e-05	0.000385621	0.00143779	0.00243713	0.00239728	0.000946595	0.00181594	0.0018035	0.0221971	0.0112199	0.00510903	0.0548249	0.00289186	0.0647218	0.000196158	0.00133227	0.000600409	0.0402135	0.0160702	0.0015928	0.000743156	0.000731906	0.000178743	0.00490817	0.468928	0.00217087	0.00223135	0.00246845	0.307049	0.00133388	0.200025	0.00324783	0.00383805	0.00180332	0.000444274	0.00163582	0.00719788	0.00270581	0.372626	0.101	0.00875484	0.00184994	0.0100815	0.0041839	0.0081118	0.00197091	0.00223826	0.000498699	0.00160844	0.00297193	0.00171356	0.0574662	0.000709141	0.115049	0.383888	0.0953905	0.0409058	0.285834	0.078932	0.00435746	0.0950391	0.574722	3.32588	0.1857	0.26042	0.271025	0.282855	24.832
60	-35929.8	-35627.6	-302.195	0.268009	0.00454127	0.00582368	0.00190991	0.0819979	4.87149	0.00435372	0.202144	0.440206	0.560533	2.15002	0.0105098	1.94474	0.483887	0.00477238	0.00393432	0.138308	0.5493	0.00115451	0.009564	0.417648	0.122035	0.324669	0.22009	0.00323098	0.496453	0.00585044	0.00624869	0.0683705	0.0252879	0.00188416	0.00868275	0.100978	0.137553	0.130272	0.0035502	0.113511	0.186442	0.468759	0.00624896	0.0534118	0.471233	0.0498761	0.0453064	3.38817	0.478988	0.0147366	0.0455236	0.0181454	0.00754338	0.00327214	0.284966	0.00469737	0.0667655	0.959897	0.0183518	0.019001	0.0330489	1.03311	0.265292	0.00549008	0.0238396	0.00473539	0.176281	0.00198681	0.0443639	0.395335	3.45881e-05	0.00109543	0.00186397	0.00132684	0.000718247	0.000952609	0.00746372	0.00151709	0.0119625	0.0230607	0.00279649	0.0179165	0.00241115	0.068163	0.000271512	0.000303032	0.00035062	0.026184	0.006472	0.00144601	0.000946197	0.00268698	0.000355431	0.0110717	0.468928	0.00210721	0.000454513	0.00807819	0.355647	0.00223385	0.217492	0.00376458	0.00758707	0.00121274	0.000440005	0.00139033	0.00107799	0.00362766	0.36489	0.0138344	0.0037758	0.00540635	0.0158113	0.00262819	0.0145717	0.000693436	0.00600417	0.000524896	0.000248494	0.00372502	0.00194071	0.0679365	0.00167517	0.114591	0.333307	0.101413	0.0507992	0.315975	0.083915	0.0030594	0.07997	0.537958	3.37901	0.182816	0.271907	0.266815	0.278461	23.9994
70	-35847.5	-35529.7	-317.829	0.283367	0.00304684	0.00407437	0.00307355	0.0830946	4.87688	0.0222831	0.229945	0.488853	0.685088	2.5309	0.00939178	1.92178	0.558776	0.00141016	0.00811189	0.141229	0.543127	0.0012357	0.00946763	0.469847	0.138911	0.216986	0.236039	0.0024394	0.467594	0.00249223	0.00964318	0.0577062	0.0582954	0.00327212	0.00874678	0.1106	0.192096	0.137156	0.00248173	0.109561	0.2525	0.50095	0.0057859	0.0487503	0.55142	0.0588774	0.0411509	4.09243	0.4388	0.0144938	0.0395429	0.0312791	0.00907718	0.00396436	0.248744	0.00464567	0.0603214	1.09803	0.0187103	0.0225281	0.0411849	0.967543	0.360802	0.0120159	0.0195344	0.00131912	0.0581386	0.00110381	0.0532676	0.346174	8.67555e-05	0.00193046	0.00550473	0.000969094	0.000953925	0.00166174	0.0115386	0.00331006	0.0113529	0.00706222	0.00360087	0.0202415	0.0013767	0.0571186	0.000157488	0.00030903	0.000247098	0.119402	0.00936308	0.000365955	0.000175726	0.000428618	0.000702092	0.0120031	0.459245	0.00170948	0.00116361	0.0153857	0.315495	0.00126145	0.244485	0.00118281	0.00813789	0.000512407	0.00273725	0.00335176	0.00336881	0.00697795	0.339786	0.0186759	0.00127819	0.0111602	0.0180347	0.00446638	0.0114593	0.00146325	0.00147244	0.000562577	0.000114381	0.00320998	0.00303075	0.0620474	0.00240621	0.104271	0.334971	0.101919	0.0569536	0.317552	0.0843339	0.00404332	0.0916357	0.566784	3.33754	0.182816	0.271907	0.266815	0.278461	25.5628
80	-35777.9	-35446.1	-331.829	0.284658	0.00382153	0.00492081	0.00320832	0.0709467	5.81464	0.0154362	0.218484	0.488853	0.587794	2.5309	0.00556205	2.07433	0.558776	0.000554591	0.00549959	0.150642	0.564158	0.00171818	0.00771812	0.485607	0.145098	0.259429	0.197282	0.00160439	0.484455	0.00178005	0.0125575	0.0314283	0.0709295	0.00135164	0.0240747	0.111393	0.15794	0.137156	0.00460512	0.105045	0.220966	0.499863	0.0028278	0.052799	0.608402	0.0635244	0.0436198	4.13318	0.40823	0.00735041	0.04168	0.0286439	0.0101687	0.00167104	0.277341	0.00889742	0.0664598	1.09803	0.0147171	0.0247006	0.042099	0.919336	0.39976	0.00506068	0.0129138	0.00240368	0.0690079	0.00135193	0.0391952	0.336421	0.000195012	0.00800204	0.00509002	0.00154378	0.00057662	0.00183783	0.007397	0.000869251	0.0104685	0.0044063	0.00456259	0.0214744	0.00219137	0.0749784	0.000388812	0.00042866	0.000412041	0.0508491	0.0135228	0.000778734	0.000386192	0.000507549	0.000699435	0.00428799	0.662169	0.00260022	0.000487319	0.00315743	0.399064	0.00323599	0.244485	0.000551713	0.0063875	0.000168465	0.00476957	0.00272638	0.00241011	0.0137537	0.46086	0.00828918	0.00117929	0.00602077	0.0235899	0.00914966	0.0138067	0.00244714	0.00121329	0.00109888	8.68222e-05	0.00352551	0.000298134	0.0858523	0.0031482	0.0992213	0.336859	0.102493	0.0572747	0.319342	0.0848093	0.00413352	0.0926267	0.569115	3.33412	0.184838	0.268615	0.265007	0.281541	26.9627
90	-35538.7	-35203.9	-334.778	0.276701	0.00282157	0.00632373	0.00318265	0.098087	4.91273	0.0121197	0.287877	0.488853	0.813109	2.67917	0.0122464	2.09745	0.413959	0.000580336	0.00395737	0.135514	0.564158	0.0015046	0.015909	0.501053	0.139337	0.247304	0.28131	0.00128855	0.543644	0.00300879	0.0113748	0.0226887	0.118056	0.00332831	0.0237746	0.102165	0.160902	0.119579	0.000651694	0.105131	0.28944	0.630093	0.00822388	0.0281905	0.630741	0.0643268	0.0370722	3.62622	0.493237	0.0115757	0.0607265	0.0224529	0.00809048	0.00306763	0.274522	0.00894075	0.0413453	1.27108	0.0138505	0.0281468	0.0418612	1.20973	0.525493	0.0107719	0.0176191	0.00143892	0.0821209	0.00210684	0.0706351	0.390702	0.000206521	0.00641131	0.0047162	0.00313491	0.00117198	0.00140463	0.0040935	0.000979819	0.00244929	0.00921979	0.00103192	0.0184762	0.00232924	0.0502577	0.000660461	0.000438222	0.000631563	0.125123	0.0418773	0.000737278	0.00031692	0.000568843	0.000560729	0.00321052	0.774999	0.00142648	0.000808543	0.00339491	0.41199	0.00386921	0.26836	0.000528081	0.00723495	0.000928015	0.0029107	0.00236654	0.00181967	0.0114667	0.47785	0.0127835	0.0022952	0.00763657	0.0226768	0.00835323	0.0277394	0.00138344	0.00116453	0.0038953	3.2471e-05	0.00314976	0.0011084	0.0707628	0.00681781	0.0854394	0.336513	0.102388	0.0538868	0.337051	0.0847222	0.00359603	0.0865412	0.554519	3.35534	0.185385	0.26941	0.262831	0.282374	27.2577
