Iteration	Posterior	Likelihood	Prior	alpha_morph_gr	br_morph_clock_mult[1]	br_morph_clock_mult[2]	br_morph_clock_mult[3]	br_morph_clock_mult[4]	br_morph_clock_mult[5]	br_morph_clock_mult[6]	br_morph_clock_mult[7]	br_morph_clock_mult[8]	br_morph_clock_mult[9]	br_morph_clock_mult[10]	br_morph_clock_mult[11]	br_morph_clock_mult[12]	br_morph_clock_mult[13]	br_morph_clock_mult[14]	br_morph_clock_mult[15]	br_morph_clock_mult[16]	br_morph_clock_mult[17]	br_morph_clock_mult[18]	br_morph_clock_mult[19]	br_morph_clock_mult[20]	br_morph_clock_mult[21]	br_morph_clock_mult[22]	br_morph_clock_mult[23]	br_morph_clock_mult[24]	br_morph_clock_mult[25]	br_morph_clock_mult[26]	br_morph_clock_mult[27]	br_morph_clock_mult[28]	br_morph_clock_mult[29]	br_morph_clock_mult[30]	br_morph_clock_mult[31]	br_morph_clock_mult[32]	br_morph_clock_mult[33]	br_morph_clock_mult[34]	br_morph_clock_mult[35]	br_morph_clock_mult[36]	br_morph_clock_mult[37]	br_morph_clock_mult[38]	br_morph_clock_mult[39]	br_morph_clock_mult[40]	br_morph_clock_mult[41]	br_morph_clock_mult[42]	br_morph_clock_mult[43]	br_morph_clock_mult[44]	br_morph_clock_mult[45]	br_morph_clock_mult[46]	br_morph_clock_mult[47]	br_morph_clock_mult[48]	br_morph_clock_mult[49]	br_morph_clock_mult[50]	br_morph_clock_mult[51]	br_morph_clock_mult[52]	br_morph_clock_mult[53]	br_morph_clock_mult[54]	br_morph_clock_mult[55]	br_morph_clock_mult[56]	br_morph_clock_mult[57]	br_morph_clock_mult[58]	br_morph_clock_mult[59]	br_morph_clock_mult[60]	br_morph_clock_mult[61]	br_morph_clock_mult[62]	br_morph_clock_mult[63]	br_morph_clock_mult[64]	br_morph_clock_mult[65]	br_morph_clock_mult[66]	br_morph_clock_mult[67]	br_morph_clock_mult[68]	br_morph_clock_mult[69]	br_morph_clock_mult[70]	br_morph_clock_mult[71]	br_morph_clock_mult[72]	br_morph_clock_mult[73]	br_morph_clock_mult[74]	clock_morph[1]	clock_morph[2]	clock_morph[3]	clock_morph[4]	clock_morph_base	clock_morph_mult[1]	clock_morph_mult[2]	clock_morph_mult[3]	clock_morph_mult[4]	gr_morph[1]	gr_morph[2]	gr_morph[3]	gr_morph[4]	igr_alpha_morph	rate_categories_morph[1]	rate_categories_morph[2]	rate_categories_morph[3]	rate_categories_morph[4]	rate_categories_morph[5]	rate_categories_morph[6]	rate_categories_morph[7]	rate_categories_morph[8]	rate_categories_morph[9]	rate_categories_morph[10]	rate_categories_morph[11]	rate_categories_morph[12]	rate_categories_morph[13]	rate_categories_morph[14]	rate_categories_morph[15]	rate_categories_morph[16]
100	-1687.83	-1684.87	-2.96058	3.88899	0.113606	1.98157	1.20487	1.98157	2.6947	1.20487	0.757103	0.757103	2.6947	0.17706	0.757103	1.98157	1.20487	2.6947	1.98157	0.460583	1.52968	2.6947	0.254791	1.98157	0.348453	4.29895	0.594934	1.20487	1.98157	1.20487	2.6947	2.6947	1.20487	0.348453	2.6947	1.52968	1.52968	1.52968	0.348453	1.20487	2.6947	0.594934	0.0635121	0.955717	0.254791	2.6947	1.52968	1.98157	2.6947	1.98157	1.20487	2.6947	2.6947	1.52968	4.29895	1.20487	0.594934	4.29895	4.29895	1.98157	2.6947	1.52968	0.460583	0.757103	2.6947	1.20487	1.20487	2.6947	0.348453	2.6947	2.6947	2.6947	1.52968	2.6947	1.98157	0.254791	1.98157	1.52968	0.296511	0.296511	0.627653	0.129091	0.296511	1	1	2.11679	0.435368	0.448158	0.771281	1.0844	1.69616	0.597638	0.0042045	0.02665	0.0635121	0.113606	0.17706	0.254791	0.348453	0.460583	0.594934	0.757103	0.955717	1.20487	1.52968	1.98157	2.6947	4.29895
110	-1694.43	-1691.03	-3.40359	3.88899	0.307489	1.17833	1.52027	2.76812	2.00117	1.52027	0.218135	1.17833	4.51379	0.307489	0.417	4.51379	1.17833	2.00117	4.51379	0.417	2.00117	2.00117	0.218135	1.17833	0.550802	4.51379	0.417	2.76812	2.76812	1.52027	2.76812	4.51379	2.00117	0.715016	2.00117	1.52027	1.52027	4.51379	0.146097	0.715016	2.76812	0.715016	0.307489	1.52027	2.00117	4.51379	4.51379	1.52027	2.76812	2.76812	1.17833	2.76812	4.51379	1.52027	2.76812	1.17833	0.919065	2.00117	2.76812	4.51379	2.76812	4.51379	0.715016	1.17833	2.76812	1.17833	2.00117	1.17833	0.550802	2.00117	1.52027	1.52027	2.00117	0.218135	1.52027	0.919065	2.76812	2.76812	0.384224	0.384224	0.548836	0.492744	0.384224	1	1	1.42843	1.28244	0.448158	0.771281	1.0844	1.69616	0.533106	0.00225513	0.0178033	0.046883	0.0894308	0.146097	0.218135	0.307489	0.417	0.550802	0.715016	0.919065	1.17833	1.52027	2.00117	2.76812	4.51379
120	-1712.19	-1703.25	-8.93503	3.88899	1.11139	0.917977	1.85784	1.85784	1.11139	1.27933	0.610354	1.18885	1.85784	0.742016	0.917977	1.55046	1.18885	1.39212	1.55046	0.978382	1.39212	1.04219	0.679527	1.11139	0.978382	1.27933	0.978382	1.85784	1.85784	1.18885	1.39212	1.55046	1.85784	1.27933	1.27933	1.39212	1.39212	1.55046	0.85942	1.11139	1.55046	0.978382	1.18885	0.978382	1.85784	1.55046	1.18885	1.04219	1.27933	1.39212	1.11139	1.11139	1.39212	1.39212	1.55046	1.39212	1.04219	1.39212	1.55046	1.55046	1.55046	1.55046	1.27933	1.39212	1.18885	1.11139	1.85784	1.39212	1.11139	1.85784	1.39212	1.18885	1.27933	0.742016	1.55046	1.27933	1.55046	0.978382	0.429476	0.429476	0.557584	0.305691	0.429476	1	1	1.29829	0.711776	0.448158	0.771281	1.0844	1.69616	6.32934	0.399393	0.526831	0.610354	0.679527	0.742016	0.801287	0.85942	0.917977	0.978382	1.04219	1.11139	1.18885	1.27933	1.39212	1.55046	1.85784
130	-1700.05	-1698.27	-1.78178	3.88899	2.59498	0.516712	1.94918	2.59498	0.807845	1.94918	0.0426338	0.99789	1.94918	0.150108	0.807845	1.94918	1.2327	1.53461	1.94918	0.650021	1.94918	0.807845	0.00869824	1.53461	0.99789	1.2327	0.650021	1.53461	4.02659	0.807845	2.59498	2.59498	4.02659	0.99789	1.94918	1.2327	1.94918	2.59498	0.22147	1.94918	1.2327	0.99789	1.2327	1.53461	1.94918	4.02659	0.650021	1.53461	1.94918	1.53461	1.53461	0.650021	1.94918	1.2327	4.02659	2.59498	0.99789	2.59498	1.53461	1.94918	1.94918	2.59498	1.2327	1.94918	1.53461	1.2327	2.59498	2.59498	1.2327	4.02659	0.99789	1.2327	4.02659	0.150108	1.53461	2.59498	2.59498	0.0904431	0.287027	0.287027	0.330108	0.0787436	0.287027	1	1	1.15009	0.274342	0.448158	0.771281	1.0844	1.69616	0.697248	0.00869824	0.0426338	0.0904431	0.150108	0.22147	0.305253	0.402911	0.516712	0.650021	0.807845	0.99789	1.2327	1.53461	1.94918	2.59498	4.02659
140	-1698.25	-1695.97	-2.28156	3.88899	1.7349	0.73882	2.12204	1.47361	1.47361	2.92995	0.27995	1.27388	2.12204	0.54323	0.971421	1.47361	0.971421	2.12204	1.7349	0.849005	1.7349	0.971421	0.0873742	1.27388	1.11065	1.11065	0.849005	1.7349	2.12204	1.11065	2.12204	2.92995	1.47361	1.11065	2.12204	2.12204	1.7349	2.12204	0.0873742	1.7349	1.11065	1.11065	1.27388	2.12204	1.11065	2.92995	0.849005	1.47361	1.7349	2.92995	1.47361	0.849005	1.7349	1.47361	2.12204	2.12204	1.11065	1.7349	1.7349	1.7349	1.47361	1.7349	1.11065	2.92995	1.7349	2.12204	2.12204	1.47361	0.971421	2.12204	1.27388	1.27388	1.47361	0.190347	1.7349	2.92995	1.47361	0.453446	0.245602	0.245602	0.287768	0.219102	0.245602	1	1	1.17168	0.892101	0.448158	0.771281	1.0844	1.69616	1.53039	0.0873742	0.190347	0.27995	0.366436	0.453446	0.54323	0.637692	0.73882	0.849005	0.971421	1.11065	1.27388	1.47361	1.7349	2.12204	2.92995
150	-1692.52	-1688.74	-3.7807	3.88899	2.0267	2.93127	0.439655	2.93127	1.09477	2.0267	0.0196023	1.09477	2.0267	0.0840303	0.603362	1.09477	0.439655	2.93127	2.0267	0.312545	5.05394	0.603362	0.00560014	0.439655	0.603362	1.47536	0.312545	1.47536	2.0267	1.09477	2.0267	2.93127	2.0267	1.09477	2.93127	2.0267	0.603362	1.09477	0.0449495	2.0267	1.09477	2.0267	0.603362	1.47536	0.603362	2.0267	0.312545	1.47536	2.0267	2.93127	2.93127	0.603362	5.05394	1.47536	1.47536	5.05394	0.439655	2.93127	2.93127	5.05394	2.0267	1.47536	0.603362	2.0267	1.09477	2.93127	2.93127	1.47536	1.47536	5.05394	0.815395	1.09477	2.0267	0.0449495	1.09477	2.93127	2.0267	0.00560014	0.408748	0.408748	0.45001	0.722793	0.408748	1	1	1.10095	1.76831	0.448158	0.771281	1.0844	1.69616	0.409054	0.000381187	0.00560014	0.0196023	0.0449495	0.0840303	0.139438	0.214279	0.312545	0.439655	0.603362	0.815395	1.09477	1.47536	2.0267	2.93127	5.05394
160	-1699.63	-1696.92	-2.71152	3.88899	2.72374	2.72374	0.332333	2.72374	1.52661	1.52661	0.0228708	0.740973	1.9898	0.103757	1.19505	1.19505	0.577863	2.72374	1.9898	0.443581	4.38229	0.740973	0.0228708	0.577863	0.740973	1.52661	0.443581	1.52661	1.9898	1.19505	1.9898	2.72374	1.9898	1.19505	2.72374	1.9898	0.941839	1.19505	0.103757	1.19505	1.9898	1.19505	0.443581	0.941839	0.740973	1.9898	0.443581	1.52661	1.9898	2.72374	2.72374	0.740973	4.38229	1.52661	1.19505	2.72374	0.577863	2.72374	2.72374	1.9898	1.9898	1.52661	0.740973	2.72374	1.9898	2.72374	2.72374	1.19505	1.19505	2.72374	1.19505	0.941839	1.9898	0.056609	1.19505	2.72374	1.52661	0.16462	0.332353	0.332353	0.377732	0.464311	0.332353	1	1	1.13654	1.39704	0.448158	0.771281	1.0844	1.69616	0.571325	0.00331961	0.0228708	0.056609	0.103757	0.16462	0.240228	0.332333	0.443581	0.577863	0.740973	0.941839	1.19505	1.52661	1.9898	2.72374	4.38229
170	-1688.13	-1685.49	-2.63897	3.88899	2.42592	1.88239	1.05289	3.60367	1.26248	1.26248	0.0813467	1.26248	1.88239	0.0813467	1.05289	1.26248	0.49163	1.52661	1.05289	0.879557	3.60367	0.879557	0.0236457	0.604248	0.879557	1.88239	0.879557	1.26248	2.42592	1.52661	1.88239	2.42592	1.52661	1.26248	2.42592	1.88239	1.88239	1.52661	0.0813467	1.52661	1.05289	2.42592	0.604248	1.26248	1.52661	2.42592	0.604248	1.52661	1.52661	2.42592	1.52661	0.879557	2.42592	1.52661	1.26248	1.88239	0.879557	3.60367	2.42592	2.42592	2.42592	1.26248	1.26248	3.60367	1.52661	2.42592	2.42592	1.26248	1.05289	1.88239	0.732147	1.05289	1.26248	0.0813467	1.26248	1.52661	3.60367	0.301434	0.390799	0.390799	0.307502	0.119486	0.390799	1	1	0.786855	0.305749	0.448158	0.771281	1.0844	1.69616	0.909226	0.0236457	0.0813467	0.147125	0.22034	0.301434	0.391379	0.49163	0.604248	0.732147	0.879557	1.05289	1.26248	1.52661	1.88239	2.42592	3.60367
180	-1687.15	-1680.34	-6.80962	3.88899	1.39556	1.58286	0.923539	1.85347	1.01975	1.58286	0.328172	1.58286	1.58286	0.328172	1.24906	1.39556	0.590245	1.24906	1.24906	1.01975	1.58286	1.01975	0.328172	0.8347	0.750842	1.24906	0.8347	1.24906	1.85347	2.40002	1.39556	1.85347	1.58286	1.24906	1.85347	1.58286	2.40002	1.24906	0.328172	1.58286	1.24906	1.58286	0.923539	1.24906	1.24906	1.85347	0.8347	1.39556	1.85347	2.40002	1.39556	1.01975	1.85347	2.40002	1.1266	1.85347	1.1266	1.58286	1.58286	1.58286	1.39556	1.01975	1.39556	2.40002	1.58286	1.85347	1.85347	1.39556	1.1266	1.85347	0.8347	1.24906	1.39556	0.750842	1.1266	1.39556	2.40002	0.509403	0.563206	0.563206	0.515655	0.749222	0.563206	1	1	0.91557	1.33028	0.448158	0.771281	1.0844	1.69616	2.67119	0.198779	0.328172	0.424213	0.509403	0.590245	0.669989	0.750842	0.8347	0.923539	1.01975	1.1266	1.24906	1.39556	1.58286	1.85347	2.40002
190	-1687.01	-1680.26	-6.75362	3.88899	1.10839	1.74485	1.27449	2.14083	1.10839	1.47807	0.0816892	1.74485	1.47807	0.182131	1.10839	1.74485	0.443892	1.27449	1.27449	1.10839	2.14083	0.966954	0.0816892	0.731318	0.842824	1.27449	0.731318	1.47807	2.14083	2.96907	1.47807	2.14083	1.74485	0.966954	2.14083	1.74485	2.14083	1.47807	0.356834	1.74485	2.96907	1.47807	0.356834	1.27449	1.74485	1.47807	0.731318	1.47807	2.96907	2.14083	1.74485	1.10839	2.14083	2.96907	1.27449	2.14083	1.27449	1.74485	1.47807	2.96907	1.47807	0.966954	1.27449	2.14083	1.47807	2.14083	1.47807	1.74485	1.27449	2.96907	0.731318	1.27449	1.74485	0.270719	1.47807	1.47807	2.96907	0.182131	0.400761	0.400761	0.413886	1.2314	0.400761	1	1	1.03275	3.07267	0.448158	0.771281	1.0844	1.69616	1.4781	0.0816892	0.182131	0.270719	0.356834	0.443892	0.534056	0.629201	0.731318	0.842824	0.966954	1.10839	1.27449	1.47807	1.74485	2.14083	2.96907
