Iteration	Posterior	Likelihood	Prior	alpha_morph_gr	br_morph_clock_mult[1]	br_morph_clock_mult[2]	br_morph_clock_mult[3]	br_morph_clock_mult[4]	br_morph_clock_mult[5]	br_morph_clock_mult[6]	br_morph_clock_mult[7]	br_morph_clock_mult[8]	br_morph_clock_mult[9]	br_morph_clock_mult[10]	br_morph_clock_mult[11]	br_morph_clock_mult[12]	br_morph_clock_mult[13]	br_morph_clock_mult[14]	br_morph_clock_mult[15]	br_morph_clock_mult[16]	br_morph_clock_mult[17]	br_morph_clock_mult[18]	br_morph_clock_mult[19]	br_morph_clock_mult[20]	br_morph_clock_mult[21]	br_morph_clock_mult[22]	br_morph_clock_mult[23]	br_morph_clock_mult[24]	br_morph_clock_mult[25]	br_morph_clock_mult[26]	br_morph_clock_mult[27]	br_morph_clock_mult[28]	br_morph_clock_mult[29]	br_morph_clock_mult[30]	br_morph_clock_mult[31]	br_morph_clock_mult[32]	br_morph_clock_mult[33]	br_morph_clock_mult[34]	br_morph_clock_mult[35]	br_morph_clock_mult[36]	br_morph_clock_mult[37]	br_morph_clock_mult[38]	br_morph_clock_mult[39]	br_morph_clock_mult[40]	br_morph_clock_mult[41]	br_morph_clock_mult[42]	br_morph_clock_mult[43]	br_morph_clock_mult[44]	br_morph_clock_mult[45]	br_morph_clock_mult[46]	br_morph_clock_mult[47]	br_morph_clock_mult[48]	br_morph_clock_mult[49]	br_morph_clock_mult[50]	br_morph_clock_mult[51]	br_morph_clock_mult[52]	br_morph_clock_mult[53]	br_morph_clock_mult[54]	br_morph_clock_mult[55]	br_morph_clock_mult[56]	br_morph_clock_mult[57]	br_morph_clock_mult[58]	br_morph_clock_mult[59]	br_morph_clock_mult[60]	br_morph_clock_mult[61]	br_morph_clock_mult[62]	br_morph_clock_mult[63]	br_morph_clock_mult[64]	br_morph_clock_mult[65]	br_morph_clock_mult[66]	br_morph_clock_mult[67]	br_morph_clock_mult[68]	br_morph_clock_mult[69]	br_morph_clock_mult[70]	br_morph_clock_mult[71]	br_morph_clock_mult[72]	br_morph_clock_mult[73]	br_morph_clock_mult[74]	clock_morph[1]	clock_morph[2]	clock_morph[3]	clock_morph[4]	clock_morph_base	clock_morph_mult[1]	clock_morph_mult[2]	clock_morph_mult[3]	clock_morph_mult[4]	gr_morph[1]	gr_morph[2]	gr_morph[3]	gr_morph[4]	igr_alpha_morph	rate_categories_morph[1]	rate_categories_morph[2]	rate_categories_morph[3]	rate_categories_morph[4]	rate_categories_morph[5]	rate_categories_morph[6]	rate_categories_morph[7]	rate_categories_morph[8]	rate_categories_morph[9]	rate_categories_morph[10]	rate_categories_morph[11]	rate_categories_morph[12]	rate_categories_morph[13]	rate_categories_morph[14]	rate_categories_morph[15]	rate_categories_morph[16]
950	-1707	-1705.08	-1.92185	3.88899	0.271935	2.0144	0.510348	0.883246	1.50749	2.0144	0.378104	2.83093	0.121	0.675329	2.0144	0.378104	2.83093	2.83093	0.0119936	0.00122708	0.883246	2.83093	1.50749	0.1873	0.1873	1.50749	1.50749	0.0707339	2.83093	1.50749	2.83093	2.0144	0.510348	0.0119936	2.0144	1.15074	1.50749	4.70974	0.271935	2.0144	1.50749	4.70974	0.1873	1.50749	1.15074	2.0144	0.378104	4.70974	2.0144	4.70974	0.378104	2.83093	2.83093	0.883246	2.0144	2.0144	0.675329	2.0144	0.510348	1.50749	0.883246	2.83093	1.50749	2.0144	4.70974	0.510348	2.83093	0.1873	0.1873	2.0144	4.70974	0.1873	0.0707339	0.883246	1.15074	2.83093	2.0144	2.83093	0.318936	0.318936	0.383243	0.0923727	0.318936	1	1	1.20163	0.289628	0.448158	0.771281	1.0844	1.69616	0.482645	0.00122708	0.0119936	0.0348193	0.0707339	0.121	0.1873	0.271935	0.378104	0.510348	0.675329	0.883246	1.15074	1.50749	2.0144	2.83093	4.70974
960	-1696.28	-1692.83	-3.45242	3.88899	0.0284723	3.18175	0.000983869	0.268965	0.920407	1.67435	0.268965	7.45356	0.000983869	0.0651974	7.45356	0.0110778	0.920407	0.920407	5.16809e-10	7.13026e-07	0.268965	3.18175	0.504507	0.00368636	0.000983869	0.920407	0.504507	2.05598e-05	7.45356	0.504507	1.67435	1.67435	0.0284723	7.13026e-07	3.18175	0.504507	1.67435	3.18175	0.0651974	0.920407	3.18175	3.18175	0.0284723	0.504507	0.268965	7.45356	0.0110778	3.18175	1.67435	3.18175	0.0284723	3.18175	3.18175	0.136832	0.920407	3.18175	0.136832	3.18175	0.136832	0.268965	1.67435	1.67435	0.504507	0.920407	3.18175	0.504507	3.18175	0.00368636	0.0110778	3.18175	3.18175	0.136832	0.136832	0.504507	0.920407	1.67435	0.136832	1.67435	0.316894	0.316894	0.642451	0.469903	0.316894	1	1	2.02734	1.48284	0.448158	0.771281	1.0844	1.69616	0.15196	5.16809e-10	7.13026e-07	2.05598e-05	0.000188212	0.000983869	0.00368636	0.0110778	0.0284723	0.0651974	0.136832	0.268965	0.504507	0.920407	1.67435	3.18175	7.45356
970	-1703.19	-1697.34	-5.84984	3.88899	0.944086	1.75794	0.787299	1.12542	1.75794	1.03035	0.787299	1.75794	0.638569	0.863776	1.52477	0.712837	1.36193	1.36193	0.253026	0.386028	1.12542	1.75794	1.23355	0.712837	0.712837	1.36193	1.36193	0.562264	1.52477	1.23355	1.75794	1.75794	0.787299	0.386028	1.52477	1.36193	1.36193	1.75794	1.03035	1.36193	1.52477	1.36193	0.638569	1.12542	1.12542	1.36193	0.712837	1.36193	1.52477	2.22326	0.863776	1.75794	1.75794	1.03035	1.36193	1.75794	1.12542	1.52477	1.03035	1.12542	1.75794	1.52477	1.36193	2.22326	1.52477	1.03035	1.75794	0.712837	0.562264	1.75794	1.75794	1.36193	1.03035	1.75794	1.52477	1.52477	1.52477	1.52477	0.30674	0.30674	0.615047	0.265294	0.30674	1	1	2.00511	0.864882	0.448158	0.771281	1.0844	1.69616	3.38114	0.253026	0.386028	0.480475	0.562264	0.638569	0.712837	0.787299	0.863776	0.944086	1.03035	1.12542	1.23355	1.36193	1.52477	1.75794	2.22326
980	-1702.67	-1700.02	-2.64829	3.88899	0.548395	2.00208	0.0174023	0.916994	2.77197	0.548395	0.414658	4.52546	0.144518	0.414658	1.51963	0.305321	2.77197	2.77197	0.0460858	0.0174023	0.916994	2.77197	0.305321	0.305321	0.216228	1.17678	1.51963	0.00217727	4.52546	2.00208	2.77197	2.77197	0.305321	0.0174023	2.00208	1.51963	2.77197	2.00208	0.712685	2.77197	2.77197	0.916994	0.548395	0.916994	0.548395	1.17678	0.216228	1.51963	4.52546	1.51963	0.414658	1.51963	2.77197	1.17678	2.77197	2.77197	0.548395	2.77197	0.916994	0.712685	4.52546	2.77197	0.916994	2.77197	2.00208	1.17678	2.77197	0.144518	0.0174023	2.77197	2.77197	2.00208	1.51963	2.77197	2.00208	2.77197	2.00208	1.51963	0.335228	0.335228	0.50428	0.319425	0.335228	1	1	1.50429	0.952857	0.448158	0.771281	1.0844	1.69616	0.529895	0.00217727	0.0174023	0.0460858	0.08823	0.144518	0.216228	0.305321	0.414658	0.548395	0.712685	0.916994	1.17678	1.51963	2.00208	2.77197	4.52546
990	-1701.87	-1694.65	-7.21537	3.88899	0.813844	1.25753	0.640708	1.12546	1.41636	1.01081	0.557842	1.91722	0.557842	0.908123	1.91722	0.557842	1.12546	1.25753	0.388029	0.474637	1.12546	1.91722	1.01081	0.640708	0.640708	1.91722	1.91722	0.29209	2.5212	1.01081	1.91722	1.91722	0.908123	0.29209	1.62051	1.41636	1.91722	1.41636	0.813844	1.91722	1.41636	1.12546	1.41636	1.62051	0.640708	1.25753	0.640708	1.41636	1.62051	1.91722	0.813844	1.62051	1.91722	1.25753	1.62051	1.91722	0.725398	1.41636	1.12546	1.41636	1.62051	1.62051	1.41636	2.5212	2.5212	1.62051	1.91722	0.29209	0.813844	2.5212	1.62051	1.25753	1.91722	1.91722	1.25753	1.62051	1.41636	1.12546	0.336999	0.336999	1.08565	0.352913	0.336999	1	1	3.22151	1.04722	0.448158	0.771281	1.0844	1.69616	2.31205	0.166991	0.29209	0.388029	0.474637	0.557842	0.640708	0.725398	0.813844	0.908123	1.01081	1.12546	1.25753	1.41636	1.62051	1.91722	2.5212
1000	-1704.85	-1703	-1.85071	3.88899	0.693007	2.23292	0.227304	1.27514	2.23292	1.49784	0.488611	3.16522	0.397253	0.942856	1.79215	0.227304	1.09495	1.09495	0.31073	0.397253	1.09495	2.23292	1.09495	0.227304	0.942856	3.16522	3.16522	0.227304	1.27514	0.810606	2.23292	2.23292	0.397253	0.227304	1.79215	1.79215	1.49784	1.27514	0.810606	2.23292	1.79215	2.23292	0.693007	1.79215	0.31073	1.09495	0.488611	1.49784	1.49784	2.23292	0.810606	3.16522	2.23292	1.79215	2.23292	2.23292	0.31073	1.49784	0.810606	2.23292	2.23292	1.79215	1.79215	3.16522	3.16522	2.23292	2.23292	0.144652	0.488611	2.23292	1.49784	1.09495	1.49784	1.79215	1.09495	1.49784	2.23292	0.693007	0.29113	0.29113	0.0981569	0.175965	0.29113	1	1	0.337158	0.60442	0.448158	0.771281	1.0844	1.69616	1.25372	0.057418	0.144652	0.227304	0.31073	0.397253	0.488611	0.586529	0.693007	0.810606	0.942856	1.09495	1.27514	1.49784	1.79215	2.23292	3.16522
1010	-1686.61	-1684.96	-1.65327	3.88899	0.209997	1.08994	0.018674	0.209997	2.93866	1.08994	0.135999	2.02707	0.0432597	1.08994	0.597573	0.00525178	0.434111	0.809779	0.0432597	0.0432597	1.47229	2.02707	0.809779	0.00525178	0.434111	2.02707	2.93866	0.00525178	1.08994	0.597573	2.02707	2.93866	0.0432597	0.00525178	2.93866	2.02707	1.47229	0.434111	1.47229	1.47229	2.93866	2.02707	0.135999	1.47229	0.135999	1.47229	0.809779	0.809779	1.08994	2.93866	0.597573	2.93866	1.47229	2.93866	5.08119	2.02707	0.135999	2.93866	0.307535	1.08994	2.93866	2.93866	1.47229	5.08119	2.93866	5.08119	2.93866	0.0814787	0.135999	5.08119	1.47229	1.47229	0.809779	1.47229	2.02707	2.93866	2.93866	1.08994	0.309236	0.309236	0.345083	0.247328	0.309236	1	1	1.11592	0.799805	0.448158	0.771281	1.0844	1.69616	0.403908	0.000345486	0.00525178	0.018674	0.0432597	0.0814787	0.135999	0.209997	0.307535	0.434111	0.597573	0.809779	1.08994	1.47229	2.02707	2.93866	5.08119
1020	-1709.29	-1706.81	-2.48368	3.88899	1.27505	2.23852	0.0561278	0.485827	2.23852	0.94127	0.0561278	1.49892	0.307985	1.49892	0.583881	0.142525	0.690596	0.808544	0.394433	0.307985	1.094	1.49892	0.808544	0.142525	1.094	1.79494	3.17739	0.0561278	2.23852	1.27505	3.17739	2.23852	0.394433	0.142525	2.23852	1.79494	2.23852	1.094	1.49892	2.23852	3.17739	2.23852	0.224768	1.49892	1.094	2.23852	1.094	1.094	0.94127	3.17739	1.27505	2.23852	1.49892	2.23852	1.79494	2.23852	0.394433	2.23852	0.583881	1.094	2.23852	3.17739	1.49892	3.17739	2.23852	2.23852	2.23852	0.394433	0.307985	2.23852	3.17739	2.23852	0.808544	1.79494	1.79494	1.79494	1.094	1.79494	0.32857	0.32857	0.338986	0.198626	0.32857	1	1	1.0317	0.604518	0.448158	0.771281	1.0844	1.69616	1.24158	0.0561278	0.142525	0.224768	0.307985	0.394433	0.485827	0.583881	0.690596	0.808544	0.94127	1.094	1.27505	1.49892	1.79494	2.23852	3.17739
1030	-1715.21	-1712.2	-3.01335	3.88899	0.880857	1.67818	0.420582	0.506401	1.12035	0.993486	0.239208	0.993486	0.420582	2.01813	0.683308	0.420582	1.12035	0.778419	0.593292	0.420582	1.12035	1.44647	0.880857	0.239208	1.26774	2.01813	2.01813	0.123606	2.7187	1.26774	2.01813	1.67818	0.778419	0.239208	2.01813	1.67818	2.7187	0.993486	1.44647	1.44647	1.44647	1.67818	1.12035	1.26774	1.67818	2.01813	1.12035	1.12035	1.12035	2.7187	1.44647	1.67818	1.26774	1.26774	1.44647	2.01813	0.880857	2.7187	0.778419	1.26774	2.7187	2.7187	2.01813	2.7187	2.7187	2.01813	2.01813	0.993486	0.333139	2.01813	1.44647	2.01813	1.26774	1.26774	1.67818	1.67818	1.26774	2.01813	0.323881	0.323881	0.195865	0.317167	0.323881	1	1	0.604745	0.979269	0.448158	0.771281	1.0844	1.69616	1.87077	0.123606	0.239208	0.333139	0.420582	0.506401	0.593292	0.683308	0.778419	0.880857	0.993486	1.12035	1.26774	1.44647	1.67818	2.01813	2.7187
1040	-1705.88	-1702.32	-3.56571	3.88899	1.00275	1.96703	0.360553	0.704895	1.43167	1.12346	0.44779	0.796726	0.44779	1.96703	0.895107	0.44779	1.12346	0.895107	0.617458	0.44779	1.00275	1.64928	0.895107	0.265327	1.26308	1.96703	1.64928	0.265327	1.96703	1.26308	1.96703	1.43167	0.895107	0.144531	1.96703	1.43167	1.64928	1.12346	2.6178	2.6178	2.6178	1.96703	0.796726	1.96703	1.43167	2.6178	1.00275	1.26308	1.12346	1.64928	1.43167	1.64928	1.26308	1.26308	1.64928	1.96703	0.704895	2.6178	0.704895	1.26308	1.43167	2.6178	1.64928	1.96703	1.96703	1.96703	2.6178	1.00275	0.44779	1.96703	1.96703	1.64928	1.64928	1.64928	1.64928	1.96703	0.895107	1.96703	0.297858	0.297858	0.434325	0.209422	0.297858	1	1	1.45816	0.703094	0.448158	0.771281	1.0844	1.69616	2.07768	0.144531	0.265327	0.360553	0.44779	0.532461	0.617458	0.704895	0.796726	0.895107	1.00275	1.12346	1.26308	1.43167	1.64928	1.96703	2.6178
1050	-1710.68	-1707.43	-3.24591	3.88899	0.173685	1.24545	0.249001	1.24545	3.873	1.92723	0.054515	0.548551	0.173685	1.92723	0.680423	0.335516	0.834967	0.548551	0.335516	0.054515	0.834967	1.92723	0.434644	0.054515	1.24545	1.92723	0.680423	0.108825	3.873	2.53556	3.873	1.53392	0.054515	0.054515	2.53556	1.92723	2.53556	0.108825	1.92723	1.0194	3.873	1.0194	1.24545	1.0194	3.873	1.92723	0.834967	1.53392	2.53556	3.873	2.53556	2.53556	1.92723	1.0194	2.53556	2.53556	0.548551	3.873	0.548551	1.24545	2.53556	1.53392	3.873	3.873	1.92723	1.92723	3.873	1.53392	0.249001	2.53556	3.873	1.24545	2.53556	1.53392	1.53392	1.92723	0.434644	1.92723	0.369902	0.369902	0.511652	0.06135	0.369902	1	1	1.38321	0.165855	0.448158	0.771281	1.0844	1.69616	0.764678	0.0127275	0.054515	0.108825	0.173685	0.249001	0.335516	0.434644	0.548551	0.680423	0.834967	1.0194	1.24545	1.53392	1.92723	2.53556	3.873
1060	-1715.87	-1713.48	-2.39139	3.88899	0.526384	2.15649	0.963117	1.10638	1.75307	2.15649	0.34888	0.724984	0.34888	1.10638	0.837573	0.622069	1.10638	0.837573	0.622069	0.17543	1.10638	1.75307	0.526384	0.17543	1.48168	2.15649	0.963117	0.34888	1.75307	2.15649	2.15649	1.27488	0.26312	0.17543	2.15649	2.15649	1.75307	0.34888	1.48168	1.10638	2.15649	1.10638	1.27488	1.75307	3.00189	2.15649	0.963117	2.15649	2.15649	2.15649	1.75307	3.00189	1.75307	1.27488	2.15649	2.15649	0.963117	3.00189	0.724984	1.27488	2.15649	2.15649	2.15649	3.00189	2.15649	1.48168	3.00189	3.00189	0.435937	2.15649	1.75307	1.27488	2.15649	0.963117	2.15649	1.27488	0.435937	2.15649	0.251739	0.251739	0.318186	0.233998	0.251739	1	1	1.26395	0.929525	0.448158	0.771281	1.0844	1.69616	1.43636	0.0771461	0.17543	0.26312	0.34888	0.435937	0.526384	0.622069	0.724984	0.837573	0.963117	1.10638	1.27488	1.48168	1.75307	2.15649	3.00189
1070	-1714.83	-1707.64	-7.18481	3.88899	0.935985	2.29543	0.935985	1.24034	1.37614	1.79732	0.229692	1.02639	0.540375	0.935985	0.935985	0.772518	1.24034	1.12632	0.935985	0.361639	0.935985	1.54895	0.540375	0.361639	1.37614	1.79732	1.02639	0.457	1.37614	1.79732	2.29543	1.12632	0.457	0.457	1.79732	1.79732	1.54895	0.772518	1.12632	1.02639	1.54895	1.37614	1.02639	1.37614	1.37614	1.24034	1.02639	1.79732	1.79732	1.79732	1.54895	2.29543	1.79732	1.24034	1.54895	1.54895	0.935985	1.54895	0.935985	1.12632	2.29543	1.79732	2.29543	2.29543	2.29543	1.54895	1.54895	1.54895	0.457	2.29543	1.79732	1.37614	1.79732	1.12632	1.54895	1.02639	0.540375	1.79732	0.326021	0.326021	0.960578	0.0894537	0.326021	1	1	2.94637	0.27438	0.448158	0.771281	1.0844	1.69616	3.05859	0.229692	0.361639	0.457	0.540375	0.618693	0.695332	0.772518	0.852108	0.935985	1.02639	1.12632	1.24034	1.37614	1.54895	1.79732	2.29543
1080	-1699.81	-1697.04	-2.76608	3.88899	0.129069	2.95362	0.129069	2.02755	5.13741	2.95362	0.0763842	0.798092	0.0399248	0.422714	0.422714	1.46572	1.07982	1.46572	0.129069	0.0763842	0.297298	2.02755	0.00459144	0.00459144	1.07982	5.13741	0.798092	0.201303	2.95362	2.02755	5.13741	0.798092	0.297298	0.0168708	5.13741	5.13741	2.95362	0.201303	2.02755	0.585602	1.46572	2.95362	1.07982	2.02755	2.02755	5.13741	0.585602	2.95362	2.02755	2.95362	2.95362	2.95362	2.02755	1.07982	5.13741	2.95362	1.46572	1.46572	1.07982	1.07982	5.13741	5.13741	2.95362	2.95362	5.13741	2.02755	5.13741	2.02755	0.0763842	2.95362	1.46572	1.07982	2.02755	0.422714	2.95362	1.46572	0.297298	0.585602	0.407318	0.407318	0.49584	0.339683	0.407318	1	1	1.21733	0.833951	0.448158	0.771281	1.0844	1.69616	0.39357	0.000281274	0.00459144	0.0168708	0.0399248	0.0763842	0.129069	0.201303	0.297298	0.422714	0.585602	0.798092	1.07982	1.46572	2.02755	2.95362	5.13741
1090	-1709.37	-1705.93	-3.44078	3.88899	0.110327	2.99471	0.763668	2.99471	1.44497	2.99471	0.110327	0.763668	0.0313922	0.268544	0.110327	1.44497	0.763668	1.44497	0.0313922	0.177309	0.268544	1.44497	0.0313922	0.00307133	0.763668	2.02676	0.550919	0.0313922	2.99471	0.763668	2.99471	0.763668	0.390195	0.00307133	5.29944	2.99471	2.99471	0.268544	1.04932	0.550919	2.02676	2.99471	1.44497	0.268544	2.99471	1.44497	1.04932	1.44497	1.44497	2.99471	2.99471	2.99471	1.04932	1.44497	5.29944	5.29944	1.44497	2.99471	1.44497	1.04932	5.29944	2.99471	2.02676	1.44497	1.44497	2.02676	5.29944	1.04932	0.0629388	5.29944	5.29944	1.44497	2.02676	0.390195	2.02676	1.44497	0.177309	1.04932	0.333467	0.333467	0.767581	0.113448	0.333467	1	1	2.30182	0.340208	0.448158	0.771281	1.0844	1.69616	0.365706	0.00015217	0.00307133	0.0124465	0.0313922	0.0629388	0.110327	0.177309	0.268544	0.390195	0.550919	0.763668	1.04932	1.44497	2.02676	2.99471	5.29944
1100	-1706.07	-1699.73	-6.3398	3.88899	0.48701	1.89444	0.48701	1.40908	1.01418	1.60716	0.821431	1.01418	0.48701	0.821431	0.734593	1.40908	1.60716	1.25468	0.569433	0.821431	0.821431	1.40908	0.569433	0.400831	1.12605	1.89444	1.01418	0.651234	1.89444	1.12605	1.89444	1.25468	0.821431	0.400831	1.60716	1.60716	1.25468	0.821431	0.821431	1.12605	1.89444	1.60716	1.89444	1.01418	1.60716	1.01418	1.12605	1.40908	1.60716	1.60716	1.60716	2.47758	1.01418	1.40908	2.47758	1.89444	2.47758	1.89444	1.60716	1.40908	1.60716	1.40908	1.60716	1.25468	1.89444	1.40908	1.60716	1.25468	0.400831	1.89444	1.25468	1.40908	1.60716	0.569433	1.40908	1.01418	1.89444	1.40908	0.473222	0.473222	0.658186	0.0467699	0.473222	1	1	1.39086	0.0988329	0.448158	0.771281	1.0844	1.69616	2.43194	0.177953	0.30475	0.400831	0.48701	0.569433	0.651234	0.734593	0.821431	0.913791	1.01418	1.12605	1.25468	1.40908	1.60716	1.89444	2.47758
1110	-1698.87	-1695.93	-2.93216	3.88899	0.249263	2.02073	0.00907406	0.858157	0.483368	1.49672	0.105895	0.483368	0.0282162	0.249263	0.105895	2.02073	0.858157	1.13056	0.0599232	0.352719	0.352719	1.49672	0.0599232	0.00907406	0.483368	2.02073	1.49672	0.0282162	2.8706	0.249263	2.8706	1.13056	0.483368	0.0599232	2.8706	2.02073	2.02073	0.648261	0.352719	0.648261	1.49672	2.02073	2.8706	1.13056	2.8706	1.49672	0.858157	0.648261	2.8706	2.02073	2.8706	2.02073	0.648261	2.02073	4.84058	2.8706	4.84058	2.02073	1.13056	4.84058	2.02073	1.49672	4.84058	2.8706	4.84058	2.8706	2.8706	0.483368	0.483368	2.8706	2.8706	2.8706	2.8706	0.0282162	1.49672	2.02073	4.84058	0.858157	0.397299	0.397299	0.452291	0.452392	0.397299	1	1	1.13841	1.13867	0.448158	0.771281	1.0844	1.69616	0.452648	0.000799129	0.00907406	0.0282162	0.0599232	0.105895	0.168146	0.249263	0.352719	0.483368	0.648261	0.858157	1.13056	1.49672	2.02073	2.8706	4.84058
1120	-1711.14	-1710.36	-0.770725	3.88899	0.104277	1.43718	0.169398	1.43718	2.02574	3.00818	0.0587097	0.104277	0.0111596	0.169398	0.104277	0.75154	0.379098	0.75154	0.0587097	0.379098	0.379098	3.00818	0.0587097	0.00265907	0.25889	2.02574	2.02574	0.00265907	2.02574	0.169398	5.3554	0.75154	0.538898	0.00265907	3.00818	2.02574	1.03834	0.379098	0.0587097	0.75154	2.02574	0.75154	3.00818	3.00818	2.02574	5.3554	0.75154	0.538898	3.00818	3.00818	3.00818	5.3554	1.03834	2.02574	2.02574	2.02574	3.00818	1.43718	0.75154	3.00818	5.3554	5.3554	5.3554	1.43718	1.43718	5.3554	3.00818	0.75154	0.538898	3.00818	1.43718	1.43718	2.02574	0.379098	2.02574	2.02574	0.75154	2.02574	0.225244	0.225244	0.219767	0.21925	0.225244	1	1	0.975686	0.97339	0.448158	0.771281	1.0844	1.69616	0.356699	0.000122135	0.00265907	0.0111596	0.0287956	0.0587097	0.104277	0.169398	0.25889	0.379098	0.538898	0.75154	1.03834	1.43718	2.02574	3.00818	5.3554
1130	-1726.42	-1725.12	-1.30265	3.88899	0.370875	2.28541	0.790773	3.28055	1.50746	2.28541	0.561438	0.370875	0.203989	0.561438	0.561438	1.08546	0.927419	1.27367	0.370875	0.790773	0.790773	2.28541	0.285241	0.125385	0.790773	1.81795	1.50746	0.0460964	1.50746	0.462394	2.28541	1.08546	0.670015	0.125385	2.28541	1.81795	1.27367	1.27367	0.462394	1.08546	1.08546	1.81795	1.27367	1.50746	3.28055	3.28055	1.08546	0.927419	3.28055	3.28055	1.50746	3.28055	1.27367	1.81795	1.81795	1.81795	2.28541	1.81795	1.08546	2.28541	3.28055	2.28541	3.28055	1.50746	2.28541	1.81795	2.28541	0.790773	0.927419	1.81795	1.27367	1.27367	0.790773	0.561438	1.81795	2.28541	0.927419	2.28541	0.211287	0.211287	0.191138	0.194244	0.211287	1	1	0.904638	0.919338	0.448158	0.771281	1.0844	1.69616	1.14566	0.0460964	0.125385	0.203989	0.285241	0.370875	0.462394	0.561438	0.670015	0.790773	0.927419	1.08546	1.27367	1.50746	1.81795	2.28541	3.28055
1140	-1710.18	-1707.52	-2.65691	3.88899	0.157177	2.89359	2.02357	2.89359	2.02357	2.89359	0.236047	0.157177	0.0247427	0.236047	0.631777	1.11776	0.631777	1.11776	0.0540226	0.46717	0.631777	2.02357	0.0540226	0.00762377	0.337693	2.02357	1.48938	0.0247427	2.02357	0.236047	4.91937	0.842621	0.236047	0.00762377	2.89359	2.02357	1.48938	2.89359	0.157177	1.11776	1.11776	2.02357	2.02357	2.02357	2.89359	2.89359	0.842621	0.631777	2.89359	2.89359	1.48938	2.89359	1.11776	2.02357	2.89359	2.02357	4.91937	2.02357	0.842621	2.89359	2.89359	2.02357	4.91937	2.02357	2.89359	4.91937	2.89359	0.842621	0.631777	2.02357	2.02357	1.48938	0.0974254	0.46717	2.89359	2.89359	1.11776	2.89359	0.262822	0.262822	0.588651	0.110108	0.262822	1	1	2.23973	0.418945	0.448158	0.771281	1.0844	1.69616	0.43583	0.000611653	0.00762377	0.0247427	0.0540226	0.0974254	0.157177	0.236047	0.337693	0.46717	0.631777	0.842621	1.11776	1.48938	2.02357	2.89359	4.91937
1150	-1713.96	-1711.9	-2.06714	3.88899	0.290316	4.60717	0.902267	2.79855	4.60717	2.79855	0.696242	0.0801347	0.0407896	0.203123	0.290316	4.60717	0.902267	1.16558	0.0801347	0.53153	1.16558	2.00803	0.0147976	0.0147976	0.398345	2.00803	1.51468	0.00169576	1.51468	0.53153	4.60717	0.902267	0.902267	0.0147976	2.79855	2.00803	2.79855	4.60717	0.203123	1.16558	1.16558	1.51468	0.696242	2.00803	4.60717	1.51468	0.902267	0.696242	2.79855	4.60717	2.00803	2.00803	2.00803	4.60717	4.60717	4.60717	4.60717	2.00803	2.79855	4.60717	2.79855	2.00803	2.79855	2.00803	2.79855	2.79855	2.79855	1.16558	0.902267	2.79855	4.60717	1.16558	0.902267	0.53153	2.79855	2.79855	1.16558	2.00803	0.247809	0.247809	0.305521	0.375067	0.247809	1	1	1.23289	1.51353	0.448158	0.771281	1.0844	1.69616	0.508164	0.00169576	0.0147976	0.0407896	0.0801347	0.133764	0.203123	0.290316	0.398345	0.53153	0.696242	0.902267	1.16558	1.51468	2.00803	2.79855	4.60717
1160	-1701.39	-1696.55	-4.8361	3.88899	1.23618	1.23618	0.814921	2.57994	1.53467	1.94379	3.98714	0.228373	0.228373	0.312909	0.312909	1.94379	1.94379	2.57994	0.0454706	0.411	1.00358	2.57994	0.155956	0.0454706	0.524886	3.98714	0.814921	0.0454706	1.94379	0.411	1.94379	1.23618	0.524886	0.0454706	2.57994	1.94379	2.57994	2.57994	0.524886	2.57994	2.57994	1.23618	0.524886	1.94379	1.53467	1.00358	1.00358	0.814921	3.98714	2.57994	2.57994	1.53467	2.57994	1.94379	3.98714	2.57994	1.53467	3.98714	3.98714	3.98714	1.23618	3.98714	2.57994	3.98714	2.57994	1.94379	1.94379	1.23618	0.657883	2.57994	2.57994	0.814921	1.00358	1.00358	1.94379	2.57994	1.23618	2.57994	0.407165	0.407165	0.67899	0.733706	0.407165	1	1	1.6676	1.80199	0.448158	0.771281	1.0844	1.69616	0.713693	0.00961055	0.0454706	0.0949353	0.155956	0.228373	0.312909	0.411	0.524886	0.657883	0.814921	1.00358	1.23618	1.53467	1.94379	2.57994	3.98714
1170	-1719.73	-1715.98	-3.74809	3.88899	0.81788	1.27534	0.595946	1.27534	1.78209	1.78209	1.78209	0.498546	0.407351	0.498546	0.595946	1.78209	1.49385	1.78209	0.0621989	0.407351	0.948408	2.21292	0.0621989	0.320602	0.81788	2.21292	0.81788	0.236468	2.21292	0.595946	1.49385	1.49385	0.81788	0.152396	2.21292	1.78209	2.21292	1.27534	0.701547	1.78209	2.21292	0.81788	0.236468	2.21292	2.21292	1.27534	1.27534	0.948408	1.78209	2.21292	2.21292	1.49385	1.78209	1.78209	3.12196	2.21292	1.49385	3.12196	2.21292	2.21292	2.21292	2.21292	2.21292	2.21292	3.12196	1.49385	1.49385	1.27534	0.948408	2.21292	1.78209	1.09821	0.81788	1.49385	1.49385	1.49385	0.948408	1.78209	0.379951	0.379951	0.604689	0.237491	0.379951	1	1	1.59149	0.625055	0.448158	0.771281	1.0844	1.69616	1.29839	0.0621989	0.152396	0.236468	0.320602	0.407351	0.498546	0.595946	0.701547	0.81788	0.948408	1.09821	1.27534	1.49385	1.78209	2.21292	3.12196
